zip_code,latino_percentage,non_white_latino_percentage,median_income
71772,1.0,1.0,15250
72585,0.6699346405228758,0.6699346405228758,25184
72655,1.6219512195121952,1.6219512195121952,21188
72686,1.7545454545454546,1.7545454545454546,16293
72717,0.7526080476900149,0.7198211624441132,30842
72036,3.695723684210526,3.695723684210526,16742
72567,4.893939393939394,4.893939393939394,18262
72041,3.580872353232201e+249,3.580872353232201e+249,21719
72120,1.434848387322305e+160,1.434848387322305e+160,32477
72631,3.6248262344703106e+283,3.6248262344703106e+283,25664
72415,5.245121682760784e+304,5.245121682760784e+304,19929
72749,3.266997035198552e+82,3.266997035198552e+82,24250
72927,144786.64246859722,144786.62429981882,21121
72937,7.131783756243116e+205,7.131783756243116e+205,25014
72160,1.6185348661748448e+300,1.6185348661748448e+300,26556
