zip_code,latino_percentage,non_white_latino_percentage,median_income
85614,1.477379368584034e+147,1.477379368584034e+147,30548
85629,6.926488879131293e+156,6.926488879131293e+156,36618
85630,2.1724077113614587e+177,2.1724077113614587e+177,20490
85341,inf,,-666666666
85352,0.706,0.35,21719
85551,0.70917225950783,0.031319910514541416,23173
85620,0.9161118508655126,0.28495339547270304,21463
85626,0.9182915506035283,0.11327762302692668,17536
85723,inf,,-666666666
85724,inf,,-666666666
85726,inf,,-666666666
85757,0.634004914004914,0.32348894348894347,26920
85301,0.634786159028274,0.11439361903789791,21525
85713,0.6848663056354714,0.23153240819089527,20526
85009,0.8159772582235888,0.12531182920461803,21993
85019,0.6908639844676949,0.14784453313198864,21498
85031,0.825916307619666,0.2905919848905153,20842
85035,0.8132584646329198,0.39223935635266505,24252
85349,0.997776930894309,0.2437118902439025,17788
85353,0.7487909161000911,0.11037125300810724,30589
85618,0.7683268047006155,0.1331841074426413,20080
85037,0.6550157797763467,0.28381706404947366,26647
85041,0.6429720684772815,0.14668876303256534,26990
85535,inf,,-666666666
85645,0.7423387096774193,0.1225806451612903,21280
85017,0.6764112903225806,0.13644036009002247,20845
85621,0.9329074929781643,0.12997191265742503,18843
86435,inf,,-666666666
85706,0.839476404825161,0.31493152095824317,20923
85040,0.6239920181768803,0.14166046494429313,21675
85347,0.759886038738775,0.5362018282124592,23724
85350,0.8642502782254553,0.20541789651430586,20447
86028,inf,,-666666666
85746,0.7495441664286813,0.3728389095142901,24582
85714,0.818019093078759,0.3092018032352162,18396
85135,0.9183723059935136,0.06122944885065651,22250
85141,0.6441986172218731,0.17675675675675684,15673
85006,0.6494157603405811,0.2730649553710891,24437
85033,0.806839959832522,0.3818183655580896,22288
85172,0.7935710698141637,0.3746860873932697,20450
85173,0.6388020818455526,0.09393442529293805,21305
85192,0.7194223937446208,0.0439636781482905,24666
85654,inf,,-666666666
85364,0.6905951707354975,0.18281262462542525,23961
85043,0.7623759818106656,0.1168354692021496,26927
85328,0.6049181744102697,1.3542257681131709e-05,29472
85607,0.8589416774351144,0.07095283250353646,18208
85034,0.6644290599735078,0.23707524431443938,20964
85302,1.1655255656267652e+248,1.1655255656267652e+248,26470
85320,0.7207953603976802,0.08782104391052192,15581
85323,0.6245223799126638,0.15179221251819508,27696
85336,1.0,0.3509803921568627,14912
85361,7.435164429155374e+160,7.435164429155374e+160,28470
85533,0.6033918476643856,0.015471585837548374,25260
85648,7.013535034227399e+282,7.013535034227399e+282,24480
