zip_code,latino_percentage,non_white_latino_percentage,median_income
80448,inf,,-666666666
80419,inf,,-666666666
80471,inf,,-666666666
80475,inf,,-666666666
80939,inf,,-666666666
80290,inf,,-666666666
81655,1.0,0.0,12083
81040,0.6305084745762712,0.20338983050847464,30563
81081,0.6103896103896104,0.07792207792207795,53750
81124,0.9698795180722891,0.0,-666666666
81126,0.8486842105263158,0.0,23438
81120,0.7758696609423161,0.08454425363276086,20515
81041,0.7016029593094945,0.011097410604192337,22823
81125,0.703372729893341,0.06947247045257998,24294
81633,inf,,-666666666
80216,0.6281657151222368,0.17932952715561412,28957
80239,0.6102991908674653,0.1751029710008572,29718
80294,inf,,-666666666
80705,0.6128526645768025,0.03683385579937304,25349
80024,0.75,0.3055555555555556,32723
80219,0.6852827090234718,0.07702652962994416,26903
80264,inf,,-666666666
80293,inf,,-666666666
81152,0.8923664122137405,0.15190839694656488,18125
81148,0.7901639344262295,0.0721311475409836,13750
81038,inf,,-666666666
81129,0.7846153846153846,0.18461538461538463,14423
81227,inf,,-666666666
81612,inf,,-666666666
