zip_code,white_percentage,median_income
50551,1.0,27188
50560,0.9643435980551054,31438
50568,0.9868680236375574,31612
50577,0.949868073878628,33661
50583,0.9710806697108066,32611
50586,0.9370078740157479,27438
50593,1.0,22917
50599,0.952127659574468,36563
50605,1.0,31111
50634,1.0,32857
50641,0.9832848837209304,24266
50647,0.988605287146764,39006
50659,0.9767195767195768,32383
50660,0.978978978978979,32386
50662,0.9488678962363172,23440
50671,0.993975903614458,31528
50674,0.9908920439324941,36747
50677,0.9361328436851348,30024
50682,0.9530838165524512,34816
50833,0.9812554489973844,27832
50836,0.9844357976653696,32344
50702,0.8178031471767973,29230
50835,1.0,32750
50837,0.9941348973607038,27500
50858,0.98224043715847,29583
50446,0.9760589318600368,31125
50454,1.0,40234
50458,0.9794130530004379,35768
50459,0.9535443909153476,30750
50466,0.9440476190476189,30647
50471,0.9434571890145396,26821
50479,0.9635701275045536,32264
50524,0.9951612903225806,30208
50026,0.8926553672316384,32188
50060,0.9777598059037608,30203
50611,0.8911564625850341,29167
50588,0.6762647152402164,27176
50591,0.9075829383886256,29875
50594,0.933734939759036,34219
50595,0.9086559857587896,32318
50598,0.9839743589743588,36190
50601,0.9685367702805155,30614
50613,0.9150444907015578,26243
50616,0.9226551791658508,26664
50627,0.8984375,27463
50628,1.0,31545
50632,0.984375,34511
50635,0.9917929292929292,33571
50636,0.9339233038348084,27207
50672,0.9266917293233082,31563
50707,0.8723736342898307,26883
50801,0.9597143770649046,26693
50860,1.0,30536
50862,0.99009900990099,28750
50863,0.9411764705882352,30536
50315,0.8262327140662103,29366
50401,0.9339365265738854,31021
50420,1.0,29028
50465,0.9751552795031057,24531
52659,0.9658298465829848,30792
52701,0.9763779527559056,33125
52737,0.7617647058823529,31094
52750,0.9756592292089248,40057
52778,0.9739090279381204,35736
52765,0.9717314487632508,37500
52595,0.8567708333333334,25909
52623,0.9616240266963292,31839
52722,0.8817910129149322,42169
52747,0.9630922693266832,34870
52769,0.971875,35125
52804,0.8386863425925926,28492
52620,0.9355531686358756,27661
52621,0.9781121751025992,35185
52625,0.9834888729361092,31070
52627,0.9394257138248104,25056
52637,0.9820172009382329,31905
52647,0.905,36875
52650,0.9077306733167082,33417
52660,1.0,18750
52730,0.9767533490937746,31361
52746,0.9793814432989691,40804
52755,0.9951171875,35614
52766,0.9325842696629212,36563
52768,0.931012658227848,36157
52772,0.9805478364430328,34621
52803,0.7999351341333457,30298
52807,0.8229495522195734,35565
52003,0.9713818479149632,35869
52030,0.9649122807017544,31111
52069,0.9823848238482384,29643
52070,0.992063492063492,24985
52076,0.9921807124239792,26098
52133,0.8611825192802056,24511
52135,1.0,28343
52155,1.0,31867
52161,0.9908883826879272,38625
52168,1.0,16563
52170,1.0,34375
52175,0.9434229137199436,29654
52213,0.980353145983586,38466
52215,0.9158751696065128,37500
52218,1.0,35788
52227,0.9705395564382656,43041
52229,0.9963503649635036,32295
52245,0.8662433022425085,25652
52247,0.9824561403508772,30532
52257,1.0,41500
52321,0.9441340782122905,25240
52053,1.0,35865
52057,0.9781497572195248,30220
52068,0.9346236559139784,44457
52073,0.9499274310595064,36429
52079,1.0,31585
52154,1.0,37316
52156,1.0,33063
52162,0.8751703461433633,29887
52164,0.9940298507462688,31563
52165,0.9770642201834864,40675
50473,1.0,36875
50475,0.9874917709019092,29529
50510,0.9431704885343968,31993
50520,0.6746987951807228,26719
50528,0.967509025270758,36875
50530,0.9872013651877132,26184
50539,0.981549815498155,30774
50117,1.0,14417
50141,0.9756592292089248,34773
50212,0.9790259509420548,32644
50680,0.9706422018348624,34750
50167,0.970042796005706,34063
50144,0.9862700228832952,28488
50157,0.9546961325966852,29417
50161,0.9781540141998908,39714
50220,0.9071701505956394,26619
50227,1.0,22500
50228,0.9903622465935528,43012
50239,0.96,37500
50242,0.9983193277310924,34500
50244,0.96248766041461,41617
50257,0.9722222222222222,28802
50250,0.9930222416048844,31000
50316,0.6509079903147701,22283
50460,0.9869281045751634,50938
50544,0.9836829836829836,31458
50323,0.9248954978414308,70400
50433,1.0,32250
50464,0.9777070063694268,35568
50523,0.940766550522648,23125
50574,0.9729458917835672,29580
50521,1.0,12841
50557,0.9667170953101362,31848
50621,0.9741267787839586,32685
50658,0.9839479392624728,31111
50841,0.9830575256107172,30444
50848,1.0,22500
50033,1.0,29500
50108,1.0,26250
50151,0.9838129496402878,37688
50011,0.9795763993948564,3862
50012,0.957037037037037,4279
50023,0.9334789050924119,42109
50163,0.978601997146933,25094
50255,1.0,30469
50324,0.9275186755501716,37323
50327,0.8964912280701754,41403
50467,0.9775280898876404,25000
50620,1.0,27500
50664,1.0,22375
50839,1.0,17250
50842,0.9761904761904762,32000
50046,0.9824362606232294,35889
50070,0.9576951130561634,38693
50174,0.962181818181818,30332
50028,0.9826366559485532,37695
50130,0.973738769868694,38162
52209,0.9081818181818182,31406
52220,0.9365671641791044,38309
52221,1.0,26364
52235,0.9216216216216216,34531
52531,0.9661564625850341,32831
52540,0.9785025945144552,28424
52563,0.9876965140123036,31467
52574,0.9865591397849462,27781
52639,0.9729872881355932,31454
52577,0.9434747583243824,25757
52619,1.0,25484
52573,1.0,15991
52332,0.9712615684364344,32478
52334,1.0,29271
52340,0.9140914709517924,42080
52347,0.9928514694201748,36361
52550,0.9965694682675816,26554
52002,0.9334304018637156,40065
52044,1.0,34250
52045,0.9871948779511804,36907
52050,0.933184855233853,38036
52134,0.926984126984127,32727
52203,0.9950316169828364,35148
52207,1.0,36452
52210,0.9931129476584022,30536
52217,0.9825174825174824,22632
52242,0.907055630936228,4013
52309,0.9869565217391304,30089
52320,0.9806678383128296,30643
52325,0.9919028340080972,35924
52328,0.9483491337038248,50495
52333,0.96665687426557,44140
52346,0.9622641509433962,41250
52351,0.942209217264082,50893
52358,0.9696481332258929,40455
52402,0.8241072933471383,35351
52411,0.9154736711066848,52361
52543,1.0,36855
52576,1.0,30648
52580,0.9790660225442834,34348
52583,1.0,31125
52591,0.9660161507402424,28383
52626,0.9679144385026738,24628
52630,1.0,25900
52635,0.942690058479532,21983
52641,0.8851147219727281,29081
52644,1.0,32589
52645,0.9742402315484804,30194
52721,0.9712389380530974,38625
52726,0.9872384937238494,43227
52738,0.803421200224341,30525
52742,0.9736109269327676,35885
52753,0.9599212739309356,44236
52731,0.9807162534435262,32045
52732,0.907413644698926,27326
52757,0.9545454545454546,30000
52761,0.9008690480124244,30480
52767,1.0,-666666666
52774,0.9907407407407408,30250
50222,0.9186602870813396,26792
50254,0.9837398373983741,33542
50436,0.9258669497523,29256
50444,0.9946808510638298,34375
50008,0.9395734597156398,24028
50022,0.9688622754491018,28363
50051,0.9622641509433962,26806
50054,0.9783044058744992,32454
50056,0.9905020352781548,35230
50106,0.9976525821596244,40217
50118,0.9425925925925924,44964
50119,1.0,23607
52142,0.9082042455536432,15641
52157,0.958628841607565,26941
52169,0.961904761904762,35500
52202,0.9583333333333334,38798
52205,0.9358554488989272,28900
52216,0.9885620915032679,32310
52228,0.9558547276142768,51353
52240,0.8161364760178013,22617
52251,0.9825479930191972,32750
52254,1.0,30605
52312,1.0,24375
52315,0.940071556350626,39081
52323,1.0,30240
52335,0.9794520547945206,27168
52336,0.9770258980785296,36196
52339,0.6783870174575855,27850
52403,0.8687200956937801,32016
52542,1.0,31641
52548,0.9587628865979382,27500
52553,0.9804129168872421,27018
52565,0.9828767123287672,28892
52806,0.8094598416289592,30763
52037,0.9607250755287008,31722
52032,0.995364238410596,36875
52054,0.9870283018867924,40250
52065,0.9882988298829884,30566
52072,0.9320388349514565,39250
52074,1.0,25385
52078,1.0,30307
52101,0.9662996083068508,27324
52758,0.9537953795379538,37656
52035,0.9798206278026906,25990
52038,0.8757861635220126,27049
52039,0.9941176470588236,34800
52047,0.9721854304635762,27740
52031,0.981967855742846,38929
52046,0.9870940882597836,31188
52214,0.9725903614457831,36331
52224,0.9685916919959472,31845
52231,0.9392523364485982,36125
52232,0.9352941176470588,33889
52236,1.0,34063
52248,0.9786066922654963,29615
52329,0.9976525821596244,34792
52585,0.9898373983739838,30182
52537,0.9778567523236742,31316
