zip_code,white_percentage,median_income
2360,0.9304483000702036,41071
2375,0.891783762685402,43876
2047,1.0,-666666666
2357,0.8388312912346843,3491
2457,0.6501141552511416,3689
2553,1.0,-666666666
2557,0.8917470525187567,45247
2561,1.0,53971
2562,0.9463477698771816,42163
2564,0.759656652360515,43500
2637,1.0,76382
2641,1.0,-666666666
2651,1.0,26838
2663,1.0,38938
2791,1.0,43512
2780,0.7898409929021769,31964
2332,0.9626233240576776,55796
2346,0.9475848721877268,38495
2366,0.7323232323232324,2499
2445,0.7342222644016323,60730
2453,0.7107269954245043,41359
2468,0.8422550240085364,94464
2538,0.7773740310077519,30530
2630,0.9708737864077671,47708
2639,0.8511569731081926,30379
2670,0.9732217573221758,38667
2723,0.7743262976237887,24512
2725,0.9513470044229996,36200
2019,0.94189852700491,44819
2052,0.9306907561716378,64912
2061,0.9617333092093359,60177
2066,0.9584955315532651,53194
2071,0.6474442988204456,20571
2116,0.7478084380532884,63458
2132,0.8111578720189921,48128
2143,0.7666127058080308,49902
2155,0.7489746379844312,44838
2169,0.649098597031297,39877
2189,0.8464304393305441,39969
2191,0.9123205741626794,40870
2199,0.6784788245462403,84179
2043,0.9605952984948418,59012
2048,0.8967302793669353,51247
2050,0.976355731828236,46905
2062,0.843752132669078,44705
2072,0.7328118998568386,35960
2110,0.9226447709593776,82589
2113,0.9290841228825724,64003
2128,0.6239976302816156,30193
2139,0.6385380343536097,42668
2140,0.6256863657515124,57057
2152,0.9291877898824292,42508
2190,0.8623528729634139,48868
1730,0.7742714996446339,61264
1835,0.8250465682762573,35992
1904,0.7633861454839829,38847
1908,0.9588806396344944,51419
1945,0.9559512195121952,53405
1950,0.9412513138241964,56361
1952,0.9579912570636528,38888
1984,0.9240458015267176,23474
1518,0.9493286040030404,34681
1520,0.9451872504910968,49819
1522,0.97217125382263,48041
1527,0.9190940868045442,40297
1536,0.8804118268215417,46912
1540,0.8935325101459287,39180
1543,0.9381692573402418,46875
1545,0.7306261122795664,48701
1569,0.960926916221034,42305
1604,0.6500222565525909,31254
1752,0.7521391181799879,38578
1801,0.7962288461061969,44424
1826,0.8833961781811209,39588
1907,0.9300301086529652,51749
1949,0.9290923824959482,39797
1951,0.9615873015873015,51917
1867,0.9285002193244806,57083
1938,0.9439948435150041,42156
1982,0.921180425849832,45164
1720,0.6922469395814137,60696
1742,0.8324878405941112,64657
1747,0.9625021019001178,42793
1756,0.9463614063777596,48009
1834,0.983480825958702,40588
1062,0.9130644538788112,36130
1068,0.983087834151664,38258
1071,0.9355083459787557,39325
1072,0.8985115020297699,39730
1073,0.9562174479166666,44926
1075,0.8913743433316387,27684
1096,1.0,37925
1223,0.9353254195661072,37440
1264,0.9271844660194176,32841
1342,0.7950754567116759,27500
1240,0.9124185942061532,39940
1242,1.0,30789
1256,0.888235294117647,33466
1267,0.8187798271636786,17520
1344,0.9485507246376812,30639
1349,0.9151689432063264,32243
1355,0.9226638023630503,36625
1360,0.9463267359946328,37948
1420,0.8034740307601592,27975
1431,0.9726708074534162,43480
1451,0.9336292538575354,62831
1467,1.0,-666666666
1473,0.9952356425444244,49688
1506,0.9593141528625401,38237
2476,0.7978882130150351,58037
2493,0.7883916776750329,46597
2575,0.9474772539288668,47480
2576,0.9196897102441249,40245
2655,0.9180174563591024,41795
2657,0.9142280524722504,34541
2673,0.8200070447340613,31293
2675,0.9702127659574468,37872
2702,0.9643998174349612,44352
2769,0.9454530518360306,45123
2324,0.8491033678378772,32370
2038,0.9060019244647582,51554
2045,0.9605930176948828,47147
2054,0.9345317624195312,49872
2067,0.769451048195375,59871
2108,0.8576560395150427,78929
2135,0.7189606460367957,41844
2330,0.9453924914675768,36689
2370,0.9400100261794686,40101
2421,0.6456341961121255,77251
2461,0.7594579333709769,68389
2467,0.7288607481251964,31215
2115,0.6364651682256038,10213
2030,0.8755790866975512,96053
2081,0.8958500803858521,48782
2109,0.8066825775656324,73538
2151,0.7808606916072326,30798
2718,0.8590866437284954,39301
2719,0.9108756622000624,31928
2724,0.7800101300016883,24320
2739,0.9739583333333334,50188
2762,0.8880540128498312,45475
2767,0.9464384318056324,42560
2779,0.9692421991084696,45823
2026,0.8429052048288146,49107
2032,0.8564616118264187,73270
2053,0.9086679174484052,56219
2090,0.8629441624365483,62993
2093,0.9544954749217628,51753
2141,0.6682275168709544,49002
2144,0.8472076718510758,54382
2359,0.9477149075081609,43093
2646,0.971824259789876,32146
2647,1.0,-666666666
2649,0.8619592875318066,37454
2748,0.936848453519428,39289
2760,0.8751546917085244,40881
2766,0.9224613826285136,39359
2770,0.9728130201590532,47536
2184,0.8063675443310049,45751
2186,0.7309226751777165,48183
2188,0.7806834691428209,41411
2420,0.6281424106536214,82411
2465,0.7867783985102421,68297
2466,0.7458841975585172,33442
2472,0.8281153218086604,54568
2534,0.9695603156708004,38403
1364,0.9646784836330704,27852
1379,0.893848009650181,26420
1440,0.8695778748180495,28567
1505,0.9610642439974044,47679
1524,0.9525097685602644,33642
1529,0.9723587223587224,37729
1583,0.8876901078902899,38772
1588,0.8796923076923077,35901
1609,0.7761697799149251,20538
1721,0.8258610954263128,56492
1731,0.7804759592034969,51010
1740,0.9324400830345349,69605
1741,0.8646630934150077,66858
1770,0.8901760889712697,74583
1773,0.9287469287469288,72292
1775,0.9126594700686947,60404
1821,0.8546208494679391,46473
1863,0.8644899701237729,50463
1864,0.9081573711571788,53523
1876,0.9179674849407344,46655
1880,0.9347679640718562,49155
1906,0.9070228899440153,38284
1923,0.9160402831496752,40960
1929,0.9898531375166888,44289
1940,0.922740092029093,54282
1028,0.887082871567541,40016
1033,0.9538120847832964,42089
1037,0.9651941097724229,40750
1005,0.9481279251170048,39944
1027,0.9301829610506228,37965
1038,0.9623262618873446,42361
1054,0.9555222388805598,40291
1084,0.8988095238095238,30000
1092,0.9741784037558684,58226
1107,0.6511849161044801,14163
1119,0.7259703238067393,24884
1236,0.8207475209763541,30206
1245,0.9772727272727272,44130
1254,0.9445676274944568,39679
1262,0.8139303482587065,18594
1338,0.8495575221238938,26852
1368,0.989106753812636,40625
1453,0.8097341945398228,32982
1460,0.9016979445933868,51022
