zip_code,latino_percentage,non_white_latino_percentage,median_income
68437,1.5011815917445543e+149,1.5011815917445543e+149,31583
68460,2.4552354665091257e+158,2.4552354665091257e+158,38640
68465,1.7255516947839433e+177,1.7255516947839433e+177,31250
68661,0.6325398972139573,0.07884771436299709,30850
68920,2.8351573104707435e+161,2.8351573104707435e+161,29219
68945,2.001615828216974e+250,2.001615828216974e+250,27847
68978,6.064735633068077e+283,6.064735633068077e+283,24339
68769,715466.438211627,715466.4246262755,26997
68178,4.566461595069369e+304,4.566461595069369e+304,2970
68749,1.4822486548586024e+83,1.4822486548586024e+83,26667
69360,1.818332652355115e+206,1.818332652355115e+206,21677
69036,9.38891127987984e+183,9.38891127987984e+183,22083
68377,3.9892603691488303e+301,3.9892603691488303e+301,30804
68852,2.28509482502085e+180,2.28509482502085e+180,33281
68881,inf,,-666666666
68941,4.4371411685513387e+61,4.4371411685513387e+61,30893
68351,4.1882809341373365e+61,4.1882809341373365e+61,36563
68107,0.6236032601551202,0.11180491652425395,24435
