zip_code,latino_percentage,non_white_latino_percentage,median_income
7852,1.1869693456735223e+249,1.1869693456735223e+249,43930
7104,2.7025625650245605e+282,2.7025625650245605e+282,21656
7087,0.7604606188466948,0.2236579934364744,24307
7093,0.7522780912486909,0.2916269400897169,27162
7201,0.617101562778114,0.22124523868854795,23410
8036,204712.67464801157,204712.63898804874,46723
8033,4.416562654519362e+303,4.416562654519362e+303,59846
8088,3.3439767447511924e+80,3.3439767447511924e+80,41532
8095,6.107732755346669e+207,6.107732755346669e+207,-666666666
7851,1.3390742317205675e+184,1.3390742317205675e+184,64000
8530,2.112775302230637e+300,2.112775302230637e+300,44360
8039,0.7032967032967034,0.0,22188
8102,0.6386961644194267,0.4422044770257888,11651
7202,0.6850567540975738,0.45876028892995124,26859
7820,0.6052096162669951,0.6052096162669951,-666666666
7880,0.7708432743726861,0.001612505141916798,-666666666
7961,inf,,-666666666
7022,0.6155112150448583,0.12666284921514864,29670
7208,0.6055231353689154,0.2074371929174007,26038
7055,0.7472953915451468,0.2552280495562753,22704
8011,inf,,-666666666
8820,1.2295719501613063e+160,1.2295719501613063e+160,59384
8821,1.0742617059696604e+250,1.0742617059696604e+250,19271
8640,1.8001223657880729e+283,1.8001223657880729e+283,18760
7501,0.627497533300444,0.4702762703502713,19625
7524,0.7167272727272728,0.33672727272727276,23288
7760,139164.1800197937,139164.14520821284,61682
7834,3.9398731814297596e+303,3.9398731814297596e+303,56348
8823,8.77936024595421e+80,8.77936024595421e+80,54630
8105,8.527604534368671e+204,8.527604534368671e+204,18880
8202,5.349281475766511e+182,5.349281475766511e+182,45568
8320,1.518443304460293e+301,1.518443304460293e+301,-666666666
8810,1.3291863240102344e+179,1.3291863240102344e+179,52698
8861,0.7686129478127685,0.12691919757928938,26386
8832,0.6881345177664975,0.17956852791878175,25461
7503,0.6298181818181818,0.4692587412587413,22997
7047,0.6812346841071747,0.19971112806114993,29599
7970,0.6272189349112426,0.0,43438
