zip_code,latino_percentage,non_white_latino_percentage,median_income
11717,0.6904964404964405,0.23650223650223656,28780
11351,inf,,-666666666
11359,inf,,-666666666
11424,inf,,-666666666
11425,inf,,-666666666
11451,inf,,-666666666
11556,inf,,-666666666
12911,inf,,-666666666
14893,inf,,-666666666
11369,0.6100505066548076,0.4373749245576697,26821
11368,0.7648365569909357,0.4377274998215687,23800
10034,0.6898511757352768,0.4951531875751787,25698
10040,0.6873883928571428,0.5415178571428572,23442
10103,inf,,-666666666
10154,inf,,-666666666
10173,inf,,-666666666
11237,0.6346468614452901,0.45662492839021196,28728
11371,inf,,-666666666
10472,0.626714546417849,0.5278153882380644,19818
10110,inf,,-666666666
10168,inf,,-666666666
10174,inf,,-666666666
10199,inf,,-666666666
10311,inf,,-666666666
10910,inf,,-666666666
10911,inf,,-666666666
10468,0.764315868206539,0.6355015783268467,20738
10170,inf,,-666666666
10171,inf,,-666666666
10459,0.6876178761787618,0.5793767937679377,18312
10474,0.6234502011659414,0.5419985220461451,15966
12862,inf,,-666666666
10927,0.6871114794861168,0.4783257355988396,25732
10271,inf,,-666666666
10452,0.6913534432486879,0.5710915548958277,18211
10473,0.6128669497641787,0.27796706893368467,24400
10033,0.6705341993864505,0.5111655726747674,28137
10111,inf,,-666666666
10115,inf,,-666666666
10153,inf,,-666666666
10169,inf,,-666666666
13290,inf,,-666666666
10020,inf,,-666666666
10167,inf,,-666666666
10457,0.6710726791585363,0.5025660901873781,17454
10460,0.6875925427379189,0.5306064073226544,17720
10032,0.668791723352422,0.51763849780112,23777
10451,0.6069262090742895,0.4999169021106864,20432
10453,0.6916270987321944,0.6110308874638993,17923
10454,0.6775771256583898,0.5472428248951952,16595
10455,0.7170031703654264,0.5933350814044958,17639
10458,0.7086895585143658,0.6201705209063303,18564
