zip_code,latino_percentage,non_white_latino_percentage,median_income
97487,5.14362073141634e+248,5.14362073141634e+248,26690
97146,7.068845488931236e+160,7.068845488931236e+160,26705
97023,1.3847650783369726e+283,1.3847650783369726e+283,32649
97604,0.6074074074074074,0.1925925925925926,-666666666
97070,2.7979833206711644e+303,2.7979833206711644e+303,39152
97124,1.4508143440704104e+80,1.4508143440704104e+80,43046
97523,220835.88384544838,220835.85358109104,18832
97731,6.420527694299733e+206,6.420527694299733e+206,21281
97435,7.417968929986349e+300,7.417968929986349e+300,27241
97127,3.0456915840841886e+179,3.0456915840841886e+179,32066
97057,0.6666666666666666,0.0,18438
97208,inf,,-666666666
97373,4.1675269456609493e+183,4.1675269456609493e+183,-666666666
97384,inf,,-666666666
97054,4.723835742785255e+220,4.723835742785255e+220,31950
