zip_code,latino_percentage,non_white_latino_percentage,median_income
17025,1.1728261097692879e+229,1.1728261097692879e+229,37187
17009,2.5715500949920765e+220,2.5715500949920765e+220,32978
17120,inf,,-666666666
17822,inf,,-666666666
19367,0.7894736842105263,0.0,-666666666
19374,0.6132596685082873,0.09576427255985265,26181
19604,0.7057433147534043,0.33602624708953643,19504
17502,9.898651398545777e+176,9.898651398545777e+176,34081
17532,6.670676128283169e+229,6.670676128283169e+229,36513
17540,8.939086283379878e+185,8.939086283379878e+185,31915
17543,1.1176433566390139e+219,1.1176433566390139e+219,36899
16312,inf,,-666666666
16699,inf,,-666666666
19112,inf,,-666666666
19602,0.6690387166807381,0.30593414545893133,16741
18016,inf,,-666666666
18046,inf,,-666666666
18068,inf,,-666666666
18195,inf,,-666666666
18225,1.0,1.0,-666666666
18087,0.6008492569002123,0.0,22273
19601,0.6941399662731872,0.3904480847988437,17164
19109,inf,,-666666666
19375,inf,,-666666666
19442,inf,,-666666666
18102,0.6372305392245995,0.2919974947976645,19335
18101,0.6790254237288136,0.3279661016949153,17351
18936,inf,,-666666666
