zip_code,latino_percentage,non_white_latino_percentage,median_income
57430,1.83031693553252e+249,1.83031693553252e+249,34375
57555,1.1031483477367525e+161,1.1031483477367525e+161,24184
57790,1.2280550089735714e+284,1.2280550089735714e+284,31155
57379,8.779022416520862e+305,8.779022416520862e+305,22500
57014,5.800103432055401e+81,5.800103432055401e+81,31127
57427,1591701.2574143028,1591701.2574143028,41607
57269,9.304749119473441e+206,9.304749119473441e+206,36813
57776,inf,,-666666666
57342,2.744777065081604e+301,2.744777065081604e+301,26193
57358,6.017416372554905e+181,6.017416372554905e+181,26250
57623,7.293172154906661e+182,7.293172154906661e+182,27596
57043,3.438426077331984e+161,3.438426077331984e+161,28277
57062,1.9704589979081695e+249,1.9704589979081695e+249,12688
57104,5.263628089102708e+282,5.263628089102708e+282,26501
