zip_code,white_percentage,median_income
57475,0.9133858267716536,35313
57476,1.0,38536
57534,0.7355371900826446,59583
57547,0.8456375838926175,26146
57564,0.9592252803261978,40037
57567,0.8902891030392883,26295
57319,0.9476190476190476,31680
57340,0.9911764705882352,30450
57345,0.9452054794520548,34191
57337,1.0,19000
57341,0.7972972972972973,32250
57350,0.7755882543592403,28726
57365,0.947463768115942,38167
57366,0.973218142548596,31399
57369,0.9879717959352966,25266
57371,0.8618421052631579,26705
57373,0.9723865877712032,35000
57434,1.0,39438
57438,0.9422665716322168,29737
57440,0.9865996649916248,30000
57450,0.9684601113172542,25761
57454,0.9231950844854072,26827
57461,0.9606741573033708,27375
57473,1.0,19583
57474,0.8531073446327684,29000
57477,0.9937888198757764,25000
57521,0.8266666666666667,-666666666
57529,0.8540540540540541,23421
57747,0.8744877049180327,24493
57430,0.9726455646737008,34375
57433,0.9945799457994581,36471
57471,0.9517857142857142,34444
57479,0.9800332778702164,46302
57531,1.0,30096
57540,0.8859649122807017,-666666666
57553,1.0,18750
57562,1.0,20114
57571,0.75,9167
57620,0.9618473895582328,35694
57645,0.8544303797468354,20972
57657,0.6768558951965066,36154
57725,0.8614864864864865,23906
57735,0.8884228187919463,23793
57788,0.985781990521327,29583
57799,0.8241279069767442,4682
57790,0.8185053380782918,31155
57766,1.0,44674
57780,1.0,-666666666
57785,0.9269183922046283,26893
57792,1.0,37649
57584,1.0,26667
57626,0.7654563297350343,26563
57644,1.0,41500
57719,0.8233133341496266,26504
57730,0.94,31278
57738,0.8429752066115702,41083
57751,0.96,26386
57761,0.8577721837633732,32215
57783,0.9423002949096038,28644
57212,0.9555045871559632,34519
57214,0.9814814814814816,30556
57225,0.9574688796680498,23256
57239,1.0,30300
57249,1.0,38523
57252,0.919861381849686,31368
57255,0.7304582210242587,22208
57258,1.0,24659
57259,0.9900199600798404,33929
57265,0.9767441860465116,34091
57362,0.9869942196531792,30000
57368,0.8624472573839662,36556
57379,0.95,22500
57384,0.9883843717001056,39352
57386,0.982608695652174,32167
57420,1.0,32250
57442,0.8724212812160695,29271
57014,0.9927536231884058,31127
57021,0.8972332015810277,45625
57073,0.9645776566757494,31076
57218,0.9527777777777776,43917
57237,0.99672131147541,26618
57241,0.9920494699646644,36726
57217,1.0,26250
57601,0.6915699141847552,30942
57754,0.9586641116890228,28710
57646,0.9285714285714286,34861
57755,0.9052631578947368,40278
57242,0.9962756052141528,21452
57245,1.0,31750
57246,1.0,35500
57264,0.9932659932659932,43125
57278,0.9291553133514986,30096
57322,0.9441489361702128,22500
57349,0.9630404463040446,27783
57370,0.6646706586826348,29306
57544,0.9022222222222224,35474
57649,0.9762711864406779,36071
57724,0.7607843137254902,19750
57005,0.9531222821360236,41646
57359,0.9422572178477692,32000
57427,0.97634691195795,41607
57448,0.993975903614458,30880
57522,0.8563922942206655,36078
57269,1.0,36813
57117,1.0,-666666666
57197,0.9017763845350052,5201
57429,1.0,31875
57439,1.0,35898
57630,0.6538461538461539,-666666666
57741,0.9154929577464788,-666666666
57782,1.0,55682
57236,0.8783783783783784,19722
57016,1.0,39421
57054,0.9851024208566108,34651
57110,0.834219954402345,38172
57276,0.9616368286445012,32346
57312,0.9162640901771336,30759
57323,0.8888888888888888,35938
57328,0.9522633744855968,29356
57332,0.9988925802879292,27736
57335,0.9964028776978416,23542
57342,0.9272097053726168,26193
57344,0.8899082568807339,19583
57348,0.9679245283018868,34432
57358,1.0,26250
57385,0.9754098360655736,27679
57422,0.9817351598173516,41042
57468,0.9833729216152018,15625
57457,1.0,53036
57470,1.0,32500
57528,0.8029999999999999,25667
57538,0.8763636363636363,15893
57632,1.0,31250
57641,0.8403361344537815,30625
57718,0.9448457904973604,34987
57720,0.989100817438692,40417
57732,0.9442667884878941,28368
57745,0.914977973568282,27559
57758,1.0,-666666666
57760,0.9673384294649062,26098
57779,1.0,-666666666
57027,1.0,31250
57219,0.9790076335877864,31354
57233,1.0,35875
57235,0.9578947368421052,35216
57238,1.0,40978
57247,1.0,41167
57251,0.6744186046511628,32857
57279,0.8902027027027027,29702
57311,0.9946595460614152,31276
57317,0.7874251497005988,24565
57324,0.9591836734693876,34125
57355,0.9748923959827832,26442
57374,0.9759036144578314,37083
57375,0.983651226158038,30880
57381,0.9965277777777778,34948
57426,1.0,27250
57432,0.997275204359673,36926
57437,0.950447350309704,22711
57449,0.8666666666666667,61250
57467,1.0,39219
57501,0.8490207715133531,37644
57532,0.9029622063329928,36316
57543,0.7915690866510539,19671
57559,0.8987341772151899,29792
57568,0.971851851851852,35433
57580,0.8091971544715447,29404
57640,0.8351648351648352,46563
57648,0.97682119205298,37794
57702,0.9122882081122712,36481
57750,0.6592592592592592,22083
57032,0.9377704994736228,37749
57053,0.9781449893390192,37123
57057,0.996268656716418,38958
57061,0.943661971830986,-666666666
57064,0.9843611684862792,41377
57103,0.7881835854957315,32267
57106,0.8841509752596469,38757
57220,0.9986893840104848,38684
57227,1.0,30313
57232,0.967741935483871,35833
57243,0.9590395480225988,34265
57263,0.9516806722689076,28750
57266,0.7839116719242902,30042
57271,0.8617363344051447,29118
57272,1.0,35083
57314,0.9813218390804598,31636
57020,0.990984743411928,44639
57026,0.9477941176470588,35848
57028,0.6513868613138686,30550
57029,0.9704496788008564,28491
57031,0.9460122699386504,39453
57047,0.9709090909090908,36875
57066,0.9597273853779429,29519
57067,0.957816377171216,29688
57068,0.9634931997136722,38750
57075,0.9790718835304822,40139
57078,0.9133322953967512,29515
57201,0.9403944773175542,30830
57274,0.95639771801141,27243
57313,0.9516518936341658,26623
57321,0.9930394431554525,37067
57330,0.9626373626373628,30682
57331,0.9838056680161944,41563
57334,0.98527865404837,31333
57353,0.9831460674157304,35625
57363,0.9761904761904762,33438
57367,0.6555555555555556,36797
57382,0.9794419970631424,27217
57383,0.9449793672627236,37292
57446,1.0,36917
57452,0.96742671009772,26591
57651,0.9840000000000001,21488
57631,1.0,38859
57633,0.815,39063
57650,1.0,37000
57701,0.7381072155027231,24842
57722,0.6290322580645161,21938
57762,0.8973384030418251,17283
57256,0.9636363636363636,30179
57042,0.9198123267221155,25745
57035,0.9849198868991518,38309
57037,0.9888097660223804,30788
57041,1.0,62778
57046,0.972972972972973,29674
57763,0.9309210526315791,31146
57767,1.0,35313
57769,0.8903578755413722,38585
57030,0.9527449617790132,36250
57466,1.0,33125
57472,0.9195148842337376,30287
57481,0.9593495934959351,32027
57523,0.9284940411700976,29044
57537,1.0,33077
57569,0.8014184397163121,24688
57576,1.0,-666666666
57634,0.7483870967741936,30208
57638,0.9496644295302014,26302
57660,0.9680851063829788,30938
57703,0.8738063155427969,30478
57706,0.8098846787479407,24192
57717,0.943258785942492,25863
57744,0.8463576158940397,31647
57038,0.9530483531885072,50762
57039,0.9725772097976569,32004
57048,0.9663105998356616,33643
57059,0.927927927927928,30996
57069,0.8784100418410041,17571
57071,0.9797678275290216,33472
57107,0.9071510957324106,32845
57108,0.9443623622778504,44935
57376,0.976293103448276,24550
57401,0.8780116353446438,31748
57421,1.0,59750
57424,0.9345794392523364,31667
57428,0.973186119873817,26422
57435,0.9968253968253968,24706
57436,0.9777327935222672,31417
57441,0.9789674952198852,36125
57445,0.9850515463917526,35101
57451,0.9783010156971376,38734
57456,0.9877750611246944,29323
57460,0.9124087591240876,28083
57469,0.9672413793103448,31611
57520,0.96,25179
57533,0.8894849785407726,24661
57552,0.9205776173285198,25938
57002,0.9576271186440678,39549
57003,0.9859081419624216,44135
57004,0.9722941481097876,35491
57015,0.94125,37386
57022,0.965203943553064,38927
57052,1.0,39821
57058,0.9673168160253032,27553
57063,0.9681372549019608,33900
57065,0.9194029850746268,31250
57248,0.9701646090534979,29605
57261,0.9774436090225564,31518
57268,1.0,34091
57301,0.9224756051539168,30956
57325,0.7673975214489991,30253
57775,0.9157303370786516,39630
57773,0.9840425531914894,35667
57791,1.0,25000
57787,1.0,25288
57793,0.911286963765098,26864
57001,0.9898020395920816,28382
57012,0.9266441821247892,35648
57013,0.9537840565085772,28450
57034,0.9977375565610859,33958
57036,0.9891107078039928,28676
57040,0.975975975975976,33088
57050,0.9907692307692308,-666666666
57051,0.9310344827586208,30125
57024,0.931640625,31284
57033,0.9764664559185108,40515
57043,0.982570806100218,28277
57045,0.9872379216043756,26463
57049,0.8897408372948934,41935
57062,0.7269667648296172,12688
57077,0.9594145043246841,35330
57221,0.9698996655518396,30603
57224,0.9844961240310076,35114
57226,0.9785385794583548,34669
57234,0.9562398703403564,31117
57006,0.9099374198899192,22751
57010,0.8651399491094147,45559
57055,0.9968152866242038,39107
57070,0.9817030260380014,26091
57072,0.9151079136690649,35500
57076,1.0,39911
57104,0.7362721171446004,26501
57223,0.994327390599676,38962
57231,0.9901417128773876,35777
57018,0.9790575916230366,37500
57025,0.9766830870279146,36563
57105,0.8890046191468164,31641
57213,0.9973614775725592,28867
57216,0.9839429081177521,30673
