zip_code,latino_percentage,non_white_latino_percentage,median_income
98812,0.6091597127886668,0.4560450223170968,24567
98938,0.851998559596687,0.061577241627655654,20978
99321,1.0,0.5511945392491467,-666666666
98357,8.848293782604451e+283,8.848293782604451e+283,25533
98421,0.6724470134874759,0.0,11705
98052,9.998174863999843e+302,9.998174863999843e+302,68033
98536,1.053176675820586e+83,1.053176675820586e+83,20455
98944,51356.89832495058,51356.19104096856,22618
98948,0.7448494453248812,0.18157120217342093,23523
98952,1.0662559420703673e+206,1.0662559420703673e+206,19794
98816,2.6364847120893718e+300,2.6364847120893718e+300,26915
98188,5.0194932998471895e+178,5.0194932998471895e+178,31627
98670,2.0944494393578103e+184,2.0944494393578103e+184,10250
98932,0.7839029768467475,0.08360896729143696,23994
98930,0.7892749728034811,0.15063671850003202,25123
98824,0.9100642398286938,0.6616702355460385,17230
98921,1.0,0.0,-666666666
98939,0.6373626373626373,0.0,8879
98848,0.671518009594276,0.47003821448898286,26612
99344,0.7442149226775031,0.3771306016480415,23418
98857,0.6386648122392211,0.4447844228094575,24403
99363,0.7742857142857142,0.33999999999999997,18534
99020,inf,,-666666666
99357,0.7396605307195793,0.4546975854649773,23397
99348,0.6148359486447932,0.22325249643366624,25719
99164,inf,,-666666666
99330,0.7371854613233924,0.2320596458527493,28563
99111,1.1062307600443362e+249,1.1062307600443362e+249,30361
99181,2.7242305572417387e+161,2.7242305572417387e+161,26667
98935,0.8542750929368029,0.10508054522924404,20610
98014,2.0379947291987216e+283,2.0379947291987216e+283,51841
99343,0.6464256141319349,0.19182997515870825,26431
99016,4.443949590747083e+303,4.443949590747083e+303,39757
98628,3.0434002799378154e+82,3.0434002799378154e+82,20536
98813,0.847672778561354,0.785966149506347,23868
98513,33875.57515709608,33875.48009878582,39798
98834,1.1969928515503522e+207,1.1969928515503522e+207,33534
98144,4.88219848500905e+299,4.88219848500905e+299,39975
98221,5.823574534478686e+178,5.823574534478686e+178,37160
