zip_code,latino_percentage,non_white_latino_percentage,median_income
54902,1.5671491968245627e+147,1.5671491968245627e+147,29245
53404,1.1902881996213219e+157,1.1902881996213219e+157,23892
53529,1.8457061648269258e+177,1.8457061648269258e+177,41504
53192,inf,,-666666666
53031,inf,,-666666666
53599,0.64,0.32,29531
53792,inf,,-666666666
53215,0.651774704215964,0.2977503749375104,22566
53204,0.7000361962872951,0.4440767361290656,21098
54561,inf,,-666666666
54010,inf,,-666666666
54450,7.19887596060517e+176,7.19887596060517e+176,23750
