zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
99504,42341,34169,20327,4290,3113,4835,1732,3761,27,3734,1865,122,302,191,22,810,129,796,2,0.524125552065374,0.10420160128480668,0.08065468458468152,0.11870291207104225,0.10795682671642144,0.00368437212158428,0.10698849814600506
99550,178,28611,41,0,104,0,0,28,0,28,5,0,0,0,0,0,0,0,2,0.25842696629213485,0.0,0.5842696629213483,0.0,0.15730337078651685,0.0,0.15730337078651685
99572,488,35379,450,0,36,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0.9221311475409836,0.0,0.07377049180327869,0.0,0.004098360655737705,0.0,0.0
99587,1742,52969,1377,0,2,24,0,238,0,238,37,0,0,0,0,54,10,0,2,0.8117106773823192,0.0,0.001148105625717566,0.013777267508610792,0.16762342135476463,0.0057405281285878304,0.13662456946039037
99591,76,25625,8,0,66,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0.10526315789473684,0.0,0.868421052631579,0.0,0.02631578947368421,0.0,0.0
99603,10597,30818,8853,51,614,144,11,438,0,438,288,9,22,0,0,91,40,15,2,0.8626026233839766,0.00566197980560536,0.06001698593941682,0.013588751533452865,0.04991978861942059,0.0037746532037369065,0.04274794753232047
99624,42,-666666666,11,0,24,0,0,3,0,3,0,1,0,0,0,0,0,3,2,0.2619047619047619,0.023809523809523808,0.5714285714285714,0.0,0.07142857142857142,0.0,0.14285714285714285
99626,270,8750,7,0,255,0,0,8,0,8,0,0,0,0,0,0,0,0,2,0.025925925925925925,0.0,0.9444444444444444,0.0,0.02962962962962963,0.0,0.02962962962962963
99784,156,21458,13,0,141,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0.08333333333333333,0.0,0.9038461538461539,0.0,0.01282051282051282,0.0,0.01282051282051282
99901,13822,35367,8846,107,1853,1101,27,1105,7,1098,351,0,116,33,0,95,28,104,2,0.6653885110693099,0.007741282014180292,0.14245405874692518,0.08204311966430329,0.08681811604688178,0.0025321950513673853,0.08696281290695992
99903,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
99925,908,24032,441,6,304,6,7,111,0,111,20,0,2,0,0,0,0,11,2,0.5077092511013216,0.006607929515418502,0.3370044052863436,0.006607929515418502,0.1222466960352423,0.0,0.1343612334801762
99589,182,11042,8,0,160,0,0,14,0,14,0,0,0,0,0,0,0,0,2,0.04395604395604396,0.0,0.8791208791208791,0.0,0.07692307692307693,0.0,0.07692307692307693
