zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
36521,6073,27966,5181,364,379,0,0,59,0,59,90,0,0,0,0,0,0,0,1,0.8679400625720401,0.05993742795982216,0.06240737691421044,0.0,0.00971513255392722,0.0,0.00971513255392722
36471,904,17017,306,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33849557522123896,0.661504424778761,0.0,0.0,0.0,0.0,0.0
36476,16,2499,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36480,1682,24688,1389,199,77,0,2,15,0,15,0,0,0,0,0,0,0,0,1,0.8258026159334126,0.11831153388822829,0.045778834720570746,0.0,0.0089179548156956,0.0,0.0089179548156956
36513,672,9319,526,63,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7827380952380952,0.09375,0.12351190476190477,0.0,0.0,0.0,0.0
36703,12927,16171,2848,9882,24,60,0,113,0,113,0,0,0,0,0,0,0,0,1,0.2203140713235863,0.7644465073102809,0.0018565792527268509,0.004641448131817127,0.008741393981588923,0.0,0.008741393981588923
36572,6159,30373,5482,476,0,0,0,69,18,51,55,0,0,0,0,0,0,0,1,0.8990095794771878,0.07728527358337392,0.0,0.0,0.011203117389186557,0.0029225523623964927,0.008280565026790063
36575,21118,26406,16650,3254,83,130,0,170,0,170,284,0,0,0,0,385,0,40,1,0.8018751775736339,0.15408656122738895,0.003930296429586135,0.006155885974050573,0.02628089781229283,0.0,0.009944123496543233
36727,12,-666666666,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,0.0,0.0
36736,1633,36700,260,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15921616656460502,0.840783833435395,0.0,0.0,0.0,0.0,0.0
36740,1276,17167,369,866,37,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0.2891849529780564,0.6818181818181818,0.028996865203761754,0.0,0.0,0.0,0.0
36742,1921,20357,1028,891,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0.5351379489849037,0.46382092660072877,0.0,0.0,0.001041124414367517,0.0,0.001041124414367517
36751,632,18378,44,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06962025316455696,0.930379746835443,0.0,0.0,0.0,0.0,0.0
36754,473,56955,20,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.042283298097251586,0.9577167019027484,0.0,0.0,0.0,0.0,0.0
36758,1412,30000,1147,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8123229461756374,0.18767705382436262,0.0,0.0,0.0,0.0,0.0
36850,2612,16159,671,1898,0,0,0,7,0,7,8,17,0,0,0,8,0,3,1,0.2599540581929556,0.7331546707503829,0.0,0.0,0.005742725880551302,0.0,0.0038284839203675345
36003,1963,20257,818,1098,23,9,0,11,0,11,0,4,0,0,0,0,0,0,1,0.4167091186958737,0.5613856342333163,0.011716760061130923,0.004584819154355578,0.0056036678553234845,0.0,0.0056036678553234845
36022,13003,34351,11730,968,0,29,0,206,0,206,35,15,0,0,0,20,0,0,1,0.9047912020303007,0.07559793893716835,0.0,0.0022302545566407752,0.01738060447589018,0.0,0.01584249788510344
36026,1091,27700,891,167,0,0,0,0,0,0,33,0,0,0,0,0,0,0,1,0.846929422548121,0.15307057745187902,0.0,0.0,0.0,0.0,0.0
36032,2464,16981,468,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.18993506493506493,0.810064935064935,0.0,0.0,0.0,0.0,0.0
36020,1039,19917,563,378,47,9,0,24,0,24,18,0,0,0,0,0,0,0,1,0.559191530317613,0.3638113570741097,0.04523580365736285,0.008662175168431183,0.023099133782483156,0.0,0.023099133782483156
36029,1164,31750,499,587,0,0,0,78,0,78,0,0,0,0,0,0,0,0,1,0.42869415807560135,0.5042955326460481,0.0,0.0,0.06701030927835051,0.0,0.06701030927835051
36432,2150,22045,1837,267,0,0,0,35,0,35,11,0,0,0,0,0,0,0,1,0.8595348837209302,0.1241860465116279,0.0,0.0,0.01627906976744186,0.0,0.01627906976744186
36435,370,17908,47,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12702702702702703,0.8729729729729729,0.0,0.0,0.0,0.0,0.0
36106,14951,30888,7107,7106,13,371,0,71,0,71,209,0,0,0,0,44,0,0,1,0.48933181726974784,0.47528593405123404,0.0008695070563841884,0.02481439368604107,0.007691793191090897,0.0,0.004748846231021337
36258,1385,29858,1305,0,0,17,0,0,0,0,63,0,0,0,0,0,0,0,1,0.9877256317689531,0.0,0.0,0.01227436823104693,0.0,0.0,0.0
36345,8785,29558,6568,1871,0,71,0,72,0,72,141,0,0,0,0,62,0,0,1,0.7636881047239613,0.21297666476949345,0.0,0.008081957882754695,0.015253272623790552,0.0,0.00819578827546955
36271,5771,26178,5386,64,18,0,0,199,0,199,77,5,0,0,0,22,0,0,1,0.9466297002252643,0.011956333391093399,0.0031190434933287127,0.0,0.03829492289031364,0.0,0.034482758620689655
36276,2573,20493,1922,515,0,30,0,83,0,83,12,0,0,0,0,0,0,0,1,0.7516517683637777,0.20015546055188496,0.0,0.011659541391371939,0.03225806451612903,0.0,0.03225806451612903
36316,2118,31333,1828,162,0,15,0,21,0,21,92,0,0,0,0,0,0,0,1,0.9065155807365439,0.0764872521246459,0.0,0.007082152974504249,0.009915014164305949,0.0,0.009915014164305949
36352,5433,25520,4923,306,8,96,0,67,0,67,23,6,0,0,0,4,0,0,1,0.9103625989324499,0.05742683600220872,0.0014724829744156083,0.0176697956929873,0.013068286397938524,0.0,0.01233204491073072
36370,881,23266,783,68,0,0,0,13,0,13,17,0,0,0,0,0,0,0,1,0.9080590238365494,0.0771850170261067,0.0,0.0,0.014755959137343927,0.0,0.014755959137343927
36444,774,19846,514,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6640826873385013,0.3359173126614987,0.0,0.0,0.0,0.0,0.0
36446,441,14712,180,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40816326530612246,0.5918367346938775,0.0,0.0,0.0,0.0,0.0
36477,3688,20738,3147,214,33,4,6,157,0,157,67,0,3,0,0,57,0,0,1,0.8714750542299349,0.05802603036876356,0.009761388286334056,0.0010845986984815619,0.05802603036876356,0.0,0.0425704989154013
36505,1682,30118,1071,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6367419738406659,0.3632580261593341,0.0,0.0,0.0,0.0,0.0
36509,2054,21114,1175,217,10,429,0,75,0,75,148,0,0,0,0,0,0,0,1,0.6441090555014606,0.1056475170399221,0.004868549172346641,0.2088607594936709,0.0365141187925998,0.0,0.0365141187925998
36544,11682,19544,8714,960,53,1248,0,262,0,262,158,0,0,0,0,287,0,0,1,0.7594589967471324,0.08217770929635336,0.004536894367402842,0.10683102208525937,0.04699537750385208,0.0,0.022427666495463107
36574,1123,23625,1002,28,41,0,0,52,0,52,0,0,0,0,0,0,0,0,1,0.8922528940338379,0.024933214603739984,0.0365093499554764,0.0,0.04630454140694568,0.0,0.04630454140694568
36576,4198,27362,3740,132,5,0,0,58,0,58,43,0,44,0,0,141,29,6,1,0.901143401619819,0.03144354454502144,0.011672224868985231,0.0,0.047403525488327776,0.006908051453072892,0.015245354930919485
36612,4626,16325,165,4252,0,13,0,0,0,0,25,171,0,0,0,0,0,0,1,0.041072200605274535,0.9561175961954173,0.0,0.0028102031993082577,0.0,0.0,0.0
36693,19721,28543,12581,4887,51,676,9,1087,0,1087,379,0,0,0,0,0,16,0,1,0.6571674864357792,0.2478069063434917,0.002586075756807464,0.034278180619644036,0.055118908777445366,0.0008113178844886162,0.055118908777445366
36728,214,14655,64,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29906542056074764,0.7009345794392523,0.0,0.0,0.0,0.0,0.0
36738,718,11267,222,488,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0.3203342618384401,0.6796657381615598,0.0,0.0,0.0,0.0,0.0
36752,1146,26473,767,346,13,0,0,9,0,9,0,0,0,0,0,0,0,11,1,0.6692844677137871,0.3019197207678883,0.011343804537521814,0.0,0.007853403141361256,0.0,0.017452006980802792
36763,316,25074,135,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4272151898734177,0.5727848101265823,0.0,0.0,0.0,0.0,0.0
36767,1476,14173,196,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13279132791327913,0.8672086720867209,0.0,0.0,0.0,0.0,0.0
36768,900,14402,243,609,3,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0.32,0.6766666666666666,0.0033333333333333335,0.0,0.0,0.0,0.0
36874,9973,30524,7614,1829,7,106,0,95,0,95,255,0,0,0,0,21,46,0,1,0.789030382031485,0.18339516695076707,0.0007018951168154016,0.010628697483204653,0.01163140479294094,0.004612453624786924,0.009525719442494735
36875,3782,30794,2432,1128,43,21,0,39,0,39,64,44,0,0,0,0,0,0,1,0.6599682707562137,0.30988894764674774,0.011369645690111053,0.005552617662612375,0.010312004230565839,0.0,0.010312004230565839
36879,2521,44099,1601,674,0,66,0,1,0,1,120,0,0,28,0,17,0,0,1,0.682665608885363,0.2673542245140817,0.0,0.03728679095596985,0.007140023800079333,0.0,0.0003966679888932963
36907,1597,14773,462,1121,9,0,0,4,0,4,0,1,0,0,0,0,0,0,1,0.28929242329367566,0.7025673137132122,0.005635566687539136,0.0,0.002504696305572949,0.0,0.002504696305572949
36033,4262,18284,2413,1685,0,26,0,94,0,94,9,0,0,0,0,35,0,0,1,0.5682778038479587,0.39535429375879866,0.0,0.006100422336931018,0.03026748005631159,0.0,0.022055373064289067
36277,5771,28942,4580,525,64,154,0,260,0,260,87,0,0,0,0,71,13,0,1,0.8086986657425056,0.09097210188875411,0.011089932420724312,0.026685149887367875,0.057355744238433544,0.0022526425229596257,0.045052850459192516
36362,5311,34769,3487,645,45,106,0,278,0,278,439,87,0,0,0,224,0,0,1,0.7392204857842214,0.13782715119563171,0.008472980606288835,0.019958576539258144,0.09452080587459989,0.0,0.05234419130107324
36541,15524,29092,13212,1443,114,55,0,272,0,272,323,0,0,0,0,21,84,0,1,0.8718758052048441,0.09295284720432878,0.007343468178304561,0.0035429013140943055,0.0188740015459933,0.0054109765524349394,0.017521257407884565
36482,1004,20010,368,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3665338645418327,0.6334661354581673,0.0,0.0,0.0,0.0,0.0
36538,377,11798,122,245,0,1,0,9,0,9,0,0,0,0,0,0,0,0,1,0.32360742705570295,0.649867374005305,0.0,0.002652519893899204,0.023872679045092837,0.0,0.023872679045092837
36548,998,33403,598,334,0,0,0,60,0,60,6,0,0,0,0,0,0,0,1,0.6052104208416834,0.3346693386773547,0.0,0.0,0.06012024048096192,0.0,0.06012024048096192
36549,5687,26931,5535,0,25,0,0,0,0,0,127,0,0,0,0,0,0,0,1,0.995604009143661,0.0,0.004395990856339019,0.0,0.0,0.0,0.0
36550,179,19267,99,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.553072625698324,0.44692737430167595,0.0,0.0,0.0,0.0,0.0
36560,3243,16965,755,1421,954,57,0,51,8,43,0,5,0,0,0,0,0,0,1,0.232809127351218,0.4397163120567376,0.29417206290471787,0.01757631822386679,0.01572617946345976,0.002466851680542707,0.013259327782917052
36561,6843,38105,6713,7,0,47,0,57,7,50,10,0,0,0,0,0,0,0,1,0.9824638316527838,0.0010229431535876078,0.0,0.006868332602659652,0.008329679964927663,0.0010229431535876078,0.007306736811340055
