zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
71950,771,23893,722,0,10,37,0,2,0,2,0,0,0,0,0,0,0,0,5,0.9364461738002594,0.0,0.01297016861219196,0.04798962386511025,0.0025940337224383916,0.0,0.0025940337224383916
71957,2826,22510,2700,18,26,36,0,13,4,9,28,4,0,0,0,0,0,1,5,0.9653220099079972,0.00778485491861288,0.009200283085633405,0.012738853503184714,0.0046001415428167025,0.0014154281670205238,0.003538570417551309
71968,4256,28119,3927,91,108,0,0,12,0,12,105,0,0,0,0,13,0,0,5,0.9473684210526315,0.02138157894736842,0.02537593984962406,0.0,0.0058740601503759395,0.0,0.002819548872180451
71642,889,19479,669,214,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0.7525309336332958,0.2407199100112486,0.0,0.006749156355455568,0.0,0.0,0.0
71651,80,34167,66,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.825,0.175,0.0,0.0,0.0,0.0,0.0
71655,15094,24382,10111,4364,0,6,0,157,0,157,285,20,3,0,0,142,0,6,5,0.68875049688618,0.29044653504703855,0.00019875447197561946,0.00039750894395123893,0.019809195706903406,0.0,0.01079899297734199
71658,732,18458,333,322,0,0,0,6,0,6,52,3,0,0,0,16,0,0,5,0.5259562841530054,0.44398907103825136,0.0,0.0,0.030054644808743168,0.0,0.00819672131147541
71601,14258,18071,1534,12429,88,0,0,81,0,81,30,22,0,0,0,62,12,0,5,0.10969280403983729,0.8732641324168887,0.00617197362883995,0.0,0.010029457146864918,0.0008416327675690841,0.005681021181091317
71724,453,21250,299,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.6600441501103753,0.33995584988962474,0.0,0.0,0.0,0.0,0.0
71726,1237,18688,604,524,0,9,0,100,0,100,0,0,0,0,0,0,0,0,5,0.48827809215844786,0.423605497170574,0.0,0.007275666936135812,0.08084074373484236,0.0,0.08084074373484236
71765,1858,23187,827,898,85,41,0,0,0,0,7,0,0,0,0,0,0,0,5,0.4488697524219591,0.48331539289558667,0.045748116254036596,0.022066738428417654,0.0,0.0,0.0
71845,1961,21078,1036,792,16,0,0,4,0,4,40,0,0,0,0,36,0,0,5,0.5486996430392657,0.4038755736868944,0.00815910249872514,0.0,0.02039775624681285,0.0,0.002039775624681285
71861,1900,20149,1771,71,12,0,0,34,0,34,12,0,0,0,0,0,0,0,5,0.9384210526315789,0.03736842105263158,0.00631578947368421,0.0,0.017894736842105262,0.0,0.017894736842105262
71913,47111,25338,37739,3760,399,183,0,1354,28,1326,2361,0,42,0,0,1023,236,0,5,0.8511812527859736,0.07981150898940799,0.009360871134130033,0.0038844431236866126,0.05045530767761245,0.005603786801383966,0.02814629279786037
71935,499,20577,491,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9839679358717435,0.01603206412825651,0.0,0.0,0.0,0.0,0.0
71944,787,20368,571,6,41,0,0,7,0,7,56,0,0,0,0,92,1,0,5,0.7966963151207116,0.007623888182973317,0.052096569250317665,0.0,0.12579415501905972,0.0012706480304955528,0.008894536213468869
71949,1676,17338,1634,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71956,1525,20294,1422,55,0,0,0,35,0,35,13,0,0,0,0,0,0,0,5,0.940983606557377,0.036065573770491806,0.0,0.0,0.022950819672131147,0.0,0.022950819672131147
71970,809,28524,790,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9765142150803461,0.0,0.023485784919653894,0.0,0.0,0.0,0.0
71958,2365,19606,1899,298,0,6,0,38,0,38,92,0,0,0,0,20,12,0,5,0.8418604651162791,0.12600422832980973,0.0,0.002536997885835095,0.02452431289640592,0.00507399577167019,0.016067653276955602
71959,771,19939,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71962,666,25000,351,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.527027027027027,0.47297297297297297,0.0,0.0,0.0,0.0,0.0
