zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
85610,1071,26641,709,8,16,0,0,0,0,0,289,0,8,0,0,5,0,36,4,0.9318394024276377,0.007469654528478058,0.022408963585434174,0.0,0.004668534080298786,0.0,0.03361344537815126
85614,23777,30548,19964,217,39,212,0,163,0,163,2893,11,7,0,0,238,9,24,4,0.9613071455608361,0.00958909870883627,0.001934642721958195,0.008916179501198638,0.01686503764141818,0.00037851705429616856,0.007864743239264836
85624,1289,26090,781,10,0,0,0,126,0,126,329,0,0,0,0,43,0,0,4,0.861132660977502,0.007757951900698216,0.0,0.0,0.13110938712179984,0.0,0.09775019394879751
85629,25770,36618,13801,527,16,337,0,818,18,800,9057,10,142,130,0,595,180,130,4,0.887000388048118,0.020838183934807915,0.006131160263872721,0.018121847109041522,0.054831199068684514,0.007683352735739232,0.03608847497089639
85630,1757,20490,1515,0,0,0,0,0,0,0,225,0,0,0,0,9,8,0,4,0.9903244166192373,0.0,0.0,0.0,0.005122367672168469,0.004553215708594195,0.0
85715,17550,34397,12858,532,8,458,20,455,6,449,2736,0,8,7,0,389,36,43,4,0.8885470085470085,0.030313390313390313,0.0009116809116809116,0.026495726495726495,0.04809116809116809,0.002393162393162393,0.028034188034188036
85193,6142,20196,1915,48,469,13,0,229,0,229,2504,0,105,0,0,752,0,83,4,0.7194724845327255,0.007815043959622273,0.09345490068381634,0.002116574405731032,0.1597199609247802,0.0,0.05079778573754477
85194,7948,29662,4944,49,440,134,0,61,0,61,1741,0,94,0,0,414,0,71,4,0.8410920986411676,0.006165072974333166,0.06718671363865124,0.016859587317564168,0.05976346250629089,0.0,0.01660795168595873
85209,41407,34261,31047,874,314,1491,23,952,5,947,4938,54,0,196,0,1002,136,276,4,0.8690559567222933,0.022411669524476537,0.007583258869273311,0.040741903542879224,0.047190088632356846,0.00340522133938706,0.029536068780640953
85266,13253,58553,11721,64,19,560,0,466,14,452,374,18,0,0,0,31,0,0,4,0.9126235569305063,0.006187278352071229,0.0014336376669433337,0.042254583867803515,0.03750094318267562,0.0010563645966950878,0.03410548555044141
85286,44885,47693,25982,2382,50,7076,44,958,52,906,6196,135,21,95,0,1173,563,199,4,0.7168987412275816,0.05607664030299655,0.001581820207196168,0.15976384092681298,0.047476885373732874,0.013701682076417511,0.024618469421855853
85295,47791,43596,32935,2015,322,2422,190,1976,168,1808,6217,120,14,62,0,938,135,335,4,0.8192337469398003,0.044673683329497185,0.007030612458412672,0.051976313531836536,0.06097382352325752,0.006340105877675713,0.0448410788642213
85297,33868,44531,22543,1808,50,2147,56,1160,0,1160,4796,16,135,65,0,968,46,53,4,0.8072221566080076,0.05385614739577182,0.005462383370733436,0.06531238927601275,0.0628321719617338,0.0013582142435337192,0.035815519074052206
85298,31593,49731,23891,947,47,2197,0,616,0,616,3235,7,62,80,0,186,114,135,4,0.8586079194758333,0.030196562529674294,0.0034501313582122623,0.07207292754724148,0.02538537017693793,0.003608394264552274,0.023771088532269807
85341,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,
85343,205,28393,131,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85352,500,21719,147,0,0,0,0,0,0,0,178,0,0,0,0,175,0,0,4,0.65,0.0,0.0,0.0,0.35,0.0,0.0
85371,290,21296,27,0,98,0,0,14,0,14,73,0,78,0,0,0,0,0,4,0.3448275862068966,0.0,0.6068965517241379,0.0,0.04827586206896552,0.0,0.04827586206896552
85377,3333,35404,3292,0,4,0,0,2,0,2,33,0,0,0,0,2,0,0,4,0.9975997599759976,0.0,0.0012001200120012002,0.0,0.0012001200120012002,0.0,0.0006000600060006001
85383,55327,47808,42415,1265,309,2886,158,1824,11,1813,4569,66,90,47,0,860,167,602,4,0.8492056319699243,0.024056970376127387,0.0072116688054656855,0.05301209174544074,0.04851157662624035,0.003217235707701484,0.043649574348871255
85387,10512,36928,7930,299,0,154,0,65,0,65,1396,0,0,0,0,616,17,35,4,0.8871765601217656,0.028443683409436833,0.0,0.014649923896499238,0.06478310502283105,0.0016171993911719938,0.009512937595129375
85388,30817,39446,20338,2373,26,1102,16,623,0,623,5329,188,0,0,0,424,54,101,4,0.8328844468961937,0.08310348184443651,0.0008436901710095078,0.035759483402018365,0.03397475419411364,0.0017522795859428238,0.0234935263004186
85392,39054,33503,15638,3785,541,1785,175,984,10,974,11430,355,179,20,0,3782,181,193,4,0.6930916167358017,0.10600706713780919,0.01843601167614073,0.04621805704921391,0.12203615506734265,0.004890664208531776,0.02988170225841143
85395,30491,37428,18841,1853,693,1877,68,1054,33,1021,4382,30,184,32,0,1314,72,35,4,0.761634580695943,0.06175592797874783,0.02876258568102063,0.06260863861467318,0.07766226099504772,0.003443639106621626,0.034633170443737496
85396,20905,39324,14477,760,42,274,10,301,0,301,3276,0,62,32,14,1335,111,211,4,0.849222674001435,0.03635493900980627,0.004974886390815595,0.014637646496053576,0.07825878976321454,0.005309734513274336,0.024491748385553694
85551,447,23173,130,0,0,0,0,0,0,0,303,5,0,0,0,9,0,0,4,0.9686800894854586,0.011185682326621925,0.0,0.0,0.020134228187919462,0.0,0.0
85620,751,21463,58,0,0,5,0,0,0,0,474,0,0,0,0,105,12,97,4,0.7083888149134487,0.0,0.0,0.006657789613848202,0.13981358189081225,0.015978695073235686,0.12916111850865514
85622,6142,35350,5889,4,0,48,0,39,0,39,143,0,0,0,0,8,0,11,4,0.982090524259199,0.0006512536633018561,0.0,0.007815043959622273,0.007652230543796809,0.0,0.0081406707912732
85626,1077,17536,88,0,0,0,0,0,0,0,867,0,0,0,0,122,0,0,4,0.8867223769730733,0.0,0.0,0.0,0.11327762302692665,0.0,0.0
85658,11482,38846,8930,319,40,386,0,227,0,227,951,28,20,49,0,236,0,283,4,0.8605643616094757,0.03022121581605992,0.0052255704581083435,0.03788538582128549,0.04032398536840272,0.0,0.04441734889392092
85707,678,22423,339,189,0,7,0,15,15,0,55,17,0,0,6,40,0,10,4,0.5811209439528023,0.30383480825958703,0.0,0.01032448377581121,0.08112094395280237,0.022123893805309734,0.014749262536873156
85723,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,
85724,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,
85726,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,
85755,17087,39801,13697,360,1,599,0,257,76,181,1486,31,74,19,0,350,126,25,4,0.8885702580909464,0.022882893427752092,0.004389301808392345,0.03616784690115293,0.03552408263592204,0.011821852870603384,0.012055948967050974
85756,42749,23717,12606,3482,748,596,10,881,17,864,14895,102,1125,35,33,6063,452,1694,4,0.6433132938782193,0.0838382184378582,0.043813890383400785,0.014760579194834967,0.16243654822335024,0.0109710168658916,0.05983765702121687
85757,20350,26920,3603,225,3151,299,0,152,2,150,6319,0,779,9,0,4638,937,220,4,0.4875675675675676,0.011056511056511056,0.1931203931203931,0.015135135135135135,0.23538083538083537,0.046142506142506146,0.01818181818181818
