zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
93252,2488,14191,869,18,23,124,0,81,17,64,1110,6,18,0,0,79,154,6,6,0.7954180064308681,0.00964630225080386,0.01647909967845659,0.04983922829581994,0.06430868167202572,0.06872990353697749,0.028135048231511254
93270,5367,15206,1078,5,20,0,4,16,0,16,2333,0,229,0,0,1623,0,59,6,0.635550586920067,0.000931619154089808,0.046394633873672445,0.0,0.3053847587106391,0.0,0.013974287311347122
93291,59270,25848,19269,326,294,4139,157,1081,80,1001,20820,48,543,1012,0,9946,749,718,6,0.6763792812552725,0.006310106293234351,0.014121815420954953,0.08690737303863674,0.18604690399865023,0.013986839885270795,0.02900286823013329
93304,49115,21399,9134,6162,113,1227,64,511,38,473,18262,300,744,17,0,11598,642,300,6,0.5577929349485901,0.13156876717906954,0.0174488445485086,0.025328311106586582,0.24654382571515832,0.013845057518069836,0.015738572737452917
93306,72280,25490,20770,1583,156,1776,159,914,84,830,38140,180,1000,33,0,6306,468,619,6,0.8150249031543996,0.0243912562257886,0.015993359158826784,0.025027670171555064,0.09988931931377974,0.007636967349197565,0.020047039291643608
93307,86832,20701,9363,5743,414,1896,153,469,8,461,52254,106,909,172,294,13942,621,329,6,0.7096116639027087,0.06735995946194952,0.015236318407960199,0.023816104661875805,0.16596416067809103,0.007243873226460291,0.009098028376635342
90716,14285,22660,590,577,12,1410,0,167,29,138,2276,0,61,35,0,8776,196,84,6,0.20063003150157507,0.04039201960098005,0.005110255512775639,0.10115505775288765,0.6260413020651032,0.01575078753937697,0.015540777038851943
90717,21508,36108,8415,1273,52,3449,82,893,91,802,3666,52,118,82,0,2726,306,326,6,0.5616979728473126,0.061604984191928586,0.007904035707643668,0.16417147108052818,0.16826297191742606,0.018458248093732563,0.052445601636600336
90731,60659,28242,16589,4087,118,3084,83,2038,72,1966,17425,202,265,215,34,14068,954,1386,6,0.5607411925682916,0.07070673766464992,0.006313984734334558,0.054385993834385665,0.26551707083862247,0.016914225424092055,0.0552597306252988
90744,56880,22191,2211,1571,41,1751,194,498,59,439,28112,101,1589,77,68,18923,1002,716,6,0.533104781997187,0.029395218002812938,0.028656821378340365,0.03213783403656821,0.3414381153305204,0.018653305203938115,0.02030590717299578
90746,27075,36587,1633,17052,96,2192,341,833,1,832,2399,218,92,20,0,1719,116,284,6,0.1489196675900277,0.6378578024007386,0.006943674976915974,0.08169898430286242,0.09425669436749769,0.004321329639889197,0.04121883656509695
90822,133,16250,99,15,0,4,0,0,0,0,12,0,0,0,0,3,0,0,6,0.8345864661654135,0.11278195488721804,0.0,0.03007518796992481,0.022556390977443608,0.0,0.0
94929,254,52262,209,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,6,0.8228346456692913,0.0,0.0,0.0,0.17716535433070865,0.0,0.0
94065,12461,99234,5235,99,40,5144,79,889,0,889,359,58,13,0,0,205,122,159,6,0.4489206323730038,0.012599309846721772,0.004253270203033464,0.41280796083781396,0.08779391702110585,0.0097905465050959,0.08410239948639756
94066,43101,48215,14124,414,40,13284,1256,2078,207,1871,4971,12,14,100,0,5187,594,664,6,0.44302916405651843,0.009883761397647387,0.001252871163082063,0.31052643790167284,0.1685575740702072,0.018584255585717267,0.05881534071135241
94086,50477,74375,15112,764,79,23197,21,2205,129,2076,5319,9,39,105,25,3070,233,88,6,0.40475860292806626,0.015313905343027517,0.002337698357667849,0.46163599263030686,0.10450304098896528,0.007171583097252214,0.042871010559264615
94304,3852,81856,2491,97,0,867,0,147,0,147,182,0,20,0,0,48,0,0,6,0.6939252336448598,0.02518172377985462,0.005192107995846314,0.2250778816199377,0.050623052959501556,0.0,0.0381619937694704
94110,72380,56854,31664,2387,252,10642,22,2932,123,2809,8182,166,195,442,47,13355,1206,609,6,0.5505111909367228,0.03527217463387676,0.006175739154462559,0.153136225476651,0.22502072395689418,0.01836142580823432,0.047222989776181265
93420,30740,38847,23292,247,255,1031,88,1045,0,1045,2881,0,174,20,0,1165,297,232,6,0.8514313597918022,0.008035133376707873,0.013955757970071567,0.03418998048145738,0.07189329863370202,0.009661678594664932,0.041541964866623295
93454,40432,26380,9277,523,94,1965,0,580,31,549,24445,67,62,37,0,2589,133,583,6,0.8340423426988524,0.01459240205777602,0.003858330035615354,0.04951523545706371,0.0783785120696478,0.004056193114364859,0.027997625643055007
93458,57256,23699,4595,514,12,2325,0,245,6,239,42999,27,613,283,0,4663,442,538,6,0.8312491267290765,0.009448791393041778,0.01091588654464161,0.045549811373480506,0.08572027385776163,0.007824507475199105,0.013570630152298448
93461,1349,25745,564,11,0,0,3,15,0,15,735,0,0,0,0,21,0,0,6,0.9629355077835434,0.00815418828762046,0.0,0.0,0.026686434395848776,0.0,0.01111934766493699
93536,70237,40772,31423,9847,482,3785,83,2514,114,2400,15066,561,281,124,10,4561,520,849,6,0.6618876090949215,0.14818400558110398,0.010863220240044422,0.05565442715377935,0.10073038427039879,0.00902658143143927,0.0462576704585902
93546,9591,30562,5571,24,22,331,0,183,0,183,2495,52,0,0,0,698,78,41,6,0.8409967678031488,0.007924095506203733,0.00229381712021687,0.034511521217808365,0.09185694922323011,0.008132624335314358,0.02335522886038995
93591,6744,22753,1857,535,14,39,0,72,0,72,2160,9,0,12,0,1867,123,56,6,0.5956405693950177,0.08066429418742586,0.0020759193357058124,0.007562277580071174,0.287514827995255,0.018238434163701068,0.018979833926453145
93609,5177,18551,1236,0,0,280,0,120,64,56,1874,0,4,0,0,1574,57,13,6,0.6007340158392892,0.0,0.0007726482518833301,0.05408537763183311,0.3272165346725903,0.023372609619470738,0.013328182344987444
93616,2582,14646,213,0,0,111,0,42,0,42,1612,0,0,0,0,599,5,0,6,0.7068164213787761,0.0,0.0,0.04298993028659954,0.2482571649883811,0.0019364833462432224,0.016266460108443067
93618,31470,22520,4682,129,47,531,3,228,54,174,19046,44,109,43,0,6048,307,215,6,0.7539879250079441,0.005497299014934859,0.004957102001906578,0.018239593263425485,0.1994280266920877,0.011471242453129965,0.012360978709882427
93626,2427,41959,1229,14,39,386,0,143,0,143,540,0,0,0,0,64,0,12,6,0.7288833951380305,0.0057684384013185,0.016069221260815822,0.15904408735063866,0.08529048207663782,0.0,0.0638648537288834
93501,4802,18872,1666,855,113,35,79,48,0,48,973,37,16,17,0,797,88,36,6,0.5495626822157434,0.18575593502707205,0.026863806747188673,0.010828821324448146,0.17596834652228238,0.018325697625989172,0.01749271137026239
93505,13774,24480,5037,3301,67,443,32,669,114,555,2621,302,144,52,0,1016,55,35,6,0.5559750254101932,0.26157978800638887,0.01531871642224481,0.035937273123275736,0.12233192972266589,0.012269493248148687,0.04283432554087411
93526,629,29773,426,5,105,3,3,23,0,23,47,0,7,0,0,3,0,7,6,0.7519872813990461,0.00794912559618442,0.178060413354531,0.0047694753577106515,0.04133545310015898,0.0,0.04769475357710652
93530,10,-666666666,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93552,39905,26147,4997,4838,15,1446,22,262,22,240,13268,6,431,23,20,13297,907,361,6,0.4577120661571232,0.12138829720586393,0.011176544292695151,0.03681242952011026,0.3397819822077434,0.023280290690389675,0.015060769327151986
93560,21756,32430,9351,1653,104,291,22,1130,11,1119,5700,175,160,18,0,2906,178,68,6,0.6918091560948704,0.0840227983085126,0.012134583563154992,0.014202978488692775,0.1855120426548998,0.008687258687258687,0.054559661702518844
93608,1280,20511,19,0,0,0,0,0,0,0,755,0,0,0,0,506,0,0,6,0.6046875,0.0,0.0,0.0,0.3953125,0.0,0.0
93669,238,19625,214,0,13,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0.8991596638655462,0.0,0.0546218487394958,0.0,0.046218487394957986,0.0,0.0
93701,10166,13995,1032,705,13,1151,0,31,0,31,5014,58,42,0,0,1963,130,27,6,0.59472752311627,0.07505410190832186,0.0054101908321857175,0.11322053905174109,0.19614400944324217,0.01278772378516624,0.005705292150304938
93728,16574,20702,4374,1020,95,230,74,176,0,176,7572,19,76,28,0,2397,285,218,6,0.7207674671171714,0.06268854832870761,0.010317364546880656,0.01556655001810064,0.15524315192470134,0.017195607578134427,0.023772173283456016
93924,6514,47840,5089,20,35,70,0,219,0,219,685,0,17,0,0,348,0,31,6,0.8863985262511513,0.003070310101320233,0.007982806263432606,0.010746085354620816,0.08704329137242861,0.0,0.038378876266502916
93925,2073,21738,137,0,0,3,0,0,0,0,737,0,0,0,0,1190,0,0,6,0.42161119150988907,0.0,0.0,0.001447178002894356,0.5740472744814279,0.0,0.0
93933,25442,31385,9734,1505,35,3853,341,2193,19,2174,3915,63,85,145,0,2775,363,410,6,0.5364751198805126,0.061630374970521186,0.004716610329376621,0.15714173414039775,0.19526766763619213,0.015014542881848912,0.1015643424259099
93638,49932,19431,6218,1574,90,229,71,647,0,647,25039,7,131,25,0,15133,531,237,6,0.6259913482335977,0.03166306176399904,0.004426019386365457,0.005086918208763919,0.31602980052871904,0.010634462869502523,0.017704077545461827
93651,1798,36928,1185,0,18,9,24,143,0,143,323,0,15,0,0,23,0,58,6,0.8387096774193549,0.0,0.01835372636262514,0.005005561735261402,0.09232480533926585,0.0,0.1117908787541713
93660,4090,18698,113,48,0,0,0,0,0,0,2703,0,0,0,0,1205,21,0,6,0.6885085574572127,0.0117359413202934,0.0,0.0,0.2946210268948655,0.005134474327628362,0.0
