zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
80434,42,23472,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80446,4257,37349,3923,15,0,9,0,0,0,0,278,15,0,0,0,5,12,0,8,0.9868451961475218,0.007047216349541931,0.0,0.0021141649048625794,0.0011745360582569885,0.0028188865398167725,0.0
80447,2328,37233,2146,5,0,0,0,149,0,149,15,0,0,0,0,13,0,0,8,0.9282646048109966,0.002147766323024055,0.0,0.0,0.06958762886597938,0.0,0.06400343642611683
80701,15858,30248,7590,1034,24,141,0,158,5,153,5850,9,0,0,0,670,245,137,8,0.8475217555807795,0.06577121957371673,0.001513431706394249,0.008891411275066213,0.05221339387060159,0.015764913608273427,0.018287299785597174
80723,7180,24683,5209,0,27,0,39,112,0,112,1396,0,27,0,0,160,204,6,8,0.91991643454039,0.0,0.007520891364902507,0.0,0.03788300835654596,0.02841225626740947,0.016434540389972146
80750,261,17273,234,0,0,0,0,9,9,0,6,0,0,0,0,12,0,0,8,0.9195402298850575,0.0,0.0,0.0,0.08045977011494253,0.034482758620689655,0.0
80751,18318,26691,13556,186,152,156,210,765,0,765,3030,0,7,0,0,186,40,20,8,0.905448193034174,0.010153946937438586,0.008679986898132984,0.008516213560432362,0.05191614805109728,0.0021836445026749644,0.04285402336499618
80818,412,32188,405,0,0,0,0,5,0,5,1,0,0,0,0,1,0,0,8,0.9854368932038835,0.0,0.0,0.0,0.014563106796116505,0.0,0.012135922330097087
80864,1489,25585,1292,0,4,0,0,38,0,38,56,12,0,27,5,0,8,47,8,0.9053055742108798,0.008059100067159167,0.002686366689053056,0.018132975151108125,0.02552048354600403,0.005372733378106112,0.05708529214237743
80904,20168,31179,17067,230,160,272,9,607,0,607,1417,15,62,0,0,155,57,117,8,0.9165013883379611,0.0121479571598572,0.011007536691788973,0.013486711622372074,0.03778262594208647,0.002826259420864736,0.035898452994843316
80908,18505,45714,15006,466,24,394,0,998,0,998,1162,17,0,0,0,278,48,112,8,0.8737098081599568,0.026101053769251554,0.0012969467711429344,0.021291542826263173,0.068954336665766,0.002593893542285869,0.059983788165360714
80909,38382,25974,24506,2551,151,593,53,1545,41,1504,4317,544,481,14,0,2495,476,630,8,0.7509509665989266,0.08063675681308947,0.01646605179511229,0.01581470480954614,0.10525767286748997,0.013469855661507999,0.05559897868792663
80913,3728,26649,2084,333,10,148,27,280,0,280,734,43,0,0,0,40,0,29,8,0.755901287553648,0.10085836909871244,0.002682403433476395,0.03969957081545064,0.08583690987124463,0.0,0.0828862660944206
80209,25367,55226,21865,329,5,743,6,509,0,509,1373,0,27,18,28,167,131,90,8,0.9160720621279616,0.012969606181259117,0.001261481452280522,0.029999605787046163,0.026648795679426025,0.005164189695273387,0.02361335593487602
80212,19552,44908,14001,585,29,382,7,407,9,398,2590,190,56,28,0,1146,50,69,8,0.8485576923076923,0.03963788870703764,0.004347381342062193,0.020969721767594107,0.07942921440261866,0.00301759410801964,0.023885024549918168
80214,26711,30045,15588,568,96,343,0,709,27,682,7474,16,27,0,0,1166,281,329,8,0.8633896147654524,0.021863651679083523,0.004604844446108345,0.012841151585489124,0.07019579948335891,0.011530829995133092,0.037849575081427125
80227,34878,39569,22749,976,211,1916,7,535,83,452,6958,18,145,47,0,916,202,171,8,0.8517403520844085,0.028499340558518264,0.010207007282527669,0.0562818968977579,0.04160215608693159,0.008171340099776363,0.01786226274442342
80440,2537,33934,2354,16,0,0,0,30,0,30,109,0,0,0,0,21,0,7,8,0.9708316909735909,0.0063066614111154905,0.0,0.0,0.02010248324793063,0.0,0.014584154513204573
80448,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,
80452,3158,30884,2777,73,0,0,14,74,0,74,105,11,0,0,0,1,0,103,8,0.9126029132362254,0.026599113362887904,0.0,0.0,0.023749208359721344,0.0,0.056048131728942366
80463,158,44844,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80465,16192,46983,13506,201,163,121,0,183,0,183,1525,0,0,19,0,329,83,49,8,0.9282979249011858,0.012413537549407114,0.010066699604743084,0.008646245059288538,0.03162055335968379,0.00512598814229249,0.01432806324110672
