zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
06470,16571,49417,14390,263,61,504,0,190,36,154,724,18,12,0,0,235,7,54,9,0.9120753122925593,0.016957335103494058,0.004405286343612335,0.03041457968740571,0.0256472150141814,0.002594894695552471,0.012552048759881721
06472,6900,45190,6219,284,0,17,0,80,0,80,240,0,0,0,0,38,0,0,9,0.9360869565217391,0.04115942028985507,0.0,0.002463768115942029,0.017101449275362317,0.0,0.011594202898550725
06480,9322,47217,8926,28,0,64,0,45,0,45,158,0,0,0,0,62,0,39,9,0.9744689980690839,0.003003647285990131,0.0,0.0068654795108345846,0.011478223557176571,0.0,0.009010941857970392
06511,53707,25215,17768,20128,65,4667,15,1846,136,1710,3745,467,43,64,0,4035,368,314,9,0.400562310313367,0.383469566350755,0.0020109110544249353,0.0880890759118923,0.10950155473215782,0.009384251587316365,0.0376859627236673
06513,40037,24455,10943,7179,22,528,0,651,19,632,10728,609,48,10,0,8391,773,138,9,0.5412743212528411,0.194520068936234,0.001748382745959987,0.013437570247521043,0.22584109698528862,0.01978170192571871,0.019232210205559857
06514,27534,36416,11588,9946,0,1170,0,498,39,459,1634,410,8,0,0,1836,205,141,9,0.4802062904045907,0.3761168010459795,0.00029054986562068713,0.042492917847025496,0.08476792329483547,0.008861770901430957,0.021791239921551537
06524,5513,54022,4487,82,0,397,0,175,124,51,372,0,0,0,0,0,0,0,9,0.8813713041900961,0.014873934337021586,0.0,0.0720116089243606,0.031743152548521676,0.02249229094866679,0.009250861599854889
06605,24635,25179,5391,7197,0,1150,0,476,17,459,5602,677,139,27,0,3007,219,575,9,0.4462350314593059,0.31962654759488535,0.005642378729449969,0.04777755226304039,0.14138420945808808,0.009579866044245992,0.041972802922671
06608,14263,18830,543,4189,0,182,0,441,170,271,3486,613,0,9,0,4317,235,203,9,0.2824791418355185,0.33667531374886067,0.0,0.013391292154525695,0.33359040874991236,0.028395148285774382,0.03323284021594335
06611,35990,50205,28644,1626,78,2330,24,639,50,589,1736,24,0,27,0,531,117,100,9,0.8441233676021117,0.04584606835232009,0.0021672686857460407,0.06549041400388997,0.03250903028619061,0.004640177827174215,0.019144206724090024
06702,3080,10904,843,668,0,6,0,82,10,72,818,124,13,0,0,514,12,0,9,0.5392857142857143,0.2571428571428571,0.0042207792207792205,0.001948051948051948,0.19350649350649352,0.007142857142857143,0.023376623376623377
06750,1047,35000,954,20,0,11,0,10,0,10,49,0,0,0,0,3,0,0,9,0.9579751671442216,0.019102196752626553,0.0,0.010506208213944603,0.012416427889207259,0.0,0.009551098376313277
06752,1718,46579,1540,77,0,12,0,42,0,42,41,0,0,0,0,6,0,0,9,0.9202561117578579,0.044819557625145515,0.0,0.006984866123399301,0.027939464493597205,0.0,0.024447031431897557
06756,2842,49422,2640,2,0,22,0,100,0,100,54,0,0,0,0,6,0,0,9,0.9479239971850809,0.0007037297677691766,0.0,0.007741027445460943,0.03729767769176636,0.0,0.03518648838845883
06770,31557,39548,22766,2867,29,833,0,1094,14,1080,2106,55,0,0,0,1543,90,119,9,0.7881611053015178,0.0925943530753874,0.0009189720188864594,0.026396679025255887,0.08356307633805495,0.003295623791868682,0.037994739677409135
06783,2094,55603,1991,0,0,53,9,0,0,0,41,0,0,0,0,0,0,0,9,0.9703915950334289,0.0,0.0,0.025310410697230182,0.0,0.0,0.0
06791,5456,43635,5225,93,0,25,0,37,0,37,56,0,0,0,0,20,0,0,9,0.967925219941349,0.017045454545454544,0.0,0.004582111436950147,0.010447214076246334,0.0,0.006781524926686217
06512,28444,33883,19555,1562,38,1031,25,257,0,257,2383,89,0,0,0,2441,827,67,9,0.7712698635916186,0.058043875685557585,0.0013359583743495992,0.036246660104064125,0.09485304457882154,0.029074673041766277,0.011390802981296582
06516,54763,30113,27549,10298,33,2262,0,1705,72,1633,7098,981,141,16,0,3523,496,441,9,0.6326716943921991,0.20596022862151453,0.0031773277577926704,0.0415974289209868,0.09546591676862115,0.010371966473714004,0.03787228603254022
06517,14313,42257,8730,2930,53,386,0,408,65,343,610,293,12,34,0,653,121,41,9,0.6525536225808706,0.22517990637881646,0.004541326067211626,0.02934395304967512,0.07412841472786977,0.012995179207713268,0.02682875707398868
06018,2782,28399,2379,118,0,0,0,27,0,27,226,0,0,0,0,32,0,0,9,0.9363767074047448,0.04241552839683681,0.0,0.0,0.021207764198418404,0.0,0.009705248023005032
06035,7865,48700,7391,26,0,154,0,55,0,55,39,0,0,0,0,43,95,7,9,0.9446916719643992,0.003305785123966942,0.0,0.019580419580419582,0.01246026700572155,0.012078830260648443,0.007883026064844246
06226,19431,16882,8650,1081,17,497,0,407,9,398,4584,214,508,18,0,2121,125,1092,9,0.6810766301271165,0.0666460810045803,0.02701868148834337,0.026504039936184446,0.13010138438577531,0.006896196798929545,0.07668159127167927
06051,30231,23252,7852,3993,0,368,0,895,29,866,11425,877,24,0,0,3937,357,454,9,0.6376567099996692,0.16109291786576693,0.0007938870695643545,0.012172935066653436,0.15983593000562338,0.012768350368826701,0.043663788826039496
06096,12671,38885,10232,740,10,583,0,495,0,495,364,0,0,0,0,192,0,29,9,0.8362402336042932,0.05840107331702312,0.0007892036934732855,0.04601057532949254,0.05421829374161471,0.0,0.041354273538000155
06234,8253,32425,7377,166,0,202,0,150,0,150,232,25,13,0,0,25,0,63,9,0.9219677692960135,0.02314309947897734,0.0015751847812916515,0.02447594814007028,0.021204410517387615,0.0,0.025808796801163214
06264,108,48500,77,0,0,0,0,17,0,17,0,0,0,0,0,14,0,0,9,0.7129629629629629,0.0,0.0,0.0,0.28703703703703703,0.0,0.1574074074074074
06335,6203,50786,5224,234,0,143,0,247,0,247,283,50,0,0,0,0,0,22,9,0.8877962276317911,0.045784297920361115,0.0,0.02305336127680155,0.03981944220538449,0.0,0.043366113171046265
06336,129,-666666666,112,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8682170542635659,0.13178294573643412,0.0,0.0,0.0,0.0,0.0
06365,4657,39830,4016,8,53,215,0,304,8,296,44,0,0,0,0,0,0,0,9,0.8718058836160618,0.0017178441056474125,0.011380717199914108,0.04616706033927421,0.06527807601460167,0.0017178441056474125,0.06356023190895427
06373,181,35958,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
06409,860,-666666666,718,0,0,130,0,0,0,0,0,0,0,0,0,0,12,0,9,0.8348837209302326,0.0,0.0,0.1511627906976744,0.0,0.013953488372093023,0.0
06423,5374,49626,5116,52,0,5,0,44,0,44,124,0,0,0,0,3,0,30,9,0.9750651283959807,0.009676218831410495,0.0,0.0009304056568663938,0.008745813174544101,0.0,0.013770003721622627
06424,12744,44806,11550,142,71,418,0,198,0,198,275,2,36,0,10,23,8,10,9,0.927887633396108,0.011299435028248588,0.008396107972379158,0.03279974890144382,0.01734149403640929,0.0006277463904582549,0.016321406151914627
06442,2343,43819,2151,0,0,6,0,21,0,21,144,0,0,0,0,0,0,21,9,0.9795134443021767,0.0,0.0,0.002560819462227913,0.008962868117797696,0.0,0.01792573623559539
06447,6368,53484,5852,81,11,41,0,17,0,17,347,19,0,0,0,0,0,0,9,0.9734610552763819,0.015703517587939697,0.001727386934673367,0.0064384422110552765,0.0026695979899497486,0.0,0.0026695979899497486
06483,16508,37066,12892,434,0,428,0,95,0,95,1551,174,22,0,0,769,0,143,9,0.8749091349648656,0.03683062757450933,0.001332687181972377,0.0259268233583717,0.052338260237460625,0.0,0.014417252241337533
06704,25136,23308,6194,6408,12,183,22,823,77,746,7083,1231,86,11,0,2684,86,253,9,0.5282065563335455,0.30390674729471673,0.003898790579248886,0.007718014003819223,0.13952100572883513,0.006484723106301719,0.03974379376193507
06705,25653,28835,10023,4468,0,1204,0,1226,60,1166,5127,412,74,0,12,2814,53,191,9,0.5905742018477371,0.1902311620473239,0.0028846528671110593,0.04693408178380696,0.15748645382606322,0.00440494289166959,0.05289829649553658
06710,10774,22237,2917,2643,7,137,0,216,20,196,3433,255,0,0,0,937,18,106,9,0.5893818451828476,0.268980879896046,0.0006497122702803044,0.012715797289771673,0.10701689251902728,0.0035270094672359385,0.028030443660664563
06716,16615,43809,14644,368,0,281,0,229,0,229,798,23,0,0,17,236,18,1,9,0.9294011435449895,0.02353295215167018,0.0,0.016912428528438158,0.027986758952753536,0.0010833584110743304,0.013842913030394222
06010,60218,37074,44350,2894,60,888,0,1572,22,1550,5993,371,235,0,0,2796,616,389,9,0.8360124879604105,0.05421966853764655,0.004898867448271281,0.014746421335813211,0.0725364508950812,0.010594838752532466,0.032199674515925474
06016,6889,42944,5287,697,0,255,0,167,36,131,194,0,0,0,0,120,155,14,9,0.7956161997387139,0.1011757874872986,0.0,0.037015532007548264,0.04166061837712295,0.0277253592683989,0.021048047612135287
06013,9659,53382,8968,71,0,233,0,174,0,174,157,18,0,8,0,0,0,30,9,0.9447147737861062,0.009214204368982296,0.0,0.024950823066570038,0.01801428719329123,0.0,0.021120198778341443
06039,2138,43099,2070,7,0,22,0,21,0,21,18,0,0,0,0,0,0,0,9,0.9766136576239476,0.003274087932647334,0.0,0.01028999064546305,0.009822263797942002,0.0,0.009822263797942002
06071,11171,41635,9512,623,6,177,0,139,0,139,304,28,0,0,0,235,38,89,9,0.8787037865902784,0.058275892937069196,0.0005371050040282875,0.015844597618834482,0.03347954525109659,0.003401665025512488,0.020409990153074927
06073,5830,65599,5206,60,0,292,0,89,0,89,174,0,0,0,0,0,0,9,9,0.9228130360205832,0.010291595197255575,0.0,0.050085763293310465,0.015265866209262435,0.0,0.01680960548885077
06081,1547,33838,1209,22,40,69,0,35,0,35,112,0,0,0,0,60,0,0,9,0.8539107950872656,0.014221073044602456,0.025856496444731737,0.04460245636716225,0.06140917905623788,0.0,0.02262443438914027
06082,44143,37423,33682,2970,132,1181,0,1135,75,1060,2409,229,12,0,10,1471,452,369,9,0.8175928233241964,0.07246902113585393,0.00326212536529008,0.02675395872505267,0.05903540765240242,0.01193847269102689,0.03237206352083003
06098,11962,32907,10848,64,215,132,0,131,0,131,322,142,0,0,0,108,0,0,9,0.9337903360642034,0.01722120046814914,0.017973583012874102,0.011034943989299448,0.019979936465474,0.0,0.010951345928774453
06105,18909,27859,5255,6630,6,1234,0,863,87,776,1648,138,11,0,0,2274,266,441,9,0.3650642551166111,0.3579247977153736,0.0008990427838595378,0.06525992913427468,0.16589983605690412,0.01866835898249511,0.06436088635041515
06278,4363,37076,4003,1,0,52,0,72,0,72,144,0,0,0,0,91,0,0,9,0.950492780197112,0.00022920009168003668,0.0,0.011918404767361907,0.03735961494384598,0.0,0.01650240660096264
06334,2508,40039,2290,57,0,16,0,85,0,85,13,0,5,0,0,29,0,13,9,0.9182615629984051,0.022727272727272728,0.001993620414673046,0.006379585326953748,0.045454545454545456,0.0,0.03907496012759171
06375,3630,47352,3278,80,0,71,0,73,0,73,52,24,0,0,0,18,34,0,9,0.9173553719008265,0.02865013774104683,0.0,0.01955922865013774,0.025068870523415977,0.009366391184573003,0.020110192837465565
06401,18725,31528,11443,2458,0,330,0,448,0,448,2182,384,17,42,15,679,654,59,9,0.7276368491321762,0.15177570093457943,0.0009078771695594126,0.01986648865153538,0.06018691588785047,0.03492656875834446,0.02707610146862483
06777,1352,51003,1243,0,0,29,0,34,0,34,0,0,0,0,0,37,0,0,9,0.9193786982248521,0.0,0.0,0.021449704142011833,0.05251479289940828,0.0,0.02514792899408284
06786,9277,42653,8026,121,18,1,0,479,51,428,568,24,0,0,0,11,14,0,9,0.92637706155007,0.01563005281879918,0.0019402824188854155,0.00010779346771585642,0.05281879918076964,0.007006575401530667,0.04613560418238655
06796,972,52500,930,2,0,18,0,0,0,0,22,0,0,0,0,0,0,0,9,0.9794238683127572,0.00205761316872428,0.0,0.018518518518518517,0.0,0.0,0.0
06804,17292,46137,14680,213,0,892,0,194,5,189,615,0,0,0,19,480,159,35,9,0.8845130696275735,0.012317834836918807,0.0,0.051584547767753876,0.03897756187832524,0.009484154522322461,0.012953967152440436
