zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
20012,17576,48289,4230,9383,0,216,0,374,0,374,765,262,0,0,0,1976,84,95,11,0.2841943559399181,0.5487596722803824,0.0,0.012289485662266727,0.1337050523441056,0.004779244424214839,0.02668411470186618
20427,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20015,16202,86439,11809,1243,53,808,31,400,0,400,1334,45,0,0,0,398,19,44,11,0.8111961486236268,0.07949635847426244,0.0032712010862856436,0.049870386372052836,0.04925317861992347,0.0011726947290457968,0.027404024194543884
20045,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20052,126,3643,46,26,0,37,0,0,0,0,17,0,0,0,0,0,0,0,11,0.5,0.20634920634920634,0.0,0.29365079365079366,0.0,0.0,0.0
20053,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20057,3900,2907,2223,238,32,809,0,160,0,160,357,7,0,0,0,53,14,7,11,0.6615384615384615,0.06282051282051282,0.008205128205128205,0.20743589743589744,0.054615384615384614,0.0035897435897435897,0.04282051282051282
20064,2175,3554,1494,192,4,149,4,50,0,50,195,27,0,6,0,30,17,7,11,0.776551724137931,0.1006896551724138,0.0018390804597701149,0.07126436781609195,0.0367816091954023,0.007816091954022988,0.02620689655172414
20202,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20204,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20228,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20230,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20240,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20245,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20260,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20307,66,-666666666,46,3,0,0,0,17,0,17,0,0,0,0,0,0,0,0,11,0.696969696969697,0.045454545454545456,0.0,0.0,0.25757575757575757,0.0,0.25757575757575757
20317,416,31750,330,81,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0.7932692307692307,0.19471153846153846,0.0,0.0,0.01201923076923077,0.0,0.0
20373,141,22188,80,8,0,0,0,12,0,12,30,4,0,0,3,0,4,0,11,0.7801418439716312,0.0851063829787234,0.0,0.0,0.0851063829787234,0.028368794326241134,0.0851063829787234
20390,326,23601,202,25,0,0,0,17,0,17,48,5,0,0,0,24,0,5,11,0.7668711656441718,0.09202453987730061,0.0,0.0,0.12576687116564417,0.0,0.06748466257668712
20405,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20418,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20506,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20510,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20520,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20535,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20540,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20551,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20553,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20560,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20565,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20566,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20593,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,
20008,29292,77703,20307,2572,0,1768,9,727,11,716,2335,195,44,10,0,969,220,72,11,0.7729755564659293,0.0944626519186126,0.0015021166188720469,0.06069916700805681,0.057899767854704354,0.007886112249078247,0.02690154308343575
20009,52338,72526,31563,9086,47,3304,42,1232,24,1208,3753,386,0,38,0,2348,108,272,11,0.6747678550957239,0.1809774924529023,0.0008980090947304062,0.06385417860827697,0.06840154381137988,0.0025220680958385876,0.028277733195765983
20003,32675,74047,19908,8166,27,1084,0,1090,65,1025,1556,116,9,0,16,489,46,137,11,0.6568936495791889,0.25346595256312165,0.0011017597551644988,0.0331752104055088,0.048324407039020655,0.0033970925784238713,0.035562356541698543
20004,1923,122610,1273,79,0,221,0,55,0,55,243,30,0,0,0,11,0,11,11,0.7883515340613625,0.056682267290691625,0.0,0.11492459698387936,0.0343213728549142,0.0,0.0343213728549142
20005,12347,70822,6457,2488,129,947,18,357,34,323,971,124,0,0,0,543,155,96,11,0.60160362841176,0.21154936421802867,0.010447882076617803,0.07669879322912448,0.0728922005345428,0.015307362112253989,0.03393536891552604
20016,33518,71407,24107,2300,70,2696,0,1278,48,1230,2240,115,0,98,0,367,131,62,11,0.7860552538934305,0.07205083835551047,0.002088430097261173,0.08335819559639597,0.049078107285637565,0.0053404141058535715,0.038546452652306225
20319,36,-666666666,19,3,0,12,0,0,0,0,0,0,0,0,0,0,0,2,11,0.5277777777777778,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.05555555555555555
20019,63829,25878,846,59664,219,114,9,903,6,897,91,695,13,18,19,967,72,97,11,0.014679847718121856,0.9456359961772862,0.003634711494775102,0.002068025505647903,0.029297027996678625,0.0012220150715192154,0.01557285873192436
20017,20889,43473,5957,11872,11,658,0,562,32,530,384,257,364,0,11,652,22,13,11,0.3035568959739576,0.5806405285078271,0.017952032170041647,0.031499832447699744,0.058116712145148165,0.0025850926324859974,0.025994542582220306
20007,27201,71071,19667,1570,0,2009,16,767,34,733,2312,28,23,3,0,428,121,92,11,0.8080217639057388,0.058747840152935556,0.0008455571486342413,0.0739678688283519,0.043932208374692104,0.005698319914709018,0.030329767287967355
20018,20641,36675,2566,15300,60,373,74,499,24,475,1120,193,0,0,0,134,16,238,11,0.1785766193498377,0.7505934789981106,0.0029068359091129307,0.01807082990165205,0.030667118841141417,0.001937890606075287,0.03454290005329199
20037,15179,21842,10091,934,56,1863,0,343,78,265,1314,34,19,34,0,327,4,99,11,0.7513670202253113,0.06377231701693128,0.004941036958956453,0.12497529481520522,0.044139930166677645,0.005402200408459055,0.02398049937413532
20001,47748,59645,20578,17967,97,3249,7,1239,115,1124,2376,200,35,81,0,1466,99,61,11,0.48073217726396916,0.38047666917986095,0.002764513696908771,0.06974114099019854,0.056651587501047165,0.004481863114685432,0.024817793415431014
20020,56897,25716,1839,51347,141,500,0,641,86,555,157,497,0,23,0,1189,64,114,11,0.035080935725960945,0.9111903966817231,0.00247816229326678,0.009192048789918625,0.0321633829551646,0.002636342865177426,0.01175808917869132
20032,42800,25103,3045,36584,22,189,0,890,0,890,922,414,16,4,0,469,43,46,11,0.09268691588785047,0.8644392523364486,0.0008878504672897196,0.004509345794392524,0.03175233644859813,0.0010046728971962616,0.02186915887850467
20036,5455,71628,4166,203,0,510,59,109,15,94,371,0,0,0,0,15,22,0,11,0.8317140238313474,0.03721356553620531,0.0,0.09349220898258478,0.022731439046746106,0.006782768102658112,0.017231897341888177
20011,69710,41112,11503,37735,218,1369,13,1586,32,1554,3344,1194,79,11,0,11441,296,545,11,0.2129823554726725,0.5584421173432793,0.004260507818103572,0.019796298952804475,0.18687419308564052,0.004705207287333237,0.030110457610098982
20006,2774,4040,1653,281,6,342,7,126,18,108,271,35,0,8,0,35,8,0,11,0.6935832732516222,0.11391492429704397,0.0021629416005767843,0.12617159336697908,0.05803893294881038,0.009372746935832732,0.03893294881038212
20010,34223,53129,12962,8299,53,1578,0,1065,93,972,2666,514,42,48,0,5956,517,245,11,0.45665195920871926,0.257516874616486,0.002775910937089092,0.04751190719691436,0.20515442830844755,0.017824270227624697,0.03556088010986763
20024,14530,63331,6744,5605,83,483,8,509,0,509,779,76,0,10,20,147,0,44,11,0.5177563661390228,0.39098417068134894,0.005712319339298004,0.03392980041293875,0.04514796971782519,0.0,0.03805918788713008
20002,67750,54408,27662,31520,90,1900,10,1617,113,1504,2533,584,29,12,0,1265,127,207,11,0.44568265682656827,0.473859778597786,0.0017564575645756457,0.02822140221402214,0.04253874538745388,0.0035424354243542436,0.02525461254612546
