zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
19730,1100,48193,1034,56,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0.9490909090909091,0.05090909090909091,0.0,0.0,0.0,0.0,0.0
19732,88,18611,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19806,9887,52180,8190,1082,0,215,0,96,0,96,147,59,0,0,0,16,10,0,10,0.8432284818448468,0.11540406594518055,0.0,0.021745726711843834,0.011328006473146556,0.0010114291493880853,0.00970971983412562
19954,1523,32063,1138,243,1,0,0,71,0,71,48,21,0,0,0,1,0,0,10,0.7787261982928431,0.17334208798424164,0.0006565988181221273,0.0,0.04727511490479317,0.0,0.046618516086671044
19960,6505,30285,4157,1079,0,48,0,195,10,185,816,0,0,0,0,124,0,0,10,0.764488854727133,0.16587240584166027,0.0,0.007378939277478862,0.049039200614911606,0.0015372790161414297,0.02843966179861645
19966,29324,29642,22106,3255,319,378,0,437,0,437,2124,87,0,0,0,534,3,63,10,0.8262856363388351,0.11396808075296685,0.010878461328604556,0.012890465148001637,0.03311280862092484,0.00010230527895239394,0.01705087982539899
19702,55537,38842,24693,15504,101,5924,19,1715,212,1503,5469,381,0,0,0,1484,89,130,10,0.5430973945297729,0.2860255325278643,0.0018186074148765687,0.10666762698741379,0.0576012388137638,0.0054198102166123484,0.029403820876172642
19703,15362,32182,8414,4404,77,1163,0,275,0,275,591,93,0,0,0,200,37,92,10,0.586186694440828,0.29273532092175497,0.0050123681812264025,0.07570628824371826,0.03092045306600703,0.0024085405546152845,0.02389011847415701
19711,52547,32098,37790,5252,105,3732,29,1510,56,1454,2920,211,17,24,0,796,43,81,10,0.7747349991436238,0.10396407026090929,0.0023217310217519553,0.07147886653852742,0.04388452242754106,0.0018840276324052752,0.029211943593354522
19720,59664,32894,23149,24584,100,1566,48,1560,255,1305,4866,642,72,132,0,2217,323,270,10,0.46954612496647896,0.4228010190399571,0.0028828104049342987,0.028459372485921158,0.06330450522928399,0.00968758380262805,0.026397827835880933
19701,40173,40264,21936,10886,32,2963,0,1001,14,987,1730,291,95,57,15,603,185,296,10,0.5891021332735917,0.2782216911856222,0.0031613272596022206,0.0751748686929032,0.039927314365369775,0.004953575784731038,0.03193687302417046
19710,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,
19713,30260,32912,18050,5473,164,1625,0,810,27,783,2507,211,96,36,0,1092,81,76,10,0.6793456708526107,0.18783873099801718,0.008592200925313946,0.054890945142101785,0.0628552544613351,0.00356906807666887,0.028387309980171842
19807,7515,67056,6464,95,0,718,0,81,0,81,116,0,0,0,0,12,14,10,10,0.8755821689953427,0.012641383898868928,0.0,0.09554224883566201,0.012375249500998005,0.0018629407850964737,0.01210911510312708
19809,15139,40861,9488,3307,19,1210,1,479,0,479,552,3,0,0,0,11,4,13,10,0.6631877931171147,0.21864059713323206,0.0012550366602813925,0.07992601889160446,0.03236673492304644,0.00026421824426976683,0.03249884404518132
19810,25978,44238,20877,2331,22,2087,2,253,0,253,345,10,0,0,0,32,9,6,10,0.8169220109323273,0.0901147124489953,0.0008468704288243898,0.08033720840711371,0.01097082146431596,0.0003464469936099777,0.009969974593887135
19938,8856,34130,6743,1184,38,129,0,259,0,259,415,23,0,0,0,26,0,30,10,0.8082655826558266,0.1362917795844625,0.004290876242095754,0.014566395663956639,0.03218157181571816,0.0,0.03263324299909666
19940,5575,29549,4880,502,0,47,0,82,0,82,23,27,0,0,0,4,6,0,10,0.8794618834080717,0.09488789237668162,0.0,0.0084304932735426,0.015426008968609866,0.0010762331838565023,0.014708520179372197
19945,6771,31715,5199,650,17,122,0,236,0,236,378,9,0,0,0,159,1,0,10,0.8236597252990696,0.09732683503175306,0.0025107074287402157,0.018018018018018018,0.0583370255501403,0.0001476886722788362,0.03485452665780535
19967,1246,41431,1202,7,0,5,0,16,0,16,16,0,0,0,0,0,0,0,10,0.9775280898876404,0.0056179775280898875,0.0,0.0040128410914927765,0.012841091492776886,0.0,0.012841091492776886
19971,13739,42170,12727,509,22,252,0,95,0,95,104,0,0,0,0,20,0,6,10,0.9339107649756169,0.03704782007424121,0.0016012810248198558,0.018341946284300168,0.008370332629740155,0.0,0.007351335613945702
19979,719,31354,564,56,0,7,0,0,0,0,63,0,0,0,0,0,0,29,10,0.8720445062586927,0.07788595271210014,0.0,0.009735744089012517,0.0,0.0,0.04033379694019471
