zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
32409,10144,29845,9144,52,44,150,0,283,0,283,437,0,0,0,0,0,0,0,12,0.9444992113564669,0.005126182965299685,0.004337539432176656,0.014787066246056782,0.02789826498422713,0.0,0.02789826498422713
32459,17213,37494,15780,128,0,90,0,262,0,262,474,0,0,0,0,409,59,11,12,0.9442862952419683,0.00743624005112415,0.0,0.0052286062859466685,0.03898216464300238,0.003427641898565038,0.015860105734038225
32460,5690,30675,3533,1575,0,35,0,72,0,72,314,66,0,0,0,64,0,0,12,0.6760984182776801,0.2884007029876977,0.0,0.006151142355008787,0.02390158172231986,0.0,0.01265377855887522
32463,216,25714,193,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.8935185185185185,0.10648148148148148,0.0,0.0,0.0,0.0,0.0
32531,5526,26107,5294,103,11,27,0,47,0,47,44,0,0,0,0,0,0,0,12,0.9659790083242852,0.01863916033297141,0.0019905899384726746,0.004885993485342019,0.008505247918928701,0.0,0.008505247918928701
32547,34330,27895,22798,4401,22,1178,16,1104,3,1101,1375,48,0,0,0,2715,366,158,12,0.7041363239149432,0.12959510632100205,0.0006408389163996504,0.03431401106903583,0.1112438100786484,0.01074861637052141,0.03667346344305272
32561,9925,51131,9219,126,30,28,18,101,0,101,132,0,0,0,0,219,0,0,12,0.9421662468513854,0.01269521410579345,0.003022670025188917,0.0028211586901763226,0.03224181360201511,0.0,0.01017632241813602
32565,5014,29419,4717,160,46,36,18,18,0,18,19,0,0,0,0,0,0,0,12,0.9445552453131233,0.03191065017949741,0.009174311926605505,0.007179896290386917,0.0035899481451934583,0.0,0.0035899481451934583
32570,31341,29322,25122,2245,135,572,127,1409,34,1375,1149,31,7,0,115,263,0,30,12,0.8382310711208959,0.07262052901949523,0.004530806292077471,0.018250853514565585,0.05334864873488402,0.0010848409431734789,0.044829456622315814
32606,23442,40501,16257,2189,67,2321,5,575,14,561,1639,0,0,0,0,311,0,16,12,0.7634160907772375,0.0933794044876717,0.002858117908028325,0.09901032335124989,0.03779540994795666,0.0005972186673492023,0.02461394079003498
32615,13635,32163,9493,2821,44,121,0,62,0,62,852,48,0,0,0,38,98,0,12,0.7587092042537588,0.2104143747708104,0.003226989365603227,0.008874220755408875,0.007334066740007334,0.007187385405207187,0.004547121378804547
32617,4541,23382,3108,807,0,123,0,72,0,72,392,15,0,0,0,24,0,0,12,0.7707553402334287,0.18101739704910813,0.0,0.02708654481391764,0.021140717903545474,0.0,0.015855538427659105
32639,194,26477,132,0,0,0,0,3,0,3,59,0,0,0,0,0,0,0,12,0.9845360824742269,0.0,0.0,0.0,0.015463917525773196,0.0,0.015463917525773196
32653,14030,36856,9598,2223,0,782,0,252,0,252,820,71,12,0,0,51,54,167,12,0.742551674982181,0.16350677120456164,0.0008553100498930863,0.05573770491803279,0.02159657875980043,0.003848895224518888,0.029864575908766927
32680,10139,22404,9302,216,0,17,0,176,0,176,161,21,0,0,14,232,0,0,12,0.9333267580629253,0.023375086300424106,0.0,0.0016766939540388598,0.04024065489693263,0.0,0.017358713877108196
32693,11882,20972,9676,1074,0,46,2,467,0,467,479,31,8,0,0,74,23,2,12,0.8546540986365931,0.09299781181619256,0.0006732873253661,0.003871402120855075,0.04553105537788251,0.0019357010604275375,0.03947146944958761
32127,30398,28623,25852,1176,127,569,0,389,11,378,1599,81,31,0,0,318,66,181,12,0.9030528324231857,0.04135140469767748,0.00519771037568261,0.01871833673267978,0.023258109086124086,0.0025330613856174747,0.018389367721560627
32136,8306,30806,7578,208,65,82,0,37,0,37,329,0,0,0,0,0,0,7,12,0.95196243679268,0.025042138213339754,0.007825668191668673,0.009872381411028173,0.004454611124488321,0.0,0.005297375391283409
32193,705,19554,417,282,0,0,0,5,0,5,1,0,0,0,0,0,0,0,12,0.5929078014184397,0.4,0.0,0.0,0.0070921985815602835,0.0,0.0070921985815602835
32195,2926,26359,2399,78,0,0,0,148,0,148,142,0,0,0,0,42,19,44,12,0.868421052631579,0.026657552973342446,0.0,0.0,0.06493506493506493,0.006493506493506494,0.06561859193438141
32040,7329,28323,6559,336,0,63,0,171,0,171,74,0,0,0,0,83,18,0,12,0.9050347932869423,0.045845272206303724,0.0,0.008595988538681949,0.034656842679765314,0.0024559967253376994,0.023331968890708144
32044,1711,25779,1636,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.9561659848042081,0.043834015195791935,0.0,0.0,0.0,0.0,0.0
32112,7646,20229,3494,870,0,135,0,92,5,87,2898,32,0,0,0,117,0,8,12,0.835992675908972,0.11797018048652891,0.0,0.017656290871043683,0.02733455401517133,0.0006539366989275438,0.012424797279623333
32140,1439,27370,1376,0,0,0,0,51,0,51,12,0,0,0,0,0,0,0,12,0.9645587213342599,0.0,0.0,0.0,0.035441278665740095,0.0,0.035441278665740095
32147,790,32450,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
