zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
50551,94,27188,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50560,617,31438,595,0,3,0,0,19,0,19,0,0,0,0,0,0,0,0,19,0.9643435980551054,0.0,0.004862236628849271,0.0,0.03079416531604538,0.0,0.03079416531604538
50568,1523,31612,1362,0,2,3,0,13,0,13,141,0,0,0,0,2,0,0,19,0.9868680236375574,0.0,0.0013131976362442547,0.001969796454366382,0.00984898227183191,0.0,0.008535784635587657
50577,379,33661,360,9,0,0,0,8,0,8,0,0,0,0,0,2,0,0,19,0.9498680738786279,0.023746701846965697,0.0,0.0,0.026385224274406333,0.0,0.021108179419525065
50583,2628,32611,2524,2,0,37,0,22,0,22,28,0,0,0,0,15,0,0,19,0.9710806697108066,0.00076103500761035,0.0,0.014079147640791476,0.014079147640791476,0.0,0.00837138508371385
50586,254,27438,230,0,0,2,0,12,0,12,8,0,0,0,0,2,0,0,19,0.937007874015748,0.0,0.0,0.007874015748031496,0.05511811023622047,0.0,0.047244094488188976
50593,36,22917,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50599,376,36563,358,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.9521276595744681,0.0398936170212766,0.007978723404255319,0.0,0.0,0.0,0.0
50605,242,31111,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50634,822,32857,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50641,1376,24266,1337,0,9,0,0,14,0,14,16,0,0,0,0,0,0,0,19,0.9832848837209303,0.0,0.006540697674418605,0.0,0.010174418604651164,0.0,0.010174418604651164
50647,2194,39006,2122,19,0,6,0,0,0,0,47,0,0,0,0,0,0,0,19,0.9886052871467639,0.008659981768459436,0.0,0.0027347310847766638,0.0,0.0,0.0
50659,5670,32383,5310,75,1,8,0,12,0,12,228,10,0,0,0,26,0,0,19,0.9767195767195768,0.014991181657848324,0.0001763668430335097,0.0014109347442680777,0.006701940035273368,0.0,0.0021164021164021165
50660,1332,32386,1301,12,13,0,0,0,0,0,3,3,0,0,0,0,0,0,19,0.978978978978979,0.01126126126126126,0.00975975975975976,0.0,0.0,0.0,0.0
50662,6669,23440,6165,173,6,0,0,126,7,119,163,0,18,0,0,10,8,0,19,0.9488678962363173,0.025940920677762783,0.003598740440845704,0.0,0.020392862498125656,0.002249212775528565,0.01784375468585995
50671,166,31528,165,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0.9939759036144579,0.0,0.006024096385542169,0.0,0.0,0.0,0.0
50674,3733,36747,3677,4,0,8,0,22,0,22,22,0,0,0,0,0,0,0,19,0.990892043932494,0.0010715242432360033,0.0,0.0021430484864720066,0.005893383337798017,0.0,0.005893383337798017
50677,12526,30024,11565,196,51,226,13,188,0,188,161,9,41,0,0,36,16,0,19,0.9361328436851349,0.016365958805684176,0.0073447229762094845,0.018042471658949386,0.017882803768162224,0.0012773431262973016,0.015008781733993294
50682,1897,34816,1782,3,0,54,0,32,0,32,26,0,0,0,0,0,0,0,19,0.9530838165524512,0.0015814443858724301,0.0,0.028465998945703744,0.01686874011597259,0.0,0.01686874011597259
50833,2294,27832,2221,1,0,9,0,28,0,28,30,0,0,0,0,5,0,0,19,0.9812554489973845,0.00043591979075850045,0.0,0.003923278116826504,0.014385353095030515,0.0,0.012205754141238012
50836,257,32344,247,0,0,0,0,4,0,4,6,0,0,0,0,0,0,0,19,0.9844357976653697,0.0,0.0,0.0,0.01556420233463035,0.0,0.01556420233463035
50702,19446,29230,15023,2087,38,546,0,351,23,328,880,37,39,0,0,311,32,77,19,0.8178031471767973,0.10922554767047207,0.003959683225341973,0.028077753779697623,0.03404299084644657,0.002828345160958552,0.020826905276149336
50835,65,32750,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50837,341,27500,335,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,19,0.9941348973607038,0.0,0.0,0.0,0.0,0.0,0.005865102639296188
50858,732,29583,717,0,0,0,0,13,0,13,2,0,0,0,0,0,0,0,19,0.98224043715847,0.0,0.0,0.0,0.017759562841530054,0.0,0.017759562841530054
50446,543,31125,514,0,0,3,1,5,0,5,16,0,0,0,0,4,0,0,19,0.9760589318600368,0.0,0.0,0.0055248618784530384,0.016574585635359115,0.0,0.009208103130755065
50454,66,40234,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50458,2283,35768,2200,8,4,0,0,35,0,35,36,0,0,0,0,0,0,0,19,0.979413053000438,0.003504161191414805,0.0017520805957074025,0.0,0.015330705212439772,0.0,0.015330705212439772
50459,2906,30750,2696,75,0,14,0,8,0,8,75,0,0,0,0,14,18,6,19,0.9535443909153476,0.025808671713695802,0.0,0.004817618719889883,0.007570543702684102,0.006194081211286993,0.004817618719889883
50466,1680,30647,1547,0,0,0,1,52,0,52,39,0,0,0,0,34,7,0,19,0.944047619047619,0.0,0.0,0.0,0.05119047619047619,0.004166666666666667,0.030952380952380953
50471,619,26821,563,6,0,4,0,25,0,25,21,0,0,0,0,0,0,0,19,0.9434571890145396,0.009693053311793215,0.0,0.006462035541195477,0.04038772213247173,0.0,0.04038772213247173
50479,549,32264,517,3,0,3,0,4,0,4,12,0,0,0,0,4,0,6,19,0.9635701275045537,0.00546448087431694,0.0,0.00546448087431694,0.014571948998178506,0.0,0.018214936247723135
50524,620,30208,611,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,19,0.9951612903225806,0.0,0.004838709677419355,0.0,0.0,0.0,0.0
50026,531,32188,472,0,0,10,0,27,0,27,2,0,0,0,0,6,14,0,19,0.8926553672316384,0.0,0.0,0.018832391713747645,0.062146892655367235,0.026365348399246705,0.05084745762711865
50060,2473,30203,2386,15,0,6,0,5,0,5,32,0,0,0,0,29,0,0,19,0.9777598059037607,0.00606550748079256,0.0,0.002426202992317024,0.013748483623129802,0.0,0.0020218358269308533
50611,294,29167,262,8,0,0,0,24,0,24,0,0,0,0,0,0,0,0,19,0.891156462585034,0.027210884353741496,0.0,0.0,0.08163265306122448,0.0,0.08163265306122448
50588,12572,27176,5576,424,0,1975,291,81,0,81,2926,0,0,33,0,1189,74,3,19,0.6762647152402164,0.03372573973910277,0.0,0.15972001272669425,0.10101813553929367,0.005886096086541521,0.0066815144766146995
50591,422,29875,382,0,0,15,0,24,0,24,1,0,0,0,0,0,0,0,19,0.9075829383886256,0.0,0.0,0.035545023696682464,0.05687203791469194,0.0,0.05687203791469194
50594,166,34219,155,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,19,0.9337349397590361,0.0,0.0,0.0,0.06626506024096386,0.0,0.006024096385542169
50595,8988,32318,7561,192,0,429,32,4,0,4,606,0,0,0,0,164,0,0,19,0.9086559857587895,0.021361815754339118,0.0,0.04773030707610147,0.018691588785046728,0.0,0.0004450378282153983
50598,936,36190,918,11,0,0,0,0,0,0,3,0,0,0,2,2,0,0,19,0.9839743589743589,0.011752136752136752,0.0,0.0,0.002136752136752137,0.0,0.0
50601,2638,30614,2324,0,0,0,0,18,0,18,231,0,0,0,0,65,0,0,19,0.9685367702805155,0.0,0.0,0.0,0.03146322971948446,0.0,0.006823351023502654
50613,43717,26243,39209,1012,55,1618,70,523,9,514,794,21,70,0,0,13,71,107,19,0.9150444907015578,0.023629251778484343,0.00285929958597342,0.03701077384083995,0.012260676624654025,0.0018299517350229887,0.01420500034311595
50616,10214,26664,9121,239,91,195,23,115,0,115,303,0,0,0,0,42,85,0,19,0.9226551791658508,0.023399255923242608,0.008909340121401998,0.019091443117289993,0.015371059330330918,0.00832191110240846,0.01125905619737615
