zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
83669,11066,31565,9848,31,67,52,0,250,0,250,685,0,0,50,0,14,0,69,16,0.9518344478583047,0.0028013735767214894,0.006054581601301283,0.009217422736309416,0.02385685884691849,0.0,0.02882703777335984
83849,2065,22863,1674,11,178,0,0,0,0,0,115,0,0,0,0,18,27,42,16,0.8663438256658595,0.005326876513317191,0.08619854721549637,0.0,0.008716707021791767,0.013075060532687652,0.020338983050847456
83654,1572,31502,1445,0,44,0,8,21,0,21,54,0,0,0,0,0,0,0,16,0.9535623409669212,0.0,0.027989821882951654,0.0,0.013358778625954198,0.0,0.013358778625954198
83808,139,18125,133,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,16,0.9568345323741008,0.0,0.0,0.0,0.04316546762589928,0.0,0.04316546762589928
83629,2106,30184,1867,0,0,19,0,76,7,69,121,0,0,0,5,18,0,0,16,0.9439696106362773,0.0,0.0,0.009021842355175688,0.0446343779677113,0.0033238366571699905,0.03276353276353276
83645,811,21987,800,0,0,0,0,2,0,2,6,0,0,0,0,0,3,0,16,0.9938347718865598,0.0,0.0,0.0,0.002466091245376079,0.0036991368680641184,0.002466091245376079
83648,3009,26949,1974,176,1,207,22,133,0,133,322,25,23,0,10,64,21,31,16,0.7630442007311399,0.06679960119641076,0.007976071784646061,0.06879361914257229,0.06547025589896975,0.006979062811565304,0.05450315719508142
83660,5987,25430,4129,5,24,15,0,70,0,70,748,0,0,0,0,801,104,91,16,0.8145982963086688,0.0008351428094204109,0.004008685485217972,0.0025054284282612325,0.14548187740103558,0.017370970435944547,0.026891598463337232
83677,246,11693,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83686,48971,26461,38165,211,451,400,73,1092,108,984,5371,0,95,0,36,2411,208,231,16,0.8890159482142492,0.004308672479630802,0.011149455800371648,0.008168099487451758,0.07153213126135877,0.006452798595086888,0.02481060219313471
83801,7616,25524,7090,0,61,87,2,164,13,151,129,0,0,0,0,4,35,44,16,0.9478728991596639,0.0,0.008009453781512604,0.011423319327731092,0.022058823529411766,0.0063025210084033615,0.025603991596638655
83810,1228,29063,1194,9,0,0,0,11,0,11,8,0,0,0,0,0,6,0,16,0.9788273615635179,0.007328990228013029,0.0,0.0,0.008957654723127036,0.004885993485342019,0.008957654723127036
83827,154,22188,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83830,368,11954,327,0,0,23,18,0,0,0,0,0,0,0,0,0,0,0,16,0.8885869565217391,0.0,0.0,0.0625,0.0,0.0,0.0
83832,1622,35352,1487,0,10,22,0,54,0,54,22,0,3,0,0,4,17,0,16,0.9303329223181258,0.0,0.008014796547472256,0.013563501849568433,0.035758323057953144,0.010480887792848335,0.03329223181257707
83836,902,28157,895,0,2,2,0,3,0,3,0,0,0,0,0,0,0,0,16,0.9922394678492239,0.0,0.0022172949002217295,0.0022172949002217295,0.0033259423503325942,0.0,0.0033259423503325942
83841,398,24176,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83843,26986,21872,23817,386,323,691,12,524,7,517,861,0,100,21,0,181,6,59,16,0.9144741717927815,0.01430371303638924,0.015674794337804786,0.026384050989401914,0.026124657229674646,0.0004817312680649225,0.02134440080041503
83846,884,23882,806,3,13,0,0,18,3,15,30,0,0,3,0,6,5,0,16,0.9457013574660633,0.003393665158371041,0.014705882352941176,0.003393665158371041,0.027149321266968326,0.00904977375565611,0.016968325791855202
83239,620,28487,584,17,0,5,0,6,0,6,4,0,2,0,0,0,2,0,16,0.9483870967741935,0.027419354838709678,0.0032258064516129032,0.008064516129032258,0.00967741935483871,0.0032258064516129032,0.00967741935483871
83241,2357,25448,2106,0,0,2,0,22,0,22,104,0,0,0,0,123,0,0,16,0.9376325837929571,0.0,0.0,0.0008485362749257531,0.0615188799321171,0.0,0.009333899024183284
83252,4343,24206,4054,5,7,0,0,80,0,80,197,0,0,0,0,0,0,0,16,0.9788164862997928,0.0011512779184895234,0.0016117890858853327,0.0,0.018420446695832374,0.0,0.018420446695832374
83255,1274,31607,1219,0,0,0,0,0,0,0,0,0,0,0,0,17,38,0,16,0.956828885400314,0.0,0.0,0.0,0.013343799058084773,0.029827315541601257,0.0
83287,237,50417,231,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0.9746835443037974,0.0,0.0,0.0,0.0,0.02531645569620253,0.0
83318,17014,25028,11324,18,163,114,4,196,0,196,4340,0,9,0,10,750,30,56,16,0.9206535794051958,0.0010579522745973904,0.01010932173504173,0.006700364405783472,0.055601269542729516,0.0017632537909956507,0.014811331844363465
83320,1218,30065,1048,0,0,0,0,12,9,3,113,0,0,0,0,25,0,20,16,0.9532019704433498,0.0,0.0,0.0,0.030377668308702793,0.007389162561576354,0.018883415435139574
83333,10109,31516,7155,50,0,32,20,82,0,82,2501,0,0,0,18,59,192,0,16,0.955188445939262,0.004946087644673063,0.0,0.003165496092590761,0.013947967157978039,0.018992976555544563,0.008111583737263825
83334,2139,26783,1504,0,19,3,11,26,0,26,484,0,0,0,0,9,49,34,16,0.9294062646096307,0.0,0.008882655446470314,0.001402524544179523,0.016362786348761104,0.022907900888265546,0.028050490883590462
83446,24,18125,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83451,748,25435,647,6,0,0,0,0,0,0,95,0,0,0,0,0,0,0,16,0.9919786096256684,0.008021390374331552,0.0,0.0,0.0,0.0,0.0
83854,42643,28107,38764,124,196,289,11,1110,7,1103,1164,0,65,57,12,305,307,239,16,0.9363318715850198,0.0029078629552329806,0.006120582510611355,0.008113875665408157,0.03318246840044087,0.0073634594188964194,0.031470581338085966
83283,276,-666666666,268,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83325,844,25511,562,0,0,0,0,0,0,0,128,0,0,18,0,132,4,0,16,0.8175355450236966,0.0,0.0,0.02132701421800948,0.15639810426540285,0.004739336492890996,0.0
83539,2177,23171,1988,3,30,3,0,45,0,45,102,0,0,0,0,3,3,0,16,0.9600367478180983,0.0013780431786862655,0.013780431786862656,0.0013780431786862655,0.022048690858980247,0.0013780431786862655,0.02067064768029398
83327,950,25640,930,0,0,0,0,3,0,3,17,0,0,0,0,0,0,0,16,0.9968421052631579,0.0,0.0,0.0,0.003157894736842105,0.0,0.003157894736842105
83340,5052,32167,3716,29,0,28,0,0,0,0,1041,0,0,46,0,192,0,0,16,0.9416072842438639,0.0057403008709422014,0.0,0.014647664291369754,0.03800475059382423,0.0,0.0
83301,57340,26478,44453,666,349,1278,34,906,0,906,7574,0,138,114,0,1650,42,136,16,0.9073421695151727,0.011614928496686432,0.008493198465294734,0.0242762469480293,0.044576212068364145,0.0007324729682595047,0.01817230554586676
83336,5526,28814,3066,13,135,50,0,111,22,89,2071,0,0,0,11,22,47,0,16,0.929605501266739,0.002352515381831343,0.024429967426710098,0.009048136083966703,0.02406804198335143,0.01248642779587405,0.01610568222946073
83346,2024,24960,1382,27,94,0,0,9,0,9,493,0,0,0,0,6,0,0,16,0.9263833992094862,0.0133399209486166,0.046442687747035576,0.0,0.007411067193675889,0.0,0.004446640316205534
83421,356,36750,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83422,3444,34538,2788,0,75,0,0,28,0,28,360,0,0,0,0,193,0,0,16,0.9140534262485482,0.0,0.02177700348432056,0.0,0.06416957026713124,0.0,0.008130081300813009
83428,412,27313,386,0,0,3,0,2,0,2,21,0,0,0,0,0,0,0,16,0.9878640776699029,0.0,0.0,0.007281553398058253,0.0048543689320388345,0.0,0.0048543689320388345
83434,1718,28832,1387,0,0,0,4,44,0,44,247,0,0,0,0,36,0,0,16,0.9511059371362048,0.0,0.0,0.0,0.046565774155995346,0.0,0.025611175785797437
