zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
60970,6753,22627,6284,21,0,44,0,68,12,56,211,0,0,0,0,125,0,0,17,0.9617947578853843,0.003109729009329187,0.0,0.006515622686213534,0.028579890419073006,0.001776988005330964,0.0082926106915445
62323,241,29167,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60429,15108,29758,1469,12563,55,32,0,77,0,77,732,48,0,37,0,44,0,4,17,0.14568440561292031,0.8347233253905216,0.003640455387873974,0.004567116759332804,0.008009001853322742,0.0,0.005361397934868944
60461,4716,50408,984,3503,0,67,0,152,0,152,0,0,0,0,0,0,0,0,17,0.20865139949109415,0.7427905004240882,0.0,0.014206955046649703,0.032230703986429174,0.0,0.032230703986429174
60462,39784,40846,32809,2171,0,1229,13,397,50,347,2475,42,0,0,0,613,20,0,17,0.8868892016891212,0.05562537703599437,0.0,0.030891815805348884,0.025387090287552785,0.0017595013070581139,0.00872209933641665
60466,21909,31456,5527,14348,0,99,0,603,139,464,457,90,0,0,0,533,0,5,17,0.2731297640239171,0.6589985850563695,0.0,0.0045186909489251,0.051850837555342554,0.006344424665662513,0.021406727828746176
60470,542,35313,501,0,0,0,0,5,0,5,36,0,0,0,0,0,0,0,17,0.9907749077490775,0.0,0.0,0.0,0.00922509225092251,0.0,0.00922509225092251
60481,11809,29935,10655,73,37,40,0,150,0,150,565,0,9,0,0,280,0,0,17,0.9501227877042934,0.006181725802354137,0.003895334067236853,0.003387247014988568,0.03641290541112711,0.0,0.01270217630620713
60471,13917,35368,1252,11952,10,102,0,225,0,225,18,74,0,18,0,168,53,45,17,0.09125529927426888,0.8641230150176044,0.0007185456635769203,0.008622547962923045,0.02823884457857297,0.0038082920169576775,0.01940073291657685
60472,4904,17500,123,4220,0,21,0,90,0,90,386,38,0,0,0,0,0,0,17,0.10379282218597063,0.8682707993474714,0.0,0.004282218597063622,0.01835236541598695,0.0,0.01835236541598695
60479,925,31581,887,0,0,0,0,0,0,0,37,0,0,0,0,1,0,0,17,0.9989189189189189,0.0,0.0,0.0,0.001081081081081081,0.0,0.0
60539,223,23643,91,7,0,0,0,1,0,1,89,0,0,0,0,35,0,0,17,0.8071748878923767,0.03139013452914798,0.0,0.0,0.16143497757847533,0.0,0.004484304932735426
60026,14021,51441,9782,193,0,2836,0,217,43,174,732,0,0,0,0,145,71,12,17,0.7498751872191712,0.013765066685685758,0.0,0.20226802653163112,0.02581841523429142,0.008130661151130448,0.01326581556237073
60051,22808,40514,19850,159,0,301,0,409,0,409,1606,0,15,39,0,287,69,73,17,0.9407225534900036,0.0069712381620484045,0.0006576639775517362,0.014907050157839354,0.03051560855840056,0.003025254296737987,0.021132935811995792
60124,22074,51456,16365,452,0,1830,0,397,0,397,1471,16,0,0,0,958,531,54,17,0.8080094228504122,0.02120141342756184,0.0,0.08290296276162,0.06138443417595361,0.024055449850502855,0.020431276615022198
60133,38113,31562,12872,2990,20,6734,47,892,119,773,7290,0,30,10,0,6549,411,268,17,0.529005851021961,0.07845092225749745,0.0013118883320651746,0.17694749822895076,0.1952352215779393,0.01390601631989085,0.027313515073596934
60144,56,31250,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60156,28809,41926,22293,641,24,1857,0,515,0,515,3103,0,0,0,0,185,115,76,17,0.881530077406366,0.02224999132215627,0.0008330729980214516,0.06445902322190981,0.024297962442292338,0.0039918081155194554,0.020514422576278245
60169,33373,36992,15123,1778,124,7454,0,731,75,656,2675,99,0,0,0,4953,368,43,17,0.5333053666137296,0.05624307074581248,0.0037155784616306597,0.22335420849189463,0.17031732238636024,0.013274203697599856,0.020945075360321218
60189,29999,50520,23822,1185,8,2042,28,1042,0,1042,1432,37,0,0,0,264,21,60,17,0.8418280609353646,0.04073469115637188,0.00026667555585186174,0.06806893563118771,0.04353478449281643,0.000700023334111137,0.03673455781859395
60403,18653,29068,9984,3779,0,757,0,383,14,369,2655,61,41,0,0,765,102,93,17,0.6775853750067014,0.2058650083096553,0.0021980378491395485,0.04058328419021069,0.06154505977590736,0.006218838792687503,0.0247681338122554
60404,19028,42791,14792,939,0,433,0,360,0,360,1656,0,27,0,0,539,41,230,17,0.8644103426529325,0.049348328778642,0.0014189615303762876,0.02275593861677528,0.04724616354845491,0.00215471936094177,0.03100693714525962
60428,12180,25576,1078,9570,59,106,0,129,0,129,730,0,0,0,0,508,0,0,17,0.148440065681445,0.7857142857142857,0.004844006568144499,0.008702791461412151,0.052298850574712646,0.0,0.010591133004926109
60484,6423,28133,469,5441,0,15,0,206,0,206,134,39,0,0,0,7,7,96,17,0.09388136384866885,0.8531838704655146,0.0,0.002335357309668379,0.033162073797290983,0.001089833411178577,0.047018527167990036
