zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
47982,173,28958,165,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,18,0.9826589595375722,0.0,0.0,0.0,0.0,0.017341040462427744,0.0
47987,4074,26408,3907,19,0,0,0,76,0,76,60,0,0,0,0,0,12,0,18,0.9737358861070201,0.004663721158566519,0.0,0.0,0.018654884634266077,0.0029455081001472753,0.018654884634266077
47990,1964,31592,1903,0,4,0,0,29,1,28,28,0,0,0,0,0,0,0,18,0.9831975560081466,0.0,0.002036659877800407,0.0,0.014765784114052953,0.0005091649694501018,0.014256619144602852
47997,134,28750,132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,0.9850746268656716,0.007462686567164179,0.0,0.0,0.0,0.0,0.007462686567164179
47368,2831,30451,2704,0,0,13,0,64,0,64,38,0,0,0,0,12,0,0,18,0.9685623454609679,0.0,0.0,0.0045920169551395265,0.026845637583892617,0.0,0.02260685270222536
47381,122,28214,119,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,18,0.9754098360655737,0.0,0.0,0.0,0.02459016393442623,0.0,0.02459016393442623
47451,1111,30000,1046,0,0,9,0,24,12,12,23,0,0,0,0,7,2,0,18,0.9621962196219622,0.0,0.0,0.008100810081008101,0.0279027902790279,0.012601260126012601,0.010801080108010801
47460,10917,27177,10380,47,80,99,0,137,0,137,153,21,0,0,0,0,0,0,18,0.9648255015114042,0.006228817440688834,0.007328020518457452,0.009068425391591096,0.012549235137858387,0.0,0.012549235137858387
47462,4812,29664,4662,0,49,20,0,39,0,39,29,0,0,0,0,13,0,0,18,0.9748545303408146,0.0,0.010182876142975894,0.004156275976724855,0.010806317539484621,0.0,0.008104738154613466
47516,1100,35069,1034,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,18,0.94,0.0,0.0,0.0,0.06,0.0,0.0
47610,5444,30286,5315,46,23,9,0,44,0,44,0,0,0,0,0,0,0,7,18,0.9763041880969875,0.008449669360764144,0.004224834680382072,0.0016531961792799412,0.008082292432035268,0.0,0.009368111682586333
47612,715,31071,697,0,0,0,0,13,0,13,5,0,0,0,0,0,0,0,18,0.9818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.01818181818181818
47619,1753,35983,1731,3,0,0,3,14,0,14,0,0,0,0,0,2,0,0,18,0.9874500855675984,0.0017113519680547634,0.0,0.0,0.00912721049629207,0.0,0.007986309184255563
47970,1779,34444,1590,17,4,9,0,71,0,71,76,0,0,0,0,10,0,2,18,0.9364811691961776,0.00955593029792018,0.0022484541877459247,0.00505902192242833,0.045531197301854974,0.0,0.04103428892636313
47981,1130,31250,1090,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,18,0.9646017699115044,0.0,0.0,0.0,0.035398230088495575,0.0,0.035398230088495575
47983,303,37604,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47243,5907,21191,5563,117,46,11,0,97,0,97,22,12,6,0,0,33,0,0,18,0.9454884035889622,0.021838496698831894,0.008803114948366345,0.00186219739292365,0.02200778737091586,0.0,0.016421195192144914
47280,979,28277,841,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47337,138,31667,133,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,18,0.9710144927536232,0.0,0.0,0.0,0.028985507246376812,0.0,0.0
47846,532,37625,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47853,121,31000,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47854,612,33182,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
