zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
71227,4204,30854,3477,465,56,85,0,17,0,17,70,0,0,0,0,0,9,19,22,0.8437202664129401,0.11060894386298763,0.013320647002854425,0.02021883920076118,0.004043767840152236,0.0021408182683158895,0.008563273073263558
71238,3026,25714,2850,109,16,3,0,7,0,7,18,0,0,0,0,23,0,0,22,0.9477858559153999,0.03602115003304693,0.005287508261731659,0.0009914077990746861,0.00991407799074686,0.0,0.002313284864507601
71256,1300,21875,499,792,0,0,0,0,0,0,0,0,0,0,0,0,9,0,22,0.38384615384615384,0.6092307692307692,0.0,0.0,0.0,0.006923076923076923,0.0
71275,2652,22208,1285,1013,0,14,0,44,0,44,15,6,0,0,0,275,0,0,22,0.49019607843137253,0.38423831070889897,0.0,0.005279034690799397,0.12028657616892911,0.0,0.016591251885369532
71280,5125,35686,3800,1084,0,25,0,18,0,18,64,60,0,0,0,61,13,0,22,0.7539512195121951,0.22321951219512196,0.0,0.004878048780487805,0.015414634146341463,0.0025365853658536586,0.0035121951219512196
71302,13379,18906,1813,11095,42,38,0,335,0,335,30,6,0,0,0,11,0,0,22,0.1377531953060767,0.829733163913596,0.003139248075341954,0.0028402720681665297,0.02586142462067419,0.0,0.025039240600941773
71323,965,20227,951,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,22,0.9854922279792746,0.008290155440414507,0.0062176165803108805,0.0,0.0,0.0,0.0
71052,9285,19067,2560,6496,12,0,11,78,0,78,96,0,9,0,0,0,0,0,22,0.2860527732902531,0.6996230479267636,0.002261712439418417,0.0,0.00840064620355412,0.0,0.00840064620355412
71063,635,27237,291,284,0,0,0,0,0,0,60,0,0,0,0,0,0,0,22,0.552755905511811,0.44724409448818897,0.0,0.0,0.0,0.0,0.0
71111,43975,31804,27059,11756,175,1028,0,944,40,904,1991,132,54,7,50,328,197,28,22,0.6606026151222285,0.27033541785105175,0.005207504263786242,0.023536100056850483,0.028925525866969868,0.005389425810119386,0.021193860147811255
