zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
02360,59826,41071,54846,1019,39,895,0,1143,158,985,819,103,16,0,0,270,37,124,25,0.9304483000702036,0.018754387724400762,0.0009193327315882726,0.014960050814027346,0.023618493631531443,0.003259452411994785,0.018537090896934443
02375,10248,43876,8927,352,0,252,0,114,0,114,212,0,0,0,0,92,11,19,25,0.891783762685402,0.03434816549570648,0.0,0.02459016393442623,0.020101483216237316,0.0010733801717408276,0.012978142076502733
02047,97,-666666666,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02203,30,-666666666,14,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,25,0.4666666666666667,0.0,0.0,0.5333333333333333,0.0,0.0,0.0
02357,1061,3491,828,43,0,61,0,32,9,23,62,21,0,0,0,14,0,0,25,0.8388312912346843,0.060320452403393024,0.0,0.057492931196983975,0.043355325164938736,0.008482563619227144,0.021677662582469368
02457,1752,3689,1033,111,0,394,8,48,30,18,106,29,0,0,0,10,1,5,25,0.6501141552511416,0.07990867579908675,0.0,0.22488584474885845,0.033105022831050226,0.01769406392694064,0.013127853881278538
02553,111,-666666666,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02557,4665,45247,4080,217,0,0,0,159,38,121,80,18,0,0,0,0,0,0,25,0.8917470525187567,0.05037513397642015,0.0,0.0,0.03408360128617363,0.008145766345123259,0.025937834941050376
02561,296,53971,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02562,3094,42163,2830,37,0,82,0,39,0,39,98,0,0,0,0,0,0,0,25,0.9463477698771816,0.011958629605688428,0.0,0.026502908855850032,0.012605042016806723,0.0,0.012605042016806723
02564,233,43500,177,42,0,14,0,0,0,0,0,0,0,0,0,0,0,0,25,0.759656652360515,0.18025751072961374,0.0,0.060085836909871244,0.0,0.0,0.0
02584,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,,,,
02637,199,76382,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02641,194,-666666666,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02643,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,,,,
02651,25,26838,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02663,102,38938,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02791,402,43512,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02780,50438,31964,37381,4347,12,946,0,1347,143,1204,2457,237,3,9,0,1416,462,242,25,0.7898409929021769,0.09088385740909631,0.00029739482136484396,0.018934136960228398,0.05478012609540426,0.011994924461715373,0.028668860779570957
02332,15812,55796,15097,121,12,303,0,144,8,136,124,0,0,0,0,10,1,0,25,0.9626233240576777,0.007652415886668353,0.0007589172780166962,0.01916266126992158,0.009739438401214268,0.0005691879585125221,0.008601062484189223
02346,24802,38495,22959,409,16,233,20,443,64,379,543,19,0,0,0,36,0,0,25,0.9475848721877268,0.017256672848963792,0.0006451092653818241,0.009394403677122814,0.019312958632368357,0.0025804370615272964,0.015281025723731956
02366,198,2499,114,16,0,0,0,0,0,0,31,5,9,0,0,23,0,0,25,0.7323232323232324,0.10606060606060606,0.045454545454545456,0.0,0.11616161616161616,0.0,0.0
02368,34686,34869,10005,15512,27,4472,12,791,137,654,929,339,0,38,0,1388,41,275,25,0.31522804589748027,0.45698552730208153,0.0007784120394395433,0.13002364066193853,0.06282073459032463,0.005131753445194027,0.02678314017182725
02445,21074,60730,14640,684,6,3094,0,1010,59,951,833,66,76,0,0,444,42,62,25,0.7342222644016323,0.0355888772895511,0.0038910505836575876,0.14681598177849484,0.06899497010534307,0.004792635474992883,0.04806871025908702
02453,29505,41359,18560,1727,47,2968,0,434,33,401,2410,196,0,5,0,2203,110,835,25,0.7107269954245043,0.06517539400101678,0.001592950347398746,0.10076258261311642,0.08937468225724453,0.004846636163362142,0.04189120488052872
02468,5623,94464,4565,61,0,668,0,142,0,142,171,0,0,0,0,7,9,0,25,0.8422550240085364,0.010848301618353193,0.0,0.1187977947714743,0.0264983105104037,0.0016005690912324383,0.025253423439445137
02538,4128,30530,3061,44,0,86,0,235,148,87,148,0,144,0,0,27,0,0,25,0.7773740310077519,0.01065891472868217,0.03488372093023256,0.020833333333333332,0.06346899224806202,0.035852713178294575,0.021075581395348836
02630,1957,47708,1900,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,25,0.970873786407767,0.0015329586101175269,0.0,0.01481859989780276,0.0,0.0,0.0
