zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
20602,26550,44071,6652,15532,264,692,0,1469,0,1469,935,317,53,0,0,113,32,414,24,0.28576271186440677,0.5969491525423729,0.011939736346516008,0.026064030131826742,0.05958568738229755,0.0012052730696798493,0.07092278719397363
20603,31975,57789,7709,18827,174,1718,0,1475,55,1420,1419,121,0,13,0,161,92,210,24,0.2854730258014074,0.5925879593432369,0.00544175136825645,0.05413604378420641,0.05116497263487099,0.004597341673182174,0.050977326035965595
20606,374,-666666666,252,55,0,0,0,59,0,59,8,0,0,0,0,0,0,0,24,0.6951871657754011,0.14705882352941177,0.0,0.0,0.15775401069518716,0.0,0.15775401069518716
20607,10843,61939,1964,6877,76,821,0,569,0,569,84,79,0,0,0,186,0,118,24,0.18887761689569307,0.6415198745734575,0.00700913031448861,0.07571705247625196,0.06963017615051185,0.0,0.06335884902702205
20608,860,53938,174,424,0,5,0,255,5,250,2,0,0,0,0,0,0,0,24,0.20465116279069767,0.4930232558139535,0.0,0.005813953488372093,0.29651162790697677,0.005813953488372093,0.29069767441860467
20621,960,33000,715,229,0,0,0,16,6,10,0,0,0,0,0,0,0,0,24,0.7447916666666666,0.23854166666666668,0.0,0.0,0.016666666666666666,0.00625,0.010416666666666666
20623,2997,59786,282,2434,0,121,0,125,0,125,0,13,0,0,18,4,0,0,24,0.0940940940940941,0.8164831498164832,0.0,0.040373707040373706,0.043043043043043044,0.0,0.04170837504170837
20624,1409,45305,1253,120,0,0,0,11,0,11,25,0,0,0,0,0,0,0,24,0.9070262597586941,0.085166784953868,0.0,0.0,0.007806955287437899,0.0,0.007806955287437899
20653,24274,35568,13257,7144,0,1366,0,694,15,679,1183,55,0,0,0,289,0,155,24,0.5948751750844525,0.2965724643651644,0.0,0.05627420285078685,0.04049600395484881,0.0006179451264727692,0.034357749031885966
20659,23312,42547,20351,1823,0,57,0,362,0,362,645,33,0,0,0,13,0,28,24,0.9006520247083047,0.07961564859299931,0.0,0.002445092656142759,0.016086135895676045,0.0,0.01672958133150309
20684,1066,32377,949,77,0,0,0,24,0,24,16,0,0,0,0,0,0,0,24,0.9052532833020638,0.07223264540337711,0.0,0.0,0.0225140712945591,0.0,0.0225140712945591
20687,448,62173,354,0,0,45,0,49,0,49,0,0,0,0,0,0,0,0,24,0.7901785714285714,0.0,0.0,0.10044642857142858,0.109375,0.0,0.109375
20689,2081,50403,1468,384,0,18,0,120,0,120,63,0,0,0,0,17,0,0,24,0.7357039884670832,0.18452666987025468,0.0,0.008649687650168188,0.06583373378183566,0.0,0.05766458433445459
20832,26437,53832,16018,3525,153,2892,0,1136,90,1046,1423,41,0,0,0,853,199,41,24,0.6597193327533382,0.13488671180542422,0.005787343495858078,0.10939213980406248,0.075235465446155,0.010931648825509703,0.041116616862730264
