zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
04912,974,15369,955,1,0,8,0,1,0,1,8,0,0,0,0,1,0,0,23,0.9887063655030801,0.001026694045174538,0.0,0.008213552361396304,0.002053388090349076,0.0,0.001026694045174538
04915,8839,31308,8223,103,57,0,0,187,0,187,107,38,0,0,0,18,0,0,23,0.9424143002602104,0.015952030772711845,0.006448693291096278,0.0,0.023192668853942753,0.0,0.021156239393596562
04925,68,31250,64,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,23,0.9411764705882353,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
04937,6488,21193,6341,55,34,0,0,0,0,0,50,0,0,8,0,0,0,0,23,0.9850493218249076,0.008477188655980272,0.0052404438964241675,0.0012330456226880395,0.0,0.0,0.0
04949,896,28875,872,1,0,0,0,7,0,7,3,0,0,0,0,0,0,9,23,0.9765625,0.0011160714285714285,0.0,0.0,0.0078125,0.0,0.017857142857142856
04962,134,41538,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04965,2067,25725,1996,0,0,0,0,56,0,56,0,0,0,0,0,0,15,0,23,0.9656507014997581,0.0,0.0,0.0,0.027092404450895016,0.00725689404934688,0.027092404450895016
04974,2592,21992,2446,0,0,0,0,22,0,22,60,0,0,0,0,0,37,27,23,0.966820987654321,0.0,0.0,0.0,0.008487654320987654,0.01427469135802469,0.01890432098765432
04003,329,43462,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04015,3895,30448,3820,8,0,0,0,67,0,67,0,0,0,0,0,0,0,0,23,0.9807445442875481,0.0020539152759948653,0.0,0.0,0.017201540436456997,0.0,0.017201540436456997
04019,23,91339,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04029,1600,30443,1550,3,5,0,0,25,0,25,17,0,0,0,0,0,0,0,23,0.979375,0.001875,0.003125,0.0,0.015625,0.0,0.015625
04030,2163,32403,2127,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,23,0.9995376791493297,0.0,0.0,0.0004623208506703652,0.0,0.0,0.0
04038,17582,33203,16761,120,79,85,0,187,0,187,193,7,0,0,0,87,50,9,23,0.9642816516892276,0.007223296553293141,0.004493231714253213,0.004834489819133205,0.015584120122852917,0.0028438175406665907,0.011147764759413037
04064,8394,33271,7878,27,259,35,0,116,0,116,36,0,11,0,0,13,0,19,23,0.9428162973552537,0.0032165832737669764,0.032165832737669764,0.0041696449845127475,0.015368120085775554,0.0,0.016082916368834882
04068,1440,18559,1362,0,0,3,0,63,9,54,12,0,0,0,0,0,0,0,23,0.9541666666666667,0.0,0.0,0.0020833333333333333,0.04375,0.00625,0.0375
04069,1635,36386,1493,0,8,6,0,106,0,106,12,0,0,0,0,0,0,10,23,0.9204892966360856,0.0,0.004892966360856269,0.003669724770642202,0.06483180428134556,0.0,0.0709480122324159
04091,867,24934,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04093,8243,33143,7842,30,0,13,0,130,0,130,100,0,0,0,0,0,0,128,23,0.9634841683852966,0.0036394516559505033,0.0,0.0015770957175785514,0.015770957175785513,0.0,0.03129928424117433
04364,5915,30687,5459,290,83,14,0,27,0,27,0,0,0,0,0,0,0,42,23,0.9229078613693998,0.04902789518174133,0.014032121724429417,0.002366863905325444,0.004564666103127641,0.0,0.011665257819103972
04412,9090,26880,8802,60,19,1,0,165,0,165,29,0,14,0,0,0,0,0,23,0.9715071507150715,0.006600660066006601,0.0036303630363036304,0.00011001100110011001,0.018151815181518153,0.0,0.018151815181518153
04413,195,16458,170,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.8717948717948718,0.0,0.1282051282051282,0.0,0.0,0.0,0.0
04426,4524,21800,4123,43,93,68,0,106,0,106,22,0,0,0,0,51,0,0,23,0.9162245800176835,0.009504862953138815,0.020557029177718834,0.015030946065428824,0.03470380194518125,0.0,0.023430592396109638
04435,1093,23093,1001,0,3,0,0,0,0,0,0,0,85,0,0,0,0,4,23,0.9158279963403476,0.0,0.08051235132662397,0.0,0.0,0.0,0.0036596523330283625
04449,1369,26250,1288,0,32,5,0,36,0,36,0,0,0,0,0,8,0,0,23,0.9408327246165084,0.0,0.02337472607742878,0.003652300949598247,0.03214024835646457,0.0,0.026296566837107377
04459,903,21336,865,8,16,0,0,14,0,14,0,0,0,0,0,0,0,0,23,0.9579180509413068,0.008859357696566999,0.017718715393133997,0.0,0.015503875968992248,0.0,0.015503875968992248
04544,675,36795,619,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.917037037037037,0.0,0.08296296296296296,0.0,0.0,0.0,0.0
04573,491,33173,477,0,0,0,0,10,6,4,4,0,0,0,0,0,0,0,23,0.9796334012219959,0.0,0.0,0.0,0.020366598778004074,0.012219959266802444,0.008146639511201629
04623,870,23977,761,0,4,2,0,13,0,13,74,0,16,0,0,0,0,0,23,0.9597701149425287,0.0,0.022988505747126436,0.0022988505747126436,0.014942528735632184,0.0,0.014942528735632184
04625,66,44167,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
04629,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,,,
04634,1803,25635,1702,11,13,16,0,61,0,61,0,0,0,0,0,0,0,0,23,0.9439822518025514,0.006100942872989462,0.007210205213533,0.00887409872434831,0.03383250138657792,0.0,0.03383250138657792
