zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
48726,5831,26968,5553,37,12,20,0,28,0,28,169,0,0,0,0,1,0,11,26,0.9813068084376608,0.006345395300977534,0.0020579660435602813,0.003429943405933802,0.004973417938604013,0.0,0.006688389641570914
48734,7601,38516,7293,18,0,16,0,10,0,10,209,0,26,0,0,2,4,23,26,0.9869753979739508,0.0023681094592816736,0.0034206025522957504,0.0021049861860281543,0.0015787396395211155,0.0005262465465070386,0.004341534008683068
48741,1924,26338,1811,16,11,0,0,36,3,33,38,0,0,0,3,0,3,0,26,0.9610187110187111,0.008316008316008316,0.005717255717255718,0.0,0.018711018711018712,0.0031185031185031187,0.017151767151767153
48744,4128,25880,3919,31,0,7,0,19,10,9,98,0,3,0,0,17,34,0,26,0.9731104651162791,0.0075096899224806205,0.0007267441860465116,0.001695736434108527,0.00872093023255814,0.01065891472868217,0.002180232558139535
48754,965,27143,912,1,3,0,0,33,0,33,9,0,0,0,0,3,4,0,26,0.9544041450777202,0.0010362694300518134,0.0031088082901554403,0.0,0.03730569948186528,0.004145077720207254,0.03419689119170984
48757,3742,30912,3505,22,6,3,0,55,0,55,127,0,13,7,0,4,0,0,26,0.9706039551042224,0.005879208979155532,0.005077498663816141,0.002672367717797969,0.015766969535008016,0.0,0.01469802244788883
48801,12691,21965,11319,203,22,66,0,80,6,74,824,78,50,0,0,30,16,3,26,0.9568197935544874,0.022141675202899693,0.005673311795760775,0.005200535812780711,0.008667559687967851,0.0017335119375935704,0.006067291781577496
48806,1523,26762,1401,16,4,43,0,43,0,43,16,0,0,0,0,0,0,0,26,0.9304005252790545,0.010505581089954037,0.0026263952724885093,0.028233749179251477,0.028233749179251477,0.0,0.028233749179251477
48815,2424,33641,2279,0,0,21,0,63,0,63,51,0,0,0,0,7,0,3,26,0.9612211221122112,0.0,0.0,0.008663366336633664,0.028877887788778877,0.0,0.027227722772277228
48818,2392,25666,2286,0,9,14,0,14,4,10,69,0,0,0,0,0,0,0,26,0.9845317725752508,0.0,0.003762541806020067,0.005852842809364548,0.005852842809364548,0.0016722408026755853,0.004180602006688963
48832,1465,26918,1337,0,0,0,0,63,0,63,57,0,0,0,0,5,0,3,26,0.9515358361774744,0.0,0.0,0.0,0.04641638225255973,0.0,0.04505119453924915
48850,4647,25959,4464,14,7,10,0,25,0,25,37,0,0,0,0,28,51,11,26,0.9685818807833011,0.003012696363245104,0.001506348181622552,0.002151925973746503,0.011405207660856467,0.010974822466107165,0.007746933505487412
48856,817,32368,775,0,0,0,0,29,0,29,13,0,0,0,0,0,0,0,26,0.9645042839657283,0.0,0.0,0.0,0.03549571603427173,0.0,0.03549571603427173
48861,1379,31481,1298,1,0,3,0,45,0,45,23,0,0,0,0,7,0,2,26,0.9579405366207396,0.0007251631617113851,0.0,0.002175489485134155,0.03770848440899202,0.0,0.0340826686004351
48866,4942,27748,4590,35,10,42,0,31,0,31,217,0,6,0,0,8,3,0,26,0.9726831242411978,0.007082152974504249,0.003237555645487657,0.0084985835694051,0.007891541885876164,0.0006070416835289356,0.006272764063132335
48895,11437,49064,10781,92,8,103,0,175,57,118,178,0,0,0,0,40,5,41,26,0.958205823205386,0.008044067500218589,0.0006994841304537903,0.009005858179592551,0.018798636005945616,0.005421002011016875,0.013902247092769084
48896,306,10859,272,0,6,0,0,4,0,4,24,0,0,0,0,0,0,0,26,0.9673202614379085,0.0,0.0196078431372549,0.0,0.013071895424836602,0.0,0.013071895424836602
48933,2637,21169,1143,874,11,88,13,142,0,142,126,28,20,0,0,160,0,25,26,0.4812286689419795,0.34205536594615094,0.011755783086841108,0.03337125521425863,0.11452408039438756,0.0,0.06332954114524081
48706,39499,27499,35374,604,76,320,0,915,12,903,2034,9,0,0,0,72,39,48,26,0.9470619509354667,0.015519380237474366,0.0019240993442871971,0.008101470923314515,0.024987974379098204,0.0012911719284032508,0.024076558900225323
48653,10084,26521,9507,22,128,0,0,273,0,273,76,1,0,0,0,61,9,7,26,0.9503173343911147,0.0022808409361364536,0.012693375644585482,0.0,0.033121777072590244,0.0008925029750099166,0.027766759222530742
48662,1659,26410,1513,0,2,0,0,5,0,5,113,0,0,0,0,16,10,0,26,0.9801084990958409,0.0,0.0012055455093429777,0.0,0.012658227848101266,0.006027727546714889,0.0030138637733574444
48703,2939,25704,2818,10,6,5,0,79,3,76,21,0,0,0,0,0,0,0,26,0.9659748213678122,0.003402517863218782,0.002041510717931269,0.001701258931609391,0.026879891119428376,0.0010207553589656345,0.025859135760462743
48872,6767,35115,6582,33,25,0,0,50,0,50,54,0,0,0,0,0,10,13,26,0.9806413477168613,0.004876607063691443,0.0036943992906753364,0.0,0.007388798581350673,0.0014777597162701345,0.009309886212501848
48837,19603,39111,17926,143,0,143,28,492,98,394,604,0,11,0,0,68,33,88,26,0.9452634800795796,0.007294801816048564,0.0005611386012345049,0.007294801816048564,0.028567056062847523,0.006682650614701831,0.024588073254093762
48840,12685,38057,10798,468,21,405,0,280,0,280,394,14,0,0,0,182,25,69,26,0.8823019314150572,0.037997635001970835,0.0016554986204178163,0.03192747339377217,0.03642096964919196,0.001970831690973591,0.02751281040599133
48847,5811,30006,5314,45,27,7,0,72,0,72,214,9,77,0,0,11,16,3,26,0.9512992600240923,0.009292720702116675,0.017897091722595078,0.0012046119428669765,0.01428325589399415,0.002753398726553089,0.012906556530717605
48875,10432,36851,9776,178,0,101,9,147,30,117,133,0,0,0,0,75,6,7,26,0.9498657975460123,0.01706288343558282,0.0,0.009681748466257668,0.021280674846625765,0.003450920245398773,0.011886503067484663
48880,10034,24444,7009,1846,50,64,16,227,33,194,642,42,9,0,0,31,48,43,26,0.7625074745864062,0.18816025513254933,0.005880007972892167,0.006378313733306757,0.025712577237392863,0.008072553318716364,0.023619693043651583
48881,5560,30957,5305,12,2,13,0,42,0,42,84,0,5,0,0,46,44,7,26,0.9692446043165468,0.002158273381294964,0.0012589928057553956,0.0023381294964028776,0.015827338129496403,0.007913669064748202,0.00881294964028777
48235,46450,20266,736,44475,117,73,0,336,48,288,247,38,0,0,0,17,92,125,26,0.02116254036598493,0.9582992465016147,0.002518837459634015,0.0015715823466092573,0.00759956942949408,0.0030139935414424113,0.008891280947255113
48236,29492,51099,25090,2723,7,584,0,414,16,398,563,24,16,0,0,24,23,0,26,0.869829106198291,0.09314390343143904,0.0007798725077987251,0.019801980198019802,0.01485148514851485,0.001322392513223925,0.013495185134951852
48301,14796,63844,12354,834,10,796,0,433,19,414,285,0,0,0,0,64,0,0,26,0.8542173560421735,0.056366585563665854,0.0006758583400919168,0.05379832387131657,0.03359015950256826,0.0012841308461746417,0.027980535279805353
48302,15964,61403,11846,1212,58,1692,0,481,91,390,467,0,23,0,0,49,9,10,26,0.7712979203207216,0.07592082184916062,0.005073916311701328,0.10598847406664996,0.03319969932347783,0.006264094211976948,0.02505637684790779
48313,33467,32811,29789,1732,115,593,0,268,0,268,513,0,0,14,0,343,100,0,26,0.905429228792542,0.051752472584934414,0.0034362207547733586,0.018137269549108076,0.018256790271013238,0.0029880180476290078,0.008007888367645741
48314,20582,32626,17182,823,29,1647,0,328,15,313,464,92,0,0,0,0,13,0,26,0.8573510834709941,0.044456321057234474,0.0014089981537265572,0.08002137790302206,0.01593625498007968,0.001360412010494607,0.015207462831600427
48326,22352,35052,12430,3635,57,4061,36,796,10,786,1049,35,0,0,0,169,13,37,26,0.6030332856120257,0.16419112383679313,0.0025501073729420187,0.18168396564065856,0.04317287043664996,0.001028990694345025,0.03681997136721546
48328,26476,30790,19619,1992,131,735,24,884,23,861,1796,13,0,30,0,1062,25,145,26,0.8088457470917056,0.07572896207886387,0.004947877322858438,0.02889409276325729,0.0735005287807826,0.0018129626831847711,0.03799667623508083
48342,16652,19227,2691,10751,25,155,0,502,49,453,1721,115,6,0,0,411,12,263,26,0.26495315877972614,0.6525342301225078,0.0018616382416526544,0.009308191208263272,0.05482824885899592,0.0036632236368003843,0.042997838097525824
48353,6753,35992,6231,52,21,13,0,62,0,62,364,0,0,0,0,10,0,0,26,0.9766029912631423,0.007700281356434177,0.003109729009329187,0.0019250703391085443,0.010661928031985785,0.0,0.00918110469420998
48416,5179,27902,4917,6,6,10,0,91,0,91,130,0,0,0,0,4,15,0,26,0.9745124541417262,0.0011585248117397182,0.0011585248117397182,0.0019308746862328635,0.018343309519212203,0.0028963120293492954,0.017570959644719056
48433,25000,32192,21848,1057,167,147,0,613,0,613,924,14,0,0,33,52,10,0,26,0.91088,0.04284,0.00668,0.00588,0.0266,0.0004,0.02452
48454,1187,24525,1174,0,0,2,0,0,0,0,3,0,0,0,0,0,5,3,26,0.991575400168492,0.0,0.0,0.0016849199663016006,0.0,0.004212299915754001,0.002527379949452401
48455,7924,37130,7511,18,20,153,0,99,0,99,111,0,0,0,0,0,12,0,26,0.9618879353861686,0.002271580010095911,0.002523977788995457,0.019308430085815245,0.012493690055527511,0.001514386673397274,0.012493690055527511
48458,18410,21548,12649,3981,110,80,0,846,0,846,538,0,9,0,0,123,51,0,26,0.7162954915806626,0.2162411732753938,0.006463878326996198,0.0043454644215100485,0.05263443780554047,0.0027702335687126564,0.045953286257468764
48466,1473,29784,1365,35,0,1,0,46,0,46,23,0,0,0,0,3,0,0,26,0.9422946367956552,0.02376103190767142,0.0,0.0006788866259334691,0.03326544467073999,0.0,0.031228784792939578
48468,1088,25417,1020,0,11,1,0,24,0,24,32,0,0,0,0,0,0,0,26,0.9669117647058824,0.0,0.01011029411764706,0.0009191176470588235,0.022058823529411766,0.0,0.022058823529411766
48509,9351,31510,8316,400,4,201,0,212,0,212,148,0,0,0,0,70,0,0,26,0.9051438348839697,0.04277617367126511,0.00042776173671265103,0.021495027269810715,0.0301572024382419,0.0,0.022671372045770504
48519,6984,26344,6041,473,0,70,0,233,0,233,123,0,0,0,0,22,4,18,26,0.8825887743413516,0.0677262313860252,0.0,0.01002290950744559,0.03651202749140894,0.000572737686139748,0.035939289805269184
48602,30199,21690,17248,6131,43,140,3,1608,30,1578,3059,332,116,0,0,901,382,218,26,0.6724394847511507,0.214013709063214,0.005265075002483526,0.0046359150965263754,0.08308222126560483,0.013642835855491904,0.059472167952581215
48607,1556,15745,304,831,13,11,0,125,7,118,246,10,0,0,0,16,0,0,26,0.35347043701799485,0.5404884318766067,0.008354755784061696,0.007069408740359897,0.09061696658097686,0.004498714652956298,0.07583547557840617
48609,12422,31999,11789,56,13,83,0,115,0,115,310,4,11,0,0,7,0,34,26,0.9739977459346321,0.004830140074062148,0.0019320560296248591,0.0066816937691193045,0.0098212848172597,0.0,0.011994847850587667
