zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
55024,35519,45398,30991,464,372,922,35,923,0,923,906,9,14,0,0,591,202,4,27,0.8980264084011375,0.013316816351811707,0.010867423069343168,0.0259579380050114,0.04262507390410766,0.005687097046651088,0.026098707733888903
55025,25371,40447,22145,342,213,1064,23,501,0,501,494,0,33,0,0,352,36,111,27,0.8923180008671318,0.013479957431713374,0.009696109731583304,0.041937645343108274,0.033621063418864054,0.001418942887548776,0.024122029088329194
55026,392,40078,367,0,11,9,0,5,0,5,0,0,0,0,0,0,0,0,27,0.9362244897959183,0.0,0.02806122448979592,0.02295918367346939,0.012755102040816327,0.0,0.012755102040816327
55036,82,16429,79,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,27,0.9634146341463414,0.0,0.0,0.0,0.036585365853658534,0.0,0.036585365853658534
55038,22844,49576,20963,153,14,779,0,391,13,378,424,0,0,0,0,0,37,67,27,0.9362195762563474,0.0066976011206443704,0.0006128523901243215,0.034100857993346174,0.017116091752757835,0.0021887585361582912,0.01947995097180879
55053,1038,38036,1024,0,0,5,0,3,0,3,6,0,0,0,0,0,0,0,27,0.9922928709055877,0.0,0.0,0.004816955684007707,0.002890173410404624,0.0,0.002890173410404624
55065,1281,40912,1258,0,0,0,0,6,0,6,3,0,0,0,0,0,5,9,27,0.9843871975019516,0.0,0.0,0.0,0.00468384074941452,0.0039032006245121,0.0117096018735363
55066,18279,31876,16062,467,182,118,0,471,0,471,471,0,0,0,0,359,142,6,27,0.9044805514524865,0.025548443569123037,0.009956781005525467,0.006455495377208819,0.045407297992231525,0.0077684774878275615,0.026095519448547513
55072,4566,19787,3344,406,295,59,0,190,17,173,211,0,1,0,0,43,0,3,27,0.778580814717477,0.08891809023215068,0.06482698204117389,0.012921594393342093,0.0510293473499781,0.0037231712658782304,0.038545773105562856
55085,498,38077,464,0,0,11,0,0,0,0,19,0,0,0,0,0,0,0,27,0.9698795180722891,0.0,0.0,0.02208835341365462,0.0,0.0,0.0
55089,1731,40172,1515,10,149,15,0,27,0,27,7,0,1,0,0,3,4,0,27,0.8792605430387059,0.005777007510109763,0.08665511265164645,0.008665511265164644,0.01733102253032929,0.002310803004043905,0.01559792027729636
55092,10597,39185,10173,32,56,38,0,128,0,128,151,0,0,0,0,0,4,15,27,0.9742379918844956,0.0030197225629895255,0.00528451448523167,0.0035859205435500616,0.012078890251958102,0.0003774653203736907,0.013494385203359441
55103,14062,20845,4230,4450,126,3580,0,695,0,695,510,130,11,0,0,260,30,32,27,0.33707865168539325,0.32570046935002134,0.009742568624662211,0.2545868297539468,0.06791352581425117,0.002133409187882236,0.05169961598634618
55110,40254,41682,36039,742,59,1036,0,695,13,682,1186,76,29,0,0,391,1,0,27,0.9247528195955681,0.02032096189198589,0.0021861181497490932,0.025736572762955233,0.026978685348039946,0.0003477915238237194,0.016942415660555474
55307,3475,30000,2785,43,0,17,0,36,5,31,574,0,0,0,0,20,0,0,27,0.9666187050359712,0.01237410071942446,0.0,0.004892086330935252,0.016115107913669064,0.0014388489208633094,0.008920863309352519
