zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
65580,581,36122,578,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65618,220,24706,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65647,2210,24420,2086,5,8,44,0,22,0,22,36,0,0,0,0,9,0,0,29,0.9601809954751132,0.0022624434389140274,0.0036199095022624436,0.019909502262443438,0.014027149321266969,0.0,0.009954751131221719
65745,2874,21808,2549,2,85,0,0,212,0,212,15,0,0,0,0,10,0,1,29,0.8921363952679193,0.0006958942240779402,0.029575504523312455,0.0,0.07724425887265135,0.0,0.07411273486430063
65789,2097,16076,1758,0,235,0,0,0,0,0,64,0,0,0,0,0,0,40,29,0.8688602765855985,0.0,0.11206485455412495,0.0,0.0,0.0,0.019074868860276584
65321,340,25625,337,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.9911764705882353,0.008823529411764706,0.0,0.0,0.0,0.0,0.0
65612,1052,32239,995,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.9458174904942965,0.0,0.05418250950570342,0.0,0.0,0.0,0.0
65664,153,9821,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65755,620,23685,573,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,29,0.9241935483870968,0.0,0.0,0.07580645161290323,0.0,0.0,0.0
65634,530,15125,521,1,0,0,0,8,0,8,0,0,0,0,0,0,0,0,29,0.9830188679245283,0.0018867924528301887,0.0,0.0,0.01509433962264151,0.0,0.01509433962264151
65704,3400,18492,3192,0,26,0,0,34,0,34,120,0,0,0,0,0,0,0,29,0.9741176470588235,0.0,0.007647058823529412,0.0,0.01,0.0,0.01
65215,241,3397,219,5,0,5,0,3,0,3,4,0,0,0,0,5,0,0,29,0.9253112033195021,0.02074688796680498,0.0,0.02074688796680498,0.03319502074688797,0.0,0.012448132780082987
65584,11449,30489,7165,1570,69,292,240,811,0,811,439,34,0,21,0,370,87,318,29,0.6641628089789501,0.14009957201502315,0.0060267272250851605,0.027338632194951525,0.10315311380906629,0.007598916935976942,0.0986112324220456
65586,88,-666666666,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65654,178,26250,139,0,0,0,0,0,0,0,13,0,0,0,0,26,0,0,29,0.8539325842696629,0.0,0.0,0.0,0.14606741573033707,0.0,0.0
65254,1917,25927,1776,76,8,0,0,6,0,6,47,0,0,0,0,0,0,4,29,0.9509650495565989,0.0396452790818988,0.004173187271778821,0.0,0.003129890453834116,0.0,0.005216484089723527
65255,4236,31609,4087,19,0,7,0,58,0,58,40,0,0,0,0,5,7,13,29,0.974268177525968,0.0044853635505193576,0.0,0.0016525023607176581,0.014872521246458924,0.0016525023607176581,0.01676109537299339
65260,472,32065,463,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,29,0.9809322033898306,0.0,0.0,0.0,0.019067796610169493,0.0,0.019067796610169493
65263,1586,28679,1549,0,0,0,0,8,0,8,29,0,0,0,0,0,0,0,29,0.9949558638083228,0.0,0.0,0.0,0.005044136191677175,0.0,0.005044136191677175
65786,2242,22485,2015,9,51,45,0,84,0,84,25,0,0,0,0,13,0,0,29,0.9099018733273863,0.004014272970561998,0.022747546833184657,0.02007136485280999,0.043264942016057094,0.0,0.03746654772524532
65770,3345,28087,3284,0,2,12,0,14,0,14,33,0,0,0,0,0,0,0,29,0.9916292974588938,0.0,0.0005979073243647235,0.003587443946188341,0.004185351270553065,0.0,0.004185351270553065
65054,776,38587,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65624,1505,19245,1444,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,29,0.959468438538206,0.0,0.0,0.0,0.04053156146179402,0.0,0.0
65729,279,43882,138,0,0,0,0,29,0,29,25,0,0,0,0,0,0,87,29,0.5842293906810035,0.0,0.0,0.0,0.1039426523297491,0.0,0.4157706093189964
65708,13773,23897,9966,0,56,214,0,469,36,433,2224,0,41,43,0,689,0,71,29,0.8850649822115734,0.0,0.007042764829739345,0.018659696507659914,0.08407754301895012,0.002613809627532128,0.036593334785449794
65715,38,-666666666,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65724,1311,16175,1270,0,0,17,0,24,0,24,0,0,0,0,0,0,0,0,29,0.9687261632341724,0.0,0.0,0.012967200610221205,0.018306636155606407,0.0,0.018306636155606407
65760,596,-666666666,594,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65762,457,19522,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65784,13,-666666666,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65807,58103,24751,48352,2866,239,1523,45,2405,43,2362,1695,0,35,2,46,553,148,105,29,0.861349672133969,0.04932619658193209,0.004715763385711581,0.02624649329638745,0.050909591587353496,0.003287265717777051,0.04245908128668055
65231,3182,28571,2822,140,6,3,0,36,0,36,139,0,0,20,0,0,0,16,29,0.9305468258956631,0.04399748585795098,0.0018856065367693275,0.007228158390949088,0.011313639220615965,0.0,0.016341923318667503
65262,794,24809,781,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,0.9861460957178841,0.013853904282115869,0.0,0.0,0.0,0.0,0.0
65282,98,-666666666,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65001,243,32885,236,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,29,0.9711934156378601,0.0,0.0,0.0,0.02880658436213992,0.0,0.02880658436213992
65608,8927,20455,8713,25,64,11,0,14,0,14,24,0,0,0,0,76,0,0,29,0.9787162540607147,0.0028004928867480677,0.007169261790075053,0.0012322168701691498,0.010081774392293043,0.0,0.0015682760165789179
65690,188,15927,179,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65247,714,21434,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65714,32932,31826,29981,192,163,368,0,990,0,990,959,114,83,0,0,82,0,0,29,0.9395117211223126,0.00929187416494595,0.007469938054172233,0.011174541479412122,0.03255192517915705,0.0,0.030061945827766307
63555,3344,26172,3315,0,0,0,0,29,0,29,0,0,0,0,0,0,0,0,29,0.9913277511961722,0.0,0.0,0.0,0.008672248803827751,0.0,0.008672248803827751
63556,3853,25541,2552,142,59,4,9,29,0,29,774,0,8,0,0,191,32,46,29,0.8632234622372178,0.03685439916947833,0.017389047495458086,0.0010381520892810796,0.05709836491045938,0.008305216714248637,0.019465351674020245
63559,1684,25402,1547,0,0,17,7,16,0,16,74,0,0,0,0,23,0,0,29,0.9625890736342043,0.0,0.0,0.010095011876484561,0.02315914489311164,0.0,0.009501187648456057
63566,95,25625,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.8736842105263158,0.0,0.0,0.0,0.0,0.0,0.0
63627,3254,26994,3192,0,0,0,0,11,0,11,51,0,0,0,0,0,0,0,29,0.996619545175169,0.0,0.0,0.0,0.003380454824830977,0.0,0.003380454824830977
63051,13670,30959,13007,40,17,28,0,354,0,354,208,0,4,0,0,1,11,0,29,0.9667154352596927,0.002926115581565472,0.0015362106803218727,0.0020482809070958303,0.02596927578639356,0.0008046817849305047,0.025896122896854425
63363,1926,27153,1743,41,0,17,0,58,0,58,0,0,0,0,0,67,0,0,29,0.9049844236760125,0.021287642782969886,0.0,0.008826583592938734,0.06490134994807892,0.0,0.030114226375908618
63370,13,18750,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63377,2625,28291,2570,4,0,0,0,20,0,20,31,0,0,0,0,0,0,0,29,0.9908571428571429,0.0015238095238095239,0.0,0.0,0.007619047619047619,0.0,0.007619047619047619
63389,6987,32558,6473,7,0,7,0,192,0,192,124,0,0,0,0,153,31,0,29,0.944182052382997,0.0010018605982539,0.0,0.0010018605982539,0.04937741519965651,0.0044368112208387,0.027479604980678404
63435,4146,22682,3779,150,53,0,11,120,3,117,33,0,0,0,0,0,0,0,29,0.9194404245055475,0.0361794500723589,0.012783405692233478,0.0,0.02894356005788712,0.000723589001447178,0.028219971056439943
63954,774,16095,652,71,0,0,0,19,0,19,12,0,0,0,0,0,0,20,29,0.8578811369509044,0.0917312661498708,0.0,0.0,0.02454780361757106,0.0,0.050387596899224806
63956,1441,15747,1269,29,0,4,0,27,0,27,112,0,0,0,0,0,0,0,29,0.9583622484385843,0.020124913254684247,0.0,0.002775850104094379,0.018736988202637056,0.0,0.018736988202637056
63829,1222,17099,1040,0,2,7,0,29,0,29,84,0,0,0,0,60,0,0,29,0.9198036006546645,0.0,0.0016366612111292963,0.0057283142389525366,0.07283142389525368,0.0,0.023731587561374796
