zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
38958,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,,
39040,3011,22646,1959,986,9,0,0,37,0,37,0,20,0,0,0,0,0,0,28,0.6506144138160079,0.3341082696778479,0.0029890401859847225,0.0,0.012288276320159415,0.0,0.012288276320159415
39044,3965,26748,3408,533,0,0,0,19,0,19,2,0,0,0,0,0,3,0,28,0.8600252206809584,0.13442622950819672,0.0,0.0,0.0047919293820933165,0.0007566204287515763,0.0047919293820933165
39061,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,,
39067,1355,24100,872,433,0,9,0,41,0,41,0,0,0,0,0,0,0,0,28,0.6435424354243543,0.3195571955719557,0.0,0.006642066420664207,0.03025830258302583,0.0,0.03025830258302583
39114,10465,24403,5344,4879,0,101,0,141,0,141,0,0,0,0,0,0,0,0,28,0.5106545628284759,0.4662207357859532,0.0,0.009651218346870521,0.01347348303870043,0.0,0.01347348303870043
39364,2537,18102,1016,1512,0,0,0,0,0,0,9,0,0,0,0,0,0,0,28,0.4040204966495861,0.5959795033504138,0.0,0.0,0.0,0.0,0.0
39459,3612,31439,3356,22,0,0,0,0,0,0,234,0,0,0,0,0,0,0,28,0.9939091915836102,0.006090808416389812,0.0,0.0,0.0,0.0,0.0
39464,3299,23333,3281,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.9945438011518642,0.005456198848135798,0.0,0.0,0.0,0.0,0.0
39465,21517,26539,17176,2820,47,121,0,477,0,477,818,0,0,0,0,30,22,0,28,0.8362689966073338,0.1310591625226565,0.0021843193753776084,0.005623460519589162,0.02356276432588186,0.0010224473671980295,0.022168517916066367
39525,8103,35983,7449,99,0,0,0,151,0,151,349,0,0,13,0,12,0,0,28,0.9623596198938664,0.012217697149203998,0.0,0.0016043440700974948,0.02011600641737628,0.0,0.018635073429593977
39556,9212,23610,8674,2,31,0,0,208,0,208,235,0,0,0,0,62,0,0,28,0.9671081198436822,0.00021710811984368216,0.0033651758575770734,0.0,0.029309596178897092,0.0,0.022579244463742945
39561,2464,25446,2312,0,5,0,0,127,0,127,20,0,0,0,0,0,0,0,28,0.9464285714285714,0.0,0.002029220779220779,0.0,0.05154220779220779,0.0,0.05154220779220779
39567,11289,24682,7000,3308,35,6,0,150,10,140,418,35,0,0,0,178,69,23,28,0.65709983169457,0.2961289751085127,0.0031003631854017184,0.0005314908317831517,0.02905483213747896,0.0069979626184781644,0.014438834263442288
39771,113,29500,100,11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,28,0.8849557522123894,0.09734513274336283,0.0,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0
39772,1687,14515,595,1057,16,0,0,14,0,14,5,0,0,0,0,0,0,0,28,0.35566093657379966,0.6265560165975104,0.00948429164196799,0.0,0.008298755186721992,0.0,0.008298755186721992
39664,2148,30603,1903,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.8859404096834265,0.11405959031657356,0.0,0.0,0.0,0.0,0.0
39735,3319,21604,2345,910,18,2,8,2,0,2,21,0,0,0,0,13,0,0,28,0.712865320879783,0.27417896956914733,0.005423320277191925,0.0006025911419102139,0.004519433564326604,0.0,0.0006025911419102139
39740,5297,37884,4476,589,4,60,0,37,0,37,80,0,0,0,0,51,0,0,28,0.8601094959410988,0.11119501604681896,0.0007551444213705871,0.011327166320558807,0.016613177270152917,0.0,0.0069850858976779305
39750,2473,25639,1469,984,0,0,0,20,0,20,0,0,0,0,0,0,0,0,28,0.5940153659522847,0.3978972907399919,0.0,0.0,0.008087343307723413,0.0,0.008087343307723413
39756,1722,19404,255,1452,15,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.1480836236933798,0.8432055749128919,0.008710801393728223,0.0,0.0,0.0,0.0
