zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
58353,139,44500,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58361,239,29097,224,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,38,0.99581589958159,0.0,0.0,0.0,0.0041841004184100415,0.0,0.0041841004184100415
58372,121,30938,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58386,119,42813,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58401,17153,31820,15761,267,267,68,0,315,0,315,139,0,0,0,0,135,154,41,38,0.9269515536640821,0.015565790240774209,0.015565790240774209,0.003964321110009911,0.026234477933889114,0.008978021337375386,0.020754386987698943
58431,105,41181,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58433,1139,33295,1090,20,0,8,0,0,0,0,9,0,0,0,0,12,0,0,38,0.9648814749780509,0.01755926251097454,0.0,0.007023705004389816,0.010535557506584723,0.0,0.0
58454,324,30192,300,0,0,0,0,9,0,9,11,0,4,0,0,0,0,0,38,0.9598765432098766,0.0,0.012345679012345678,0.0,0.027777777777777776,0.0,0.027777777777777776
58532,297,40313,259,0,5,0,3,4,0,4,13,0,0,0,0,0,13,0,38,0.9158249158249159,0.0,0.016835016835016835,0.0,0.013468013468013467,0.04377104377104377,0.013468013468013467
58542,239,22750,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58568,697,24602,223,3,344,0,3,15,0,15,10,0,87,0,0,9,0,3,38,0.33428981348637016,0.00430416068866571,0.6183644189383071,0.0,0.03443328550932568,0.0,0.02582496413199426
58576,960,34135,918,0,14,0,0,2,0,2,17,3,0,0,0,6,0,0,38,0.9739583333333334,0.003125,0.014583333333333334,0.0,0.008333333333333333,0.0,0.0020833333333333333
58581,254,31471,252,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.9921259842519685,0.0,0.007874015748031496,0.0,0.0,0.0,0.0
58634,315,32279,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58636,1015,35781,713,34,217,0,0,31,0,31,0,0,0,0,0,20,0,0,38,0.7024630541871921,0.033497536945812804,0.21379310344827587,0.0,0.05024630541871921,0.0,0.030541871921182268
58638,1118,32045,1055,0,4,6,0,19,0,19,26,0,0,0,0,7,1,0,38,0.9669051878354203,0.0,0.0035778175313059034,0.005366726296958855,0.023255813953488372,0.0008944543828264759,0.01699463327370304
58651,504,41387,499,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58716,104,20000,92,0,0,0,0,8,0,8,4,0,0,0,0,0,0,0,38,0.9230769230769231,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693
58756,185,36964,171,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,38,0.9405405405405406,0.0,0.05945945945945946,0.0,0.0,0.0,0.0
58759,819,41354,785,0,16,0,0,18,0,18,0,0,0,0,0,0,0,0,38,0.9584859584859585,0.0,0.019536019536019536,0.0,0.02197802197802198,0.0,0.02197802197802198
58761,876,36473,816,4,0,3,0,6,2,4,47,0,0,0,0,0,0,0,38,0.9851598173515982,0.0045662100456621,0.0,0.003424657534246575,0.00684931506849315,0.00228310502283105,0.0045662100456621
58768,268,52000,238,0,0,0,0,12,0,12,18,0,0,0,0,0,0,0,38,0.9552238805970149,0.0,0.0,0.0,0.04477611940298507,0.0,0.04477611940298507
58778,98,21786,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58785,1163,36739,1046,3,61,0,0,0,0,0,36,0,0,0,0,13,0,4,38,0.9303525365434222,0.0025795356835769563,0.052450558899398106,0.0,0.01117798796216681,0.0,0.0034393809114359416
58795,142,25556,119,0,0,0,0,8,0,8,4,0,0,0,0,0,0,11,38,0.8661971830985915,0.0,0.0,0.0,0.056338028169014086,0.0,0.13380281690140844
58844,83,20865,81,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,38,0.9759036144578314,0.0,0.0,0.0,0.024096385542168676,0.024096385542168676,0.0
58571,527,36985,516,0,0,6,0,1,0,1,0,0,1,0,0,3,0,0,38,0.9791271347248577,0.0,0.0018975332068311196,0.011385199240986717,0.007590132827324478,0.0,0.0018975332068311196
58573,608,32431,600,0,3,0,0,5,0,5,0,0,0,0,0,0,0,0,38,0.9868421052631579,0.0,0.004934210526315789,0.0,0.008223684210526315,0.0,0.008223684210526315
58620,132,30714,118,0,5,0,0,9,0,9,0,0,0,0,0,0,0,0,38,0.8939393939393939,0.0,0.03787878787878788,0.0,0.06818181818181818,0.0,0.06818181818181818
58655,561,41875,510,0,0,5,0,27,2,25,0,0,0,0,0,9,10,0,38,0.9090909090909091,0.0,0.0,0.008912655971479501,0.06417112299465241,0.0213903743315508,0.044563279857397504
58621,1351,32948,1185,0,30,0,0,85,0,85,41,0,10,0,0,0,0,0,38,0.9074759437453738,0.0,0.029607698001480384,0.0,0.06291635825314582,0.0,0.06291635825314582
58626,430,29205,361,12,7,4,0,2,0,2,28,0,0,0,0,16,0,0,38,0.9046511627906977,0.027906976744186046,0.01627906976744186,0.009302325581395349,0.04186046511627907,0.0,0.004651162790697674
58653,782,38450,757,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,38,0.9680306905370843,0.0,0.0,0.0,0.0319693094629156,0.0,0.0319693094629156
58704,4696,30901,3318,390,147,25,26,182,0,182,181,36,23,7,0,171,0,190,38,0.7451022146507666,0.09071550255536627,0.036201022146507666,0.0068143100511073255,0.07517035775127769,0.0,0.07921635434412266
58744,109,41429,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58752,255,41429,248,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,38,0.9725490196078431,0.0,0.0,0.027450980392156862,0.0,0.0,0.0
58776,217,24265,122,0,0,0,0,0,0,0,35,0,0,0,0,20,0,0,38,0.7235023041474654,0.0,0.0,0.0,0.09216589861751152,0.0,0.0
58790,1839,40097,1752,6,34,3,0,15,0,15,15,0,0,0,0,6,8,0,38,0.9608482871125612,0.0032626427406199023,0.018488308863512777,0.0016313213703099511,0.011419249592169658,0.004350190320826536,0.008156606851549755
58030,604,33333,574,0,3,0,0,6,0,6,19,0,0,0,0,2,0,0,38,0.9817880794701986,0.0,0.004966887417218543,0.0,0.013245033112582781,0.0,0.009933774834437087
58038,321,38864,315,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,38,0.9813084112149533,0.0,0.009345794392523364,0.0,0.009345794392523364,0.0,0.009345794392523364
58041,1514,32621,1402,7,31,0,0,17,0,17,4,0,0,0,0,49,0,4,38,0.9286657859973579,0.004623513870541612,0.02047556142668428,0.0,0.043593130779392336,0.0,0.013870541611624834
58064,522,39306,498,0,0,0,0,11,0,11,2,0,0,0,0,11,0,0,38,0.9578544061302682,0.0,0.0,0.0,0.0421455938697318,0.0,0.0210727969348659
58079,484,45417,475,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58081,811,42500,765,0,5,2,0,3,0,3,7,0,0,0,0,26,3,0,38,0.9519112207151664,0.0,0.006165228113440197,0.002466091245376079,0.035758323057953144,0.0036991368680641184,0.0036991368680641184
58214,319,34583,281,0,13,6,0,16,0,16,0,0,0,0,0,0,0,3,38,0.8808777429467085,0.0,0.04075235109717868,0.018808777429467086,0.050156739811912224,0.0,0.05956112852664577
58230,585,37679,578,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58243,665,34457,529,0,0,0,0,4,0,4,100,0,0,0,0,32,0,0,38,0.9458646616541353,0.0,0.0,0.0,0.05413533834586466,0.0,0.006015037593984963
58730,1448,36026,1272,69,8,20,0,0,0,0,79,0,0,0,0,0,0,0,38,0.9330110497237569,0.04765193370165746,0.0055248618784530384,0.013812154696132596,0.0,0.0,0.0
58733,352,45139,345,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,38,0.9914772727272727,0.0,0.0,0.002840909090909091,0.0,0.005681818181818182,0.0
58736,597,33036,577,0,1,3,0,5,0,5,2,0,0,0,0,5,0,4,38,0.9698492462311558,0.0,0.0016750418760469012,0.005025125628140704,0.01675041876046901,0.0,0.01507537688442211
58063,394,28393,390,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58102,29621,25812,25286,1175,373,809,26,1035,13,1022,567,11,23,11,0,147,39,97,38,0.8727929509469633,0.04003916140575943,0.013368893690287296,0.02768306269200905,0.03990412207555451,0.0017555112926639885,0.03777725262482698
58204,2358,31528,1600,241,19,47,59,125,0,125,120,16,0,10,0,80,8,18,38,0.729431721798134,0.10899067005937235,0.008057675996607293,0.024173027989821884,0.08693808312128923,0.0033927056827820186,0.060644614079728584
