zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
03743,13681,28695,12906,213,0,57,0,197,0,197,244,59,0,0,0,5,0,0,33,0.9611870477304291,0.019881587603245376,0.0,0.004166362108033038,0.014765002558292523,0.0,0.014399532197938747
03745,1550,39848,1501,15,9,0,0,20,0,20,0,0,5,0,0,0,0,0,33,0.9683870967741935,0.00967741935483871,0.00903225806451613,0.0,0.012903225806451613,0.0,0.012903225806451613
03750,1037,57935,887,0,0,142,8,0,0,0,0,0,0,0,0,0,0,0,33,0.8553519768563163,0.0,0.0,0.1369334619093539,0.0,0.0,0.0
03755,10595,26480,8200,332,43,1143,0,419,3,416,263,64,5,5,0,42,22,46,33,0.7987730061349694,0.037376120811703634,0.004530438886267107,0.10835299669655497,0.04351109013685701,0.0023596035865974517,0.043605474280320904
03770,531,20833,505,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,33,0.9698681732580038,0.030131826741996232,0.0,0.0,0.0,0.0,0.0
03771,942,30441,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
03774,1954,24053,1844,8,0,0,0,75,0,75,27,0,0,0,0,0,0,0,33,0.9575230296827022,0.0040941658137154556,0.0,0.0,0.0383828045035824,0.0,0.0383828045035824
03820,31629,37043,27860,357,27,1289,0,939,86,853,1042,49,0,0,0,60,0,6,33,0.913781656075121,0.012836321097726769,0.0008536469695532581,0.0407537386575611,0.031584937873470546,0.0027190236807992665,0.027158620253564768
03826,2250,44412,2197,0,0,0,0,26,0,26,27,0,0,0,0,0,0,0,33,0.9884444444444445,0.0,0.0,0.0,0.011555555555555555,0.0,0.011555555555555555
03832,299,35000,296,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0.9899665551839465,0.0,0.0,0.010033444816053512,0.0,0.0,0.0
03269,2908,36745,2783,13,0,55,10,38,0,38,7,2,0,0,0,0,0,0,33,0.9594222833562586,0.00515818431911967,0.0,0.01891334250343879,0.013067400275103164,0.0,0.013067400275103164
03276,8268,32220,7744,72,29,146,0,148,0,148,112,0,17,0,0,0,0,0,33,0.9501693275278181,0.008708272859216255,0.005563618771165941,0.017658442186744075,0.017900338655055636,0.0,0.017900338655055636
03303,15849,34712,14750,359,78,176,0,180,0,180,275,0,0,0,0,31,0,0,33,0.9480093381285886,0.022651271373588237,0.004921446148021957,0.011104801564767492,0.013313142785033757,0.0,0.011357183418512209
03441,154,16917,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
03461,6054,24194,5591,76,0,25,0,120,0,120,78,3,0,0,0,30,91,40,33,0.936405682193591,0.013049223653782622,0.0,0.004129501156260324,0.024777006937561942,0.01503138420878758,0.026428807400066073
03470,5155,28057,5040,24,5,57,0,28,4,24,1,0,0,0,0,0,0,0,33,0.9778855480116392,0.004655674102812803,0.0009699321047526673,0.011057225994180407,0.005431619786614937,0.0007759456838021338,0.004655674102812803
03446,5994,32167,5670,0,8,112,0,204,18,186,0,0,0,0,0,0,0,0,33,0.9459459459459459,0.0,0.001334668001334668,0.01868535201868535,0.03403403403403404,0.003003003003003003,0.031031031031031032
03450,927,38487,828,20,8,6,0,16,0,16,44,0,5,0,0,0,0,0,33,0.9406688241639698,0.021574973031283712,0.014023732470334413,0.006472491909385114,0.017259978425026967,0.0,0.017259978425026967
03465,2002,30897,1868,0,14,14,6,80,5,75,10,0,0,0,0,10,0,0,33,0.938061938061938,0.0,0.006993006993006993,0.006993006993006993,0.04495504495504495,0.0024975024975024975,0.037462537462537464
