zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
87532,18641,25970,2678,105,1356,119,0,105,3,102,9224,17,60,0,0,4405,305,195,35,0.6384850598143876,0.006544713266455662,0.0759615900434526,0.006383777694329703,0.2419398100960249,0.016522718738265114,0.01593262164046993
87548,1295,25121,79,0,0,5,0,0,0,0,330,0,0,0,0,804,77,0,35,0.31583011583011583,0.0,0.0,0.003861003861003861,0.6208494208494209,0.05945945945945946,0.0
87549,662,44571,73,0,0,0,0,0,0,0,218,0,0,0,0,371,0,0,35,0.4395770392749245,0.0,0.0,0.0,0.5604229607250756,0.0,0.0
87564,203,27599,35,0,39,0,0,0,0,0,109,0,0,0,0,20,0,0,35,0.7093596059113301,0.0,0.1921182266009852,0.0,0.09852216748768473,0.0,0.0
87710,1454,22336,1042,12,0,0,0,25,0,25,308,0,0,0,0,51,13,3,35,0.9284731774415406,0.008253094910591471,0.0,0.0,0.052269601100412656,0.008940852819807428,0.01925722145804677
87712,296,31563,0,0,0,0,0,0,0,0,240,0,0,0,0,56,0,0,35,0.8108108108108109,0.0,0.0,0.0,0.1891891891891892,0.0,0.0
88114,34,94167,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88120,277,33611,223,0,5,0,0,5,0,5,29,0,0,0,0,15,0,0,35,0.9097472924187726,0.0,0.018050541516245487,0.0,0.07220216606498195,0.0,0.018050541516245487
88126,44,-666666666,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.9545454545454546,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
88134,50,-666666666,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88301,982,19423,476,6,42,0,0,19,0,19,420,0,9,0,0,10,0,0,35,0.9124236252545825,0.006109979633401222,0.051934826883910386,0.0,0.029531568228105907,0.0,0.019348268839103868
88265,187,-666666666,152,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88268,85,-666666666,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88416,33,-666666666,13,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88053,208,-666666666,190,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88024,162,-666666666,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88051,113,-666666666,109,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88063,14044,15474,295,7,14,0,0,0,0,0,12301,0,28,0,0,1324,55,20,35,0.8968954713756765,0.0004984334947308459,0.0029906009683850756,0.0,0.09427513528909143,0.003916263172885218,0.0014240956992309882
88116,438,24306,356,0,0,0,0,17,0,17,44,0,0,0,0,6,15,0,35,0.91324200913242,0.0,0.0,0.0,0.05251141552511415,0.03424657534246575,0.03881278538812785
88132,244,25417,203,0,2,3,0,0,0,0,28,0,0,0,0,8,0,0,35,0.9467213114754098,0.0,0.00819672131147541,0.012295081967213115,0.03278688524590164,0.0,0.0
