zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
89506,43566,30580,24629,1379,508,2044,140,1586,0,1586,7907,128,61,77,0,4396,155,497,32,0.7468209153927374,0.03459119496855346,0.013060643621172473,0.048684754166092824,0.13730891061837214,0.003557820318597071,0.04781251434604967
89511,26443,49063,21943,108,74,940,83,665,0,665,2017,19,2,11,0,483,87,11,32,0.9060999130204591,0.004802783345308777,0.0028741065688461975,0.03596414930227281,0.04341413606625572,0.003290095677494989,0.02556442158605302
89828,363,72114,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89832,1312,24095,34,2,1218,0,0,0,0,0,14,0,44,0,0,0,0,0,32,0.036585365853658534,0.001524390243902439,0.961890243902439,0.0,0.0,0.0,0.0
89001,1363,37442,1309,2,9,0,0,0,0,0,1,0,0,0,0,42,0,0,32,0.9611151870873074,0.001467351430667645,0.006603081438004402,0.0,0.030814380044020543,0.0,0.0
89011,28229,35600,14722,2360,19,2403,77,1392,88,1304,3859,16,29,44,0,2488,675,145,32,0.6582238123915123,0.08416876262000071,0.0017003790428282972,0.0866839066208509,0.137447305961954,0.027028941868291474,0.05133019235537922
89018,4847,15629,1729,1357,70,66,69,154,7,147,383,57,55,7,5,795,32,55,32,0.4357334433670311,0.29172684134516197,0.025789147926552507,0.015060862389106663,0.19579121105838662,0.008046214153084381,0.04167526304930885
89043,1478,27393,1068,161,0,18,0,14,0,14,62,28,0,0,0,126,1,0,32,0.7645466847090663,0.12787550744248985,0.0,0.012178619756427604,0.09472259810554803,0.0006765899864682003,0.009472259810554804
89052,55096,41650,35791,2700,159,7410,86,1842,0,1842,4485,128,13,58,0,1623,238,365,32,0.7310149557136634,0.051328590097284736,0.0031218237258603164,0.13554523014374908,0.06289022796573254,0.004319732829969508,0.04005735443589371
89108,73991,27741,24044,10018,258,2834,744,2405,132,2273,20393,400,327,82,24,10587,771,808,32,0.6005730426673515,0.1408009082185671,0.007906366990579936,0.039410198537659986,0.17558892297711884,0.012204186995715694,0.041640199483721
89161,136,38594,117,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89166,25245,46327,13664,2965,94,1864,36,1213,6,1207,3264,183,58,90,0,1083,338,137,32,0.6705486234897999,0.12469795999207764,0.006020994256288374,0.07740146563675976,0.0909487027134086,0.013626460685284215,0.05323826500297089
89169,21822,21887,6245,3688,45,1607,79,612,0,612,6347,151,0,64,17,2700,158,109,32,0.5770323526716158,0.1759233800751535,0.0020621391256530107,0.0765740995325818,0.1517734396480616,0.0072403995967372375,0.033040051324351574
89178,40808,42162,17879,3279,115,8142,347,3016,50,2966,5387,193,149,149,0,1171,409,482,32,0.5701333071946677,0.08508135659674573,0.00646931974122721,0.20317094687316212,0.10260243089590276,0.011247794550088218,0.08449323662027053
89179,7449,48087,3418,288,0,1876,93,331,21,310,988,0,0,7,8,295,31,75,32,0.59148879044167,0.038662907772855415,0.0,0.2527856088065512,0.08403812592294267,0.006980802792321117,0.05168478990468519
89183,42480,33563,19042,4359,139,6172,525,2067,38,2029,5502,382,22,84,98,3114,379,404,32,0.5777777777777777,0.11160546139359699,0.0037900188323917137,0.14726930320150658,0.1219632768361582,0.009816384180790961,0.057274011299435025
89319,132,23182,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0
