zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
11804,4671,45403,3955,16,0,430,0,64,34,30,158,0,0,0,0,0,0,48,36,0.8805394990366089,0.003425390708627703,0.0,0.09205737529436951,0.013701562834510812,0.007278955255833868,0.016698779704560053
11930,882,54875,742,0,0,0,0,19,0,19,114,0,0,0,0,7,0,0,36,0.9705215419501134,0.0,0.0,0.0,0.02947845804988662,0.0,0.021541950113378686
11941,1797,54497,1573,0,0,0,0,0,0,0,146,32,0,0,0,0,0,46,36,0.9565943238731218,0.017807456872565387,0.0,0.0,0.0,0.0,0.025598219254312743
11962,324,53000,315,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11702,14127,53588,12672,90,1,231,0,218,73,145,728,0,31,0,0,83,0,46,36,0.9485382600693707,0.006370779358674878,0.0022651659941955123,0.016351667020598853,0.021306717632901536,0.005167409924258512,0.013520209527854463
11710,34634,51696,28298,632,0,1645,0,377,0,377,2157,60,28,31,0,788,284,158,36,0.8793382225558699,0.01998036611422302,0.0008084541202286771,0.048391753767973666,0.03363746607380031,0.008200034648033724,0.015447248368655079
11530,28460,66875,24226,496,0,1474,0,353,15,338,1031,51,0,1,0,623,81,65,36,0.8874560787069571,0.019219957835558677,0.0,0.051827125790583274,0.0342937456078707,0.0033731553056921995,0.014160224877020379
11566,33331,59542,28057,1102,36,1251,0,387,7,380,2077,6,8,0,0,235,118,31,36,0.9040832858300081,0.033242326962887404,0.0013200924064684528,0.037532627283909874,0.018661306291440402,0.003750262518376286,0.01233086316042123
11705,7721,50248,6688,175,40,99,0,101,0,101,485,0,0,0,0,13,45,75,36,0.9290247377282735,0.022665457842248413,0.005180676078228209,0.012822173293614817,0.014764926822950395,0.0058282605880067345,0.022794974744204118
11709,6735,44192,6224,18,19,85,0,131,42,89,159,0,0,0,0,89,0,0,36,0.947735708982925,0.0026726057906458797,0.0028210838901262065,0.012620638455827766,0.032665181885671864,0.0062360801781737195,0.013214550853749072
11714,22741,48418,17707,122,132,2075,0,186,102,84,1702,11,57,9,0,516,76,125,36,0.8534804977793413,0.005848467525614529,0.008310980167978542,0.09164064904797502,0.03086935490963458,0.007827272327514182,0.009190448968822831
11722,31878,30815,7383,7589,43,1141,0,569,119,450,9448,470,8,8,0,4637,279,149,36,0.5279816801555932,0.2528075788945354,0.0015998494259363825,0.03604366647844909,0.16331011983185897,0.01248509944162118,0.018790388355605748
11725,29396,49923,25270,463,0,1396,0,376,9,367,1611,34,0,14,0,114,12,77,36,0.9144441420601442,0.016907062185331338,0.0,0.04796570962035651,0.01666893454891822,0.0007143829092393523,0.015104095795346306
11727,29736,42402,17585,4196,0,1557,48,539,55,484,4506,154,0,37,37,868,52,71,36,0.7429042238364272,0.14628732849071832,0.0,0.053605057842345975,0.04731638418079096,0.0035983319881624965,0.018664245359160614
11730,13663,47244,11832,285,0,146,0,26,0,26,769,100,16,0,0,459,0,0,36,0.9222718290273,0.028178291736807436,0.0011710458903608286,0.01068579374954256,0.03549732855156262,0.0,0.0019029495718363464
11746,67863,44476,40877,4138,0,6341,15,977,393,584,7234,187,140,74,12,6450,60,205,36,0.7089430175500641,0.06373134108424325,0.002062979827004406,0.09452868278738046,0.10944107982258373,0.006675213297378542,0.011626364882189117
11765,782,79167,574,0,0,95,0,0,0,0,99,0,0,0,0,3,0,0,36,0.860613810741688,0.0,0.0,0.12148337595907928,0.0038363171355498722,0.0,0.0
11767,14952,51256,12540,259,0,471,0,67,10,57,1096,0,0,0,0,519,0,0,36,0.9119850187265918,0.017322097378277154,0.0,0.0315008025682183,0.039192081326912785,0.0006688068485821295,0.003812199036918138
11769,8340,48081,7625,140,16,43,0,80,0,80,304,3,0,0,0,39,48,31,36,0.9507194244604317,0.017146282973621103,0.0019184652278177458,0.005155875299760192,0.014268585131894485,0.0057553956834532375,0.013309352517985611
11901,28387,32805,14545,4757,25,460,0,298,65,233,5711,130,0,24,0,1670,204,462,36,0.7135660689752351,0.17215626871455245,0.0008806848205164336,0.017050058125198154,0.06932750907105364,0.009476168668756826,0.024483038010356853
11950,16444,36778,10130,1343,498,113,0,276,0,276,3133,331,12,47,0,351,17,103,36,0.8065555825833131,0.10180004864996352,0.031014351739236196,0.009729992702505474,0.03812940890294332,0.0010338117246412066,0.02304792021405984
11952,5010,34444,4768,13,0,0,0,4,4,0,221,0,0,0,0,4,0,0,36,0.9958083832335329,0.002594810379241517,0.0,0.0,0.0015968063872255488,0.0007984031936127744,0.0
11717,63492,28780,9733,7721,0,1215,100,400,64,336,28825,1735,446,39,10,10619,838,1339,36,0.6072891072891073,0.14893214893214893,0.007024507024507024,0.01975051975051975,0.17354942354942354,0.014206514206514207,0.02638127638127638
11718,3075,54521,2694,57,0,9,0,40,0,40,208,0,0,0,0,8,0,0,36,0.943739837398374,0.018536585365853658,0.0,0.002926829268292683,0.015609756097560976,0.0,0.013008130081300813
11733,16363,58327,13064,230,7,1689,0,211,0,211,898,10,7,7,0,118,43,8,36,0.8532665159200635,0.01466723705921897,0.0008555888284544399,0.10364847521848072,0.020106337468679337,0.0026278799731100652,0.01338385381653731
11742,12438,47992,9090,631,0,685,0,112,0,112,1628,0,0,0,0,271,21,0,36,0.8617141019456505,0.050731628879241035,0.0,0.055073162887924104,0.030792731950474352,0.001688374336710082,0.009004663129120438
11753,12857,71864,7943,94,0,4036,0,334,43,291,253,0,0,0,0,51,0,7,36,0.63747374970833,0.007311192346581629,0.0,0.3139145990511006,0.029944777164190712,0.0033444816053511705,0.02317803531150346
11756,43446,44036,31325,502,0,3245,0,886,177,709,3962,80,16,11,0,2728,188,276,36,0.8122036551120931,0.013395939787322193,0.00036827325875799844,0.07494360815725268,0.0831837223219629,0.00840123371541684,0.02267182249228928
