zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
44720,38810,34475,35910,616,31,940,27,659,21,638,410,0,0,16,0,112,19,15,39,0.9358412780211286,0.01587219788714249,0.0007987632053594434,0.02463282659108477,0.019866013913939707,0.001030662200463798,0.016825560422571502
44064,1655,40694,1480,43,0,16,0,106,0,106,7,0,0,0,0,0,0,3,39,0.8984894259818731,0.025981873111782478,0.0,0.009667673716012085,0.06404833836858007,0.0,0.06586102719033232
44077,56579,32304,45242,3208,86,410,4,1520,6,1514,3378,262,8,0,3,1464,60,920,39,0.8593294331819227,0.06133017550681348,0.0016613938033546015,0.007246504886972198,0.052740416055426925,0.0011665105427808905,0.04301949486558617
44093,1018,38228,1004,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,39,0.9862475442043221,0.0,0.0,0.0137524557956778,0.0,0.0,0.0
44099,2558,35605,2410,0,0,0,0,148,0,148,0,0,0,0,0,0,0,0,39,0.9421422986708365,0.0,0.0,0.0,0.05785770132916341,0.0,0.05785770132916341
44113,20310,31902,10845,5163,62,352,23,587,21,566,1817,228,178,0,0,619,144,263,39,0.6234367306745445,0.2654357459379616,0.011816838995568686,0.017331363860167405,0.059379615952732646,0.00812407680945347,0.04081733136386017
44114,6896,20788,2587,1951,79,1655,0,178,27,151,357,20,0,20,0,16,0,0,39,0.42691415313225056,0.2858178654292343,0.011455916473317866,0.24289443155452436,0.028132250580046404,0.0039153132250580045,0.021896751740139213
44132,13726,26197,4879,8013,9,125,3,392,5,387,116,69,0,0,0,36,13,0,39,0.3639079119918403,0.5888095585021128,0.0006556899315168294,0.009106804604400408,0.031181698965466995,0.0013113798630336587,0.028194667055223662
44135,27646,23699,15215,5897,45,1260,0,995,54,941,1851,462,277,0,0,1132,26,385,39,0.6173044925124792,0.2300151920711857,0.011647254575707155,0.045576213557114956,0.07693698907617738,0.0028937278448961873,0.04796353902915431
44136,25804,39119,22223,905,110,1314,0,331,14,317,814,23,0,0,0,42,0,42,39,0.8927685630134863,0.03596341652456984,0.004262904975972717,0.0509223376220741,0.014455123236707487,0.0005425515423965277,0.01391257169431096
44215,2209,29523,2065,25,0,16,0,44,0,44,37,0,0,0,0,22,0,0,39,0.9515617926663649,0.011317338162064282,0.0,0.007243096423721141,0.029877772747849706,0.0,0.019918515165233137
44140,15325,51969,14288,200,0,101,4,352,0,352,319,11,0,0,0,37,6,0,39,0.9531484502446982,0.013768352365415987,0.0,0.0065905383360522025,0.02538336052202284,0.00039151712887438824,0.022969004893964112
44141,13785,50502,12430,565,0,542,0,209,0,209,39,0,0,0,0,0,0,0,39,0.9045339136742836,0.04098657961552412,0.0,0.03931809938338774,0.015161407326804498,0.0,0.015161407326804498
44212,44625,36478,40716,994,0,785,0,699,37,662,1012,54,1,18,0,135,20,99,39,0.9350812324929972,0.023484593837535015,2.2408963585434174e-05,0.01799439775910364,0.0186890756302521,0.0012773109243697479,0.017053221288515406
44223,17460,36248,16454,304,67,212,2,161,10,151,129,57,0,0,0,19,23,32,39,0.9497709049255441,0.020675830469644902,0.0038373424971363114,0.012142038946162658,0.010309278350515464,0.0018900343642611684,0.010481099656357388
44233,7967,41113,7749,5,63,118,0,2,0,2,30,0,0,0,0,0,0,0,39,0.9764026609765282,0.0006275888038157399,0.007907618928078322,0.014811095770051462,0.000251035521526296,0.0,0.000251035521526296
44243,4914,3386,3658,675,16,195,0,171,0,171,126,21,0,0,0,52,0,0,39,0.77004477004477,0.14163614163614163,0.003256003256003256,0.03968253968253968,0.04538054538054538,0.0,0.0347985347985348
44256,63497,39488,58968,1082,74,847,0,997,54,943,1021,46,16,0,0,289,32,117,39,0.9447532954312802,0.01776461880088823,0.00141738979794321,0.013339212876198875,0.0202529253350552,0.0013543946958124006,0.016693702064664473
44302,4489,22724,2370,1731,10,68,4,208,0,208,71,0,0,0,0,20,0,0,39,0.5437736689685899,0.38560926709734905,0.0022276676319893073,0.015148139897527288,0.0507908220093562,0.0,0.04633548674537759
44310,26135,20767,12314,5779,74,5485,0,970,0,970,1000,19,0,0,0,283,0,37,39,0.5094317964415535,0.22184809642242204,0.0028314520757604746,0.20987181939927302,0.04794337095848479,0.0,0.03853070594987565
44403,3920,27794,3762,70,0,0,0,49,0,49,29,0,0,0,0,0,0,0,39,0.9670918367346939,0.017857142857142856,0.0,0.0,0.0125,0.0,0.0125
44429,2629,29891,2606,10,4,0,0,2,0,2,7,0,0,0,0,0,0,0,39,0.9939140357550399,0.003803727653100038,0.0015214910612400153,0.0,0.0007607455306200076,0.0,0.0007607455306200076
