zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
73761,306,27500,297,0,0,0,0,6,0,6,3,0,0,0,0,0,0,0,40,0.9803921568627451,0.0,0.0,0.0,0.0196078431372549,0.0,0.0196078431372549
73771,365,28750,301,3,2,1,0,13,0,13,38,0,1,0,0,6,0,0,40,0.9287671232876712,0.00821917808219178,0.00821917808219178,0.0027397260273972603,0.052054794520547946,0.0,0.03561643835616438
73832,996,27462,911,0,1,25,0,35,26,9,10,0,8,0,0,1,5,0,40,0.9246987951807228,0.0,0.009036144578313253,0.025100401606425703,0.03614457831325301,0.03112449799196787,0.009036144578313253
73843,889,25462,728,0,12,0,0,88,0,88,56,0,0,0,0,5,0,0,40,0.8818897637795275,0.0,0.013498312710911136,0.0,0.1046119235095613,0.0,0.09898762654668167
73852,2193,31102,2024,0,29,5,2,30,0,30,103,0,0,0,0,0,0,0,40,0.9699042407660738,0.0,0.013223894208846329,0.002279981760145919,0.013679890560875513,0.0,0.013679890560875513
73853,554,20938,523,0,9,0,0,2,0,2,20,0,0,0,0,0,0,0,40,0.98014440433213,0.0,0.016245487364620937,0.0,0.0036101083032490976,0.0,0.0036101083032490976
73858,1583,28370,1341,7,65,0,0,12,0,12,123,0,6,0,0,25,4,0,40,0.9248262792166771,0.004421983575489577,0.04485154769425142,0.0,0.02337334175615919,0.002526847757422615,0.007580543272267846
73860,1288,25585,1076,0,14,0,0,29,0,29,105,0,10,0,0,11,43,0,40,0.9169254658385093,0.0,0.018633540372670808,0.0,0.031055900621118012,0.033385093167701864,0.02251552795031056
73021,223,32500,193,0,19,0,0,9,0,9,0,0,2,0,0,0,0,0,40,0.8654708520179372,0.0,0.09417040358744394,0.0,0.04035874439461883,0.0,0.04035874439461883
73011,319,26250,304,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0.9529780564263323,0.003134796238244514,0.04075235109717868,0.0,0.003134796238244514,0.0,0.0
73020,24407,38617,19854,1261,813,133,0,1285,0,1285,785,0,12,0,0,107,13,144,40,0.8456180603925103,0.05166550579751711,0.033801778178391445,0.005449256360880075,0.057032818453722295,0.0005326340803867743,0.058548776990207725
73045,11803,32818,9831,98,616,89,0,588,0,588,334,0,16,8,0,133,43,22,40,0.8612217232906888,0.0083029738202152,0.05354570871812251,0.008218249597559943,0.06108616453444039,0.003643141574176057,0.05168177581970686
73047,5126,21567,3099,35,200,5,0,263,0,263,1103,26,12,0,0,344,7,0,40,0.8197424892703863,0.011900117050331643,0.041357783847054234,0.0009754194303550526,0.1184159188451034,0.0013655872024970737,0.051307062036675774
73005,9563,24161,3662,415,3443,74,0,943,0,943,358,0,332,0,0,118,48,154,40,0.42037017672278576,0.043396423716406986,0.3947506012757503,0.007738157481961727,0.11094844714001882,0.005019345393704904,0.1147129561852975
73008,20111,30463,13031,1723,862,194,0,1053,104,949,1949,18,73,0,0,935,42,131,40,0.744865993734772,0.08656953905822684,0.04649196956889264,0.009646462135149919,0.09885137486947441,0.00725970861717468,0.053701954154442844
73014,1718,28894,1567,0,49,0,0,37,2,35,20,0,22,0,0,22,1,0,40,0.9237485448195576,0.0,0.041327124563445866,0.0,0.03434225844004657,0.0017462165308498253,0.02037252619324796
73016,1848,34708,1692,5,92,0,0,12,0,12,15,0,0,0,0,14,18,0,40,0.9237012987012987,0.0027056277056277055,0.049783549783549784,0.0,0.01406926406926407,0.00974025974025974,0.006493506493506494
73018,20190,24634,15525,1225,720,130,0,1180,20,1160,1161,0,69,0,0,139,19,7,40,0.8264487369985141,0.06067360079247152,0.039078751857355126,0.0064388311045071814,0.06532937097573056,0.0019316493313521546,0.05780089153046063
73032,199,31563,152,0,28,0,0,19,0,19,0,0,0,0,0,0,0,0,40,0.7638190954773869,0.0,0.1407035175879397,0.0,0.09547738693467336,0.0,0.09547738693467336
73040,1741,25144,1201,34,272,0,0,113,0,113,58,0,0,0,0,21,39,3,40,0.723147616312464,0.019529006318207927,0.15623205054566341,0.0,0.07696726019529006,0.022400919012062034,0.06662837449741528
73057,2386,28575,1997,14,152,11,0,171,0,171,27,0,0,0,0,14,0,0,40,0.8482816429170159,0.00586756077116513,0.06370494551550712,0.004610226320201173,0.07753562447611065,0.0,0.07166806370494551
73622,241,35417,206,0,0,0,0,24,0,24,11,0,0,0,0,0,0,0,40,0.9004149377593361,0.0,0.0,0.0,0.0995850622406639,0.0,0.0995850622406639
73626,1131,30966,1007,11,18,0,0,18,0,18,77,0,0,0,0,0,0,0,40,0.9584438549955792,0.009725906277630416,0.015915119363395226,0.0,0.015915119363395226,0.0,0.015915119363395226
73638,207,21161,188,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73642,144,31667,142,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,0.9861111111111112,0.0,0.0,0.0,0.013888888888888888,0.0,0.0
73660,333,30272,296,0,5,0,0,17,0,17,15,0,0,0,0,0,0,0,40,0.933933933933934,0.0,0.015015015015015015,0.0,0.05105105105105105,0.0,0.05105105105105105
73661,421,29844,401,0,7,0,0,9,0,9,3,0,0,0,0,0,1,0,40,0.9596199524940617,0.0,0.0166270783847981,0.0,0.021377672209026127,0.0023752969121140144,0.021377672209026127
73663,1413,25172,1031,0,132,3,0,92,0,92,152,0,0,0,0,0,0,0,40,0.8372257607926398,0.0,0.09341825902335456,0.0021231422505307855,0.06510969568294409,0.0,0.06510969568294409
73673,287,28690,253,0,0,0,0,0,0,0,25,0,0,0,0,6,2,1,40,0.9686411149825784,0.0,0.0,0.0,0.020905923344947737,0.006968641114982578,0.003484320557491289
73728,2048,25893,1864,6,4,0,0,44,0,44,32,0,3,0,0,71,8,16,40,0.92578125,0.0029296875,0.00341796875,0.0,0.05615234375,0.00390625,0.029296875
73735,717,30438,604,0,34,0,0,31,0,31,44,0,0,0,0,2,0,2,40,0.9037656903765691,0.0,0.04741980474198047,0.0,0.04602510460251046,0.0,0.04602510460251046
73743,104,40500,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73746,45,-666666666,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73750,7416,31594,5839,133,136,28,0,309,0,309,562,0,0,0,0,409,0,0,40,0.8631337648327939,0.017934196332254584,0.018338727076591153,0.0037756202804746495,0.09681769147788566,0.0,0.041666666666666664
73507,22787,29098,13704,2505,1077,525,25,2214,7,2207,1364,378,162,0,0,301,282,250,40,0.6612542238995919,0.126519506736297,0.05437310747355949,0.023039452319304866,0.1103699477772414,0.012682669943388774,0.10782463685434678
73528,600,35375,460,0,31,2,6,74,0,74,26,0,0,0,0,1,0,0,40,0.81,0.0,0.051666666666666666,0.0033333333333333335,0.125,0.0,0.12333333333333334
73532,479,30455,386,5,14,0,0,29,0,29,23,0,0,0,0,22,0,0,40,0.8538622129436325,0.010438413361169102,0.029227557411273485,0.0,0.10647181628392484,0.0,0.060542797494780795
73533,27748,25899,21472,675,1206,132,22,1277,5,1272,776,23,169,0,19,1790,58,102,40,0.8017875162173851,0.02515496612368459,0.04955312094565374,0.004757099610782759,0.11053048868386911,0.002270433905146317,0.04951708231223872
73543,1660,25793,1175,45,127,11,0,117,0,117,54,14,24,0,1,82,2,8,40,0.7403614457831326,0.035542168674698796,0.09096385542168675,0.006626506024096385,0.11987951807228915,0.0012048192771084338,0.07530120481927711
73567,671,23938,472,0,46,7,0,109,0,109,32,0,0,0,0,5,0,0,40,0.7511177347242921,0.0,0.06855439642324888,0.010432190760059613,0.16989567809239942,0.0,0.16244411326378538
73570,1035,22192,713,41,9,0,0,57,0,57,53,0,0,0,0,107,52,3,40,0.740096618357488,0.03961352657004831,0.008695652173913044,0.0,0.15845410628019324,0.050241545893719805,0.057971014492753624
73573,2608,22216,2140,56,128,0,0,143,0,143,129,0,0,0,0,12,0,0,40,0.8700153374233128,0.02147239263803681,0.049079754601226995,0.0,0.05943251533742331,0.0,0.054831288343558285
73627,590,21474,500,0,2,0,2,18,0,18,23,0,0,0,0,45,0,0,40,0.8864406779661017,0.0,0.003389830508474576,0.0,0.10677966101694915,0.0,0.030508474576271188
73644,14225,27817,10856,344,382,69,13,281,0,281,1598,0,0,0,0,580,0,66,40,0.8755008787346221,0.024182776801405976,0.02685413005272408,0.004850615114235501,0.060527240773286466,0.0,0.024393673110720562
73659,184,21250,152,0,10,0,0,0,0,0,22,0,0,0,0,0,0,0,40,0.9456521739130435,0.0,0.05434782608695652,0.0,0.0,0.0,0.0
73729,512,29276,440,0,14,0,0,40,0,40,16,0,0,0,0,2,0,0,40,0.890625,0.0,0.02734375,0.0,0.08203125,0.0,0.078125
73731,102,-666666666,90,0,9,0,0,1,0,1,2,0,0,0,0,0,0,0,40,0.9019607843137255,0.0,0.08823529411764706,0.0,0.00980392156862745,0.0,0.00980392156862745
73737,3549,27625,3104,32,47,18,0,146,0,146,68,0,97,0,0,37,0,0,40,0.8937728937728938,0.009016624401239785,0.04057480980557904,0.00507185122569738,0.05156382079459002,0.0,0.04113834883065652
73757,272,32500,250,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73758,129,19219,124,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,40,0.9612403100775194,0.0,0.0,0.0,0.03875968992248062,0.0,0.03875968992248062
73801,15399,30679,12155,121,137,34,0,606,0,606,1748,0,19,0,0,556,21,2,40,0.9028508344697708,0.007857653094356777,0.010130527956360803,0.0022079355802324826,0.07545944541853367,0.0013637249172024158,0.039483083317098516
73838,420,25375,311,0,9,0,9,82,0,82,0,0,0,0,0,9,0,0,40,0.7404761904761905,0.0,0.02142857142857143,0.0,0.21666666666666667,0.0,0.19523809523809524
73842,596,34167,562,0,4,2,0,8,0,8,14,0,0,0,0,4,0,0,40,0.9664429530201343,0.0,0.006711409395973154,0.003355704697986577,0.020134228187919462,0.0,0.013422818791946308
73937,185,30147,160,0,3,0,0,2,0,2,16,0,0,0,0,2,2,0,40,0.9513513513513514,0.0,0.016216216216216217,0.0,0.021621621621621623,0.010810810810810811,0.010810810810810811
73074,1099,28864,855,6,60,34,0,59,0,59,68,0,0,0,0,16,1,0,40,0.8398544131028207,0.00545950864422202,0.0545950864422202,0.030937215650591446,0.06824385805277525,0.0009099181073703367,0.05368516833484986
