zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
97484,178,21250,164,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0.9213483146067416,0.0,0.07865168539325842,0.0,0.0,0.0,0.0
97486,663,-666666666,469,9,0,0,0,140,0,140,30,0,0,0,0,0,15,0,41,0.7526395173453997,0.013574660633484163,0.0,0.0,0.21116138763197587,0.02262443438914027,0.21116138763197587
97496,7737,24384,6613,12,31,57,0,278,0,278,465,0,109,0,0,71,62,39,41,0.9148248675197105,0.0015509887553315238,0.018094868812201112,0.007367196587824738,0.045107922967558486,0.008013441902546206,0.040971952953341086
97526,35920,23809,31074,295,184,168,0,1146,16,1130,2044,43,60,0,0,561,88,158,41,0.9219933184855233,0.009409799554565702,0.006792873051224944,0.004677060133630289,0.04752227171492205,0.0028953229398663697,0.03585746102449889
97534,927,15688,772,0,74,0,0,0,0,0,81,0,0,0,0,0,0,0,41,0.9201725997842503,0.0,0.07982740021574973,0.0,0.0,0.0,0.0
97537,7463,26537,6790,31,129,13,0,117,0,117,288,0,5,21,0,60,0,9,41,0.9484121666889991,0.004153825539327348,0.017955245879673055,0.004555808656036446,0.023717003885836793,0.0,0.016883290901782127
97538,1463,22103,1336,0,35,28,0,16,0,16,23,0,0,0,0,25,0,0,41,0.9289131920710868,0.0,0.023923444976076555,0.019138755980861243,0.028024606971975393,0.0,0.010936431989063569
97630,4969,23777,4018,27,123,65,0,234,30,204,431,0,10,8,0,44,0,3,41,0.8953511772992554,0.0054336888710002015,0.026765948883075066,0.01469108472529684,0.055946870597705776,0.006037432078889113,0.04165828134433488
97707,6115,31561,5649,0,91,56,43,95,0,95,123,0,0,0,0,36,0,22,41,0.9439084219133279,0.0,0.014881439084219133,0.009157808667211774,0.0214227309893704,0.0,0.01913327882256746
97721,222,20000,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97730,222,36944,217,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,41,0.9864864864864865,0.0,0.009009009009009009,0.0,0.0045045045045045045,0.0,0.0045045045045045045
97732,123,45300,53,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97734,3413,26670,2215,11,39,28,0,89,0,89,543,0,0,0,0,387,0,101,41,0.8080867272194551,0.0032229709932610606,0.011426897157925579,0.008203926164664518,0.1394667447992968,0.0,0.05566949897450923
97752,0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,,,,,,,
97801,20563,26649,15322,369,1363,312,69,785,5,780,1121,8,86,31,0,613,123,133,41,0.7996401303311773,0.01833390069542382,0.07046637163837961,0.016680445460292757,0.06798618878568302,0.0062247726499051696,0.044400136166901714
97826,1144,25867,969,7,0,15,3,38,0,38,39,0,0,0,0,71,0,2,41,0.8811188811188811,0.006118881118881119,0.0,0.013111888111888112,0.09527972027972027,0.0,0.03496503496503497
97827,2407,24542,2185,14,10,82,0,35,0,35,35,0,0,2,0,5,33,6,41,0.9223099293726631,0.005816368923971749,0.004154549231408392,0.03489821354383049,0.016618196925633568,0.013710012463647694,0.01703365184877441
97833,740,24750,687,0,14,1,0,4,0,4,34,0,0,0,0,0,0,0,41,0.9743243243243244,0.0,0.01891891891891892,0.0013513513513513514,0.005405405405405406,0.0,0.005405405405405406
97843,643,26534,510,0,9,0,6,29,0,29,72,0,0,0,0,17,0,0,41,0.9051321928460342,0.0,0.013996889580093312,0.0,0.07153965785381027,0.0,0.04510108864696734
97035,26977,49613,21542,389,252,1969,102,1288,0,1288,1055,14,0,45,0,220,13,88,41,0.8376394706601921,0.014938651443822516,0.009341290729139638,0.07465618860510806,0.055899469918819736,0.0004818919820587908,0.051006412870222784
97051,16977,30292,14571,66,131,171,79,856,0,856,965,0,0,0,0,54,20,64,41,0.9151204570890028,0.003887612652412087,0.00771632208281793,0.01007245096306768,0.0536019320256818,0.0011780644401248748,0.054190964245744246
97053,3248,37925,3011,0,0,0,0,72,17,55,146,0,0,0,0,19,0,0,41,0.9719827586206896,0.0,0.0,0.0,0.028017241379310345,0.005233990147783251,0.016933497536945813
97067,1745,25885,1573,0,0,37,0,16,0,16,99,0,0,0,0,0,0,20,41,0.9581661891117479,0.0,0.0,0.021203438395415473,0.009169054441260744,0.0,0.020630372492836675
97101,4278,28624,3891,1,59,22,0,83,0,83,92,5,0,0,0,25,3,80,41,0.9310425432445067,0.001402524544179523,0.013791491351098644,0.005142589995324918,0.025245441795231416,0.0007012622720897616,0.03810191678354371
97351,11150,28913,6710,0,38,37,0,151,0,151,3244,0,11,0,0,826,84,49,41,0.8927354260089686,0.0,0.004394618834080717,0.0033183856502242153,0.08762331838565023,0.007533632286995516,0.017937219730941704
97378,8442,22313,6460,331,95,209,53,288,14,274,674,13,80,15,0,183,15,26,41,0.8450604122245914,0.040748637763563134,0.020729684908789386,0.026533996683250415,0.055792466240227434,0.003435204927742241,0.03553660270078181
97394,5224,25206,4377,0,16,6,10,284,0,284,502,0,0,0,0,23,6,0,41,0.93395865237366,0.0,0.0030627871362940277,0.0011485451761102604,0.058767228177641656,0.0011485451761102604,0.05436447166921899
97403,13398,13957,10714,208,23,732,38,687,7,680,521,37,33,0,0,328,20,0,41,0.8385579937304075,0.018286311389759665,0.0041797283176593526,0.05463502015226153,0.07575757575757576,0.0020152261531571876,0.05075384385729213
97413,944,30536,884,6,8,12,0,14,0,14,7,0,0,5,0,8,0,0,41,0.9438559322033898,0.006355932203389831,0.00847457627118644,0.018008474576271187,0.023305084745762712,0.0,0.014830508474576272
97414,306,13000,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97441,586,28326,503,0,0,0,0,5,0,5,78,0,0,0,0,0,0,0,41,0.9914675767918089,0.0,0.0,0.0,0.008532423208191127,0.0,0.008532423208191127
