zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
17953,427,26364,422,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,42,0.9882903981264637,0.0,0.0,0.00702576112412178,0.00468384074941452,0.0,0.00468384074941452
17025,16651,37187,14704,657,0,539,0,347,0,347,333,0,0,0,0,38,7,11,42,0.9030688847516666,0.03945708966428443,0.0,0.03237042820251036,0.023121734430364544,0.0004203951714611735,0.02150021019758573
19140,51766,14352,1629,27267,13,688,8,769,15,754,7489,2102,191,0,120,11013,191,254,42,0.1761387783487231,0.5673414982807248,0.003940810570644825,0.013290576826488428,0.22760112815361433,0.003979445968396245,0.019472240466715605
17009,1958,32978,1931,22,0,0,0,5,0,5,0,0,0,0,0,0,0,0,42,0.9862104187946884,0.011235955056179775,0.0,0.0,0.002553626149131767,0.0,0.002553626149131767
17010,373,-666666666,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17033,17751,41430,14297,578,5,841,0,182,0,182,510,0,44,0,0,1284,0,0,42,0.8341501887217622,0.03256154582840403,0.002760407864345671,0.04737761252887161,0.08258689651287252,0.0,0.010252943496141063
17044,20986,25121,19595,120,87,117,0,459,0,459,373,7,0,0,26,191,4,0,42,0.9514914705041456,0.006051653483274564,0.004145620890117221,0.005575145334985228,0.030973029638806823,0.0001906032593157343,0.02187172400648051
17829,244,25500,239,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,42,0.9795081967213115,0.0,0.0,0.020491803278688523,0.0,0.0,0.0
17832,803,25441,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17835,415,27169,403,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,42,0.9710843373493976,0.0,0.0,0.02891566265060241,0.0,0.0,0.0
17845,2170,25371,2030,46,0,0,0,0,0,0,74,0,0,0,0,20,0,0,42,0.9695852534562212,0.02119815668202765,0.0,0.0,0.009216589861751152,0.0,0.0
17861,169,46953,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17866,10297,20879,8122,1342,0,46,14,91,0,91,302,67,153,0,0,40,79,41,42,0.8181023599106536,0.13683597164222588,0.014858696707778965,0.004467320578809362,0.01272215208313101,0.007672137515781295,0.012819267747887735
17929,1554,28000,1412,34,0,13,0,26,0,26,59,0,0,0,0,0,4,6,42,0.9465894465894465,0.021879021879021878,0.0,0.008365508365508366,0.01673101673101673,0.002574002574002574,0.02059202059202059
17002,815,30417,810,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0.9938650306748467,0.006134969325153374,0.0,0.0,0.0,0.0,0.0
17005,339,31597,313,0,0,0,0,0,0,0,14,0,0,0,0,0,12,0,42,0.9646017699115044,0.0,0.0,0.0,0.0,0.035398230088495575,0.0
17006,1105,25156,1064,0,9,10,0,2,0,2,0,0,0,0,11,9,0,0,42,0.96289592760181,0.0,0.008144796380090498,0.00904977375565611,0.009954751131221719,0.0,0.0018099547511312218
17020,9147,34381,8710,38,19,57,0,159,4,155,144,4,0,0,0,8,5,0,42,0.9679676396632776,0.0045916693998032145,0.002077183776101454,0.006231551328304362,0.01825735213731278,0.0009839291571006887,0.016945446594511863
17035,934,25444,921,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,42,0.9892933618843683,0.010706638115631691,0.0,0.0,0.0,0.0,0.0
17047,2654,27875,2477,71,5,0,0,52,0,52,38,6,0,0,0,5,0,0,42,0.9476262245666918,0.029012810851544838,0.0018839487565938207,0.0,0.021477015825169556,0.0,0.019593067068575734
17061,7188,32467,6955,36,30,88,0,3,0,3,58,0,0,17,0,1,0,0,42,0.9756538675570395,0.005008347245409015,0.004173622704507512,0.014607679465776294,0.0005564830272676684,0.0,0.00041736227045075126
17065,3782,33958,3267,183,0,11,0,64,0,64,139,0,0,0,0,99,19,0,42,0.9005817028027499,0.04838709677419355,0.0,0.002908514013749339,0.04309888947646748,0.005023796932839768,0.016922263352723427
