zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
02904,30613,29109,16043,5346,0,696,167,1075,87,988,3758,486,68,0,22,2295,207,93,44,0.6468167118544409,0.1905073008199131,0.002221278541795969,0.02273543919249992,0.11008395126253552,0.009603763107176689,0.035311795642374154
02909,40809,23232,8283,5086,357,1719,27,699,217,482,11126,1186,147,100,0,10987,425,562,44,0.4756058712538901,0.15369158763998136,0.012350216863927075,0.044573500943419345,0.2863584013330393,0.0157318238623833,0.02558259207527751
02917,14139,30924,12591,299,4,505,0,273,29,244,329,7,9,4,0,87,16,0,44,0.9137845675083104,0.021642266072565246,0.0009194426762854516,0.035999717094561144,0.025461489497135583,0.003182686187141948,0.017257231770280785
02802,723,30128,620,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,44,0.8575380359612724,0.0,0.0,0.0,0.14246196403872752,0.0,0.0
02826,418,29320,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02841,1633,30990,1218,96,0,73,0,78,0,78,79,47,0,0,0,29,0,13,44,0.7942437232088181,0.08756889161053276,0.0,0.04470300061236987,0.065523576240049,0.0,0.05572565829761176
02872,244,21393,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02873,200,78750,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02876,353,-666666666,275,0,0,0,0,23,0,23,55,0,0,0,0,0,0,0,44,0.9348441926345609,0.0,0.0,0.0,0.06515580736543909,0.0,0.06515580736543909
02912,1340,3310,875,61,0,206,0,42,13,29,82,12,0,5,0,22,8,14,44,0.7141791044776119,0.05447761194029851,0.0,0.15746268656716417,0.04776119402985075,0.015671641791044775,0.03208955223880597
02808,2312,31994,2166,61,0,0,0,0,0,0,54,0,0,0,0,31,0,0,44,0.9602076124567474,0.026384083044982697,0.0,0.0,0.013408304498269897,0.0,0.0
02812,1207,50441,1087,88,0,0,0,32,0,32,0,0,0,0,0,0,0,0,44,0.9005799502899752,0.07290803645401822,0.0,0.0,0.026512013256006627,0.0,0.026512013256006627
02818,18292,50674,16045,192,141,808,0,526,0,526,448,0,0,7,0,93,0,0,44,0.9016509949704788,0.010496391865296304,0.007708287776076974,0.04455499671987754,0.03383993002405423,0.0,0.028755740214301335
02825,5768,38783,5490,14,0,13,0,199,0,199,40,12,0,0,0,0,0,0,44,0.9587378640776699,0.004507628294036061,0.0,0.0022538141470180304,0.034500693481276004,0.0,0.034500693481276004
02827,2202,35068,2142,9,0,25,0,17,7,10,9,0,0,0,0,0,0,0,44,0.9768392370572208,0.004087193460490463,0.0,0.011353315168029064,0.007720254314259764,0.003178928247048138,0.004541326067211626
02857,8206,41715,7850,43,0,96,0,22,0,22,159,0,0,0,0,13,0,23,44,0.9759931757250793,0.0052400682427492075,0.0,0.011698757007068,0.0042651718254935415,0.0,0.005483792347063124
02881,7629,5613,6013,277,24,400,6,126,19,107,462,127,0,0,0,132,13,49,44,0.8487350897889632,0.05295582645169747,0.0031458906802988595,0.05243151133831433,0.033818324813212744,0.004194520907065146,0.020448289421942586
02898,1289,33033,1143,0,0,53,0,0,0,0,93,0,0,0,0,0,0,0,44,0.9588828549262994,0.0,0.0,0.041117145073700546,0.0,0.0,0.0
02907,31294,20357,3524,4873,525,2186,27,625,294,331,8010,1799,243,0,0,8012,551,787,44,0.3685690547708826,0.21320380903687608,0.0245414456445325,0.06985364606633859,0.27599539847894167,0.02700198121045568,0.03572569821691059
02806,16153,54647,14445,54,18,601,0,431,14,417,544,27,0,0,0,1,0,10,44,0.9279390825233703,0.005014548381105677,0.0011143440846901505,0.03720671082771002,0.02674425803256361,0.000866712065870117,0.026434718009038568
02816,32738,35466,30510,166,0,310,0,486,61,425,600,8,17,0,0,387,0,176,44,0.9502718553363064,0.005314924552507789,0.000519274237888692,0.009469118455617325,0.026666259392754597,0.001863278147718248,0.018357871586535523
02828,7592,43250,6972,1,0,98,0,157,10,147,184,0,0,44,0,102,13,2,44,0.9425711275026344,0.00013171759747102212,0.0,0.018703898840885143,0.03411485774499473,0.003029504741833509,0.019625922023182297
02832,4795,37403,4579,45,0,91,0,59,26,33,7,0,0,0,0,0,0,0,44,0.9564129301355578,0.009384775808133473,0.0,0.01897810218978102,0.012304483837330552,0.005422314911366006,0.0068821689259645465
02838,3495,30324,3271,66,0,47,0,95,0,95,15,0,0,0,0,0,0,0,44,0.9402002861230329,0.01888412017167382,0.0,0.013447782546494993,0.027181688125894134,0.0,0.027181688125894134
