zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
29449,8072,21905,3320,4413,0,55,0,147,0,147,98,0,0,0,0,13,0,0,45,0.4234390485629336,0.5467046580773043,0.0,0.006813676907829534,0.019821605550049554,0.0,0.018211100099108028
29458,2972,17821,1052,1918,0,0,0,2,0,2,0,0,0,0,0,0,0,0,45,0.35397039030955585,0.6453566621803499,0.0,0.0,0.0006729475100942127,0.0,0.0006729475100942127
29461,38324,31318,25273,10360,137,115,41,841,14,827,585,102,56,15,0,525,104,151,45,0.6747208015864732,0.2729882058240267,0.005036008767352051,0.0033921302578018998,0.035643461016595344,0.0030790105416971087,0.025519256862540446
29464,50886,48590,43709,3463,116,1079,0,1211,48,1163,962,164,19,0,0,45,31,51,45,0.8778642455685257,0.07127697205518217,0.0026529890343119913,0.0212042605038714,0.024682623904413788,0.0015524898793381283,0.02385724953818339
29470,4685,30623,2966,1186,0,0,0,30,0,30,369,0,0,0,0,134,0,0,45,0.7118463180362861,0.25314834578441836,0.0,0.0,0.035005336179295625,0.0,0.0064034151547491995
29474,2290,23395,1369,671,0,0,0,0,0,0,0,0,0,0,0,250,0,0,45,0.5978165938864629,0.2930131004366812,0.0,0.0,0.1091703056768559,0.0,0.0
29203,40518,19007,4760,32775,15,478,10,539,15,524,264,183,0,0,0,917,325,222,45,0.1239942741497606,0.8134162594402488,0.0003702058344439508,0.011797225924280567,0.03593464633002616,0.00839133224739622,0.01841157016634582
29209,33523,32949,14893,15332,58,651,89,683,46,637,956,242,7,0,0,366,60,30,45,0.4727798824687528,0.46457655937714404,0.0019389672761984309,0.019419503027771977,0.03129194881126391,0.003162008173492826,0.019896787280374667
29302,16855,30425,12318,3015,40,703,1,244,6,238,468,16,0,0,0,0,6,30,45,0.758587956096114,0.17982794423019877,0.002373183031741323,0.04170869178285375,0.014476416493622071,0.000711954909522397,0.015900326312666864
29307,17661,27676,12544,3843,101,167,8,502,6,496,400,0,13,0,0,38,14,14,45,0.732914331011834,0.21759809750297265,0.006454900628503482,0.009455863201404223,0.030575845082384916,0.001132438706754997,0.02887718702225242
29316,26732,30276,20313,3830,0,1086,29,420,0,420,669,0,0,0,0,250,25,0,45,0.7849019901241957,0.14327397875205747,0.0,0.040625467604369296,0.025063594194224152,0.0009352087385904534,0.015711506808319616
29321,3044,21942,2482,442,0,0,0,94,0,94,19,0,0,0,0,0,0,0,45,0.8216162943495401,0.145203679369251,0.0,0.0,0.03088042049934297,0.0,0.03088042049934297
29014,1756,28375,1160,530,0,18,0,48,0,48,0,0,0,0,0,0,0,0,45,0.6605922551252847,0.30182232346241455,0.0,0.010250569476082005,0.02733485193621868,0.0,0.02733485193621868
29038,1903,23941,1512,318,39,0,0,34,0,34,0,0,0,0,0,0,0,0,45,0.7945349448239621,0.16710457172884918,0.020493956910141883,0.0,0.01786652653704677,0.0,0.01786652653704677
29053,18595,23380,12086,4082,156,58,0,246,0,246,1364,0,0,0,0,585,18,0,45,0.7233127184727077,0.21952137671417046,0.008389351976337726,0.003119118042484539,0.04468943264318365,0.0009680021511158913,0.013229362731917183
29055,4065,21742,2455,1354,93,0,0,140,0,140,23,0,0,0,0,0,0,0,45,0.6095940959409594,0.3330873308733087,0.022878228782287822,0.0,0.03444034440344403,0.0,0.03444034440344403
29072,60908,42759,51727,3736,146,1730,112,972,48,924,1682,94,0,0,0,580,73,48,45,0.8768798844158403,0.06288172325474486,0.0023970578577526764,0.028403493793918697,0.02548105339200105,0.0019866027451237935,0.015958494779010967
29074,179,34844,165,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.9217877094972067,0.0782122905027933,0.0,0.0,0.0,0.0,0.0
29114,1683,20179,850,791,18,0,0,0,0,0,24,0,0,0,0,0,0,0,45,0.5193107546048723,0.46999405822935236,0.0106951871657754,0.0,0.0,0.0,0.0
29123,8091,28267,6633,602,4,82,0,121,0,121,600,13,0,0,0,36,0,0,45,0.8939562476826103,0.07601038190582128,0.0004943764676801385,0.010134717587442837,0.019404276356445434,0.0,0.014954888147324187
29178,3214,23571,2469,648,0,0,0,84,0,84,0,0,0,0,0,13,0,0,45,0.768201617921593,0.2016179215930305,0.0,0.0,0.030180460485376478,0.0,0.02613565650280025
29223,51054,30140,13715,29370,157,2533,14,1209,56,1153,1205,399,0,10,0,2031,95,38,45,0.2922395894543033,0.5830884945351981,0.003075175304579465,0.049810005092647,0.06346221647667176,0.0029576526814745173,0.02332824068633212
29306,16656,20921,5881,9619,11,77,0,231,0,231,498,44,9,5,0,141,47,5,45,0.3829851104707013,0.5801512968299711,0.0012007684918347744,0.004923150816522575,0.0223342939481268,0.0028218059558117194,0.014169068203650336
29322,8954,25963,8170,299,27,147,0,122,0,122,141,10,0,0,0,38,0,0,45,0.92818851909761,0.03450971632789815,0.0030154121063211974,0.016417243689970964,0.017869108778199687,0.0,0.013625195443377262
