zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
57475,127,35313,116,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.9133858267716536,0.0,0.08661417322834646,0.0,0.0,0.0,0.0
57476,479,38536,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57534,242,59583,178,0,0,0,0,64,0,64,0,0,0,0,0,0,0,0,46,0.7355371900826446,0.0,0.0,0.0,0.2644628099173554,0.0,0.2644628099173554
57547,149,26146,126,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.8456375838926175,0.0,0.15436241610738255,0.0,0.0,0.0,0.0
57551,2442,26151,1071,2,1174,14,0,96,0,96,13,0,10,1,0,10,0,51,46,0.4438984438984439,0.000819000819000819,0.48484848484848486,0.006142506142506142,0.043407043407043405,0.0,0.060196560196560195
57564,981,40037,941,0,14,0,0,13,0,13,0,0,0,0,0,0,0,13,46,0.9592252803261978,0.0,0.014271151885830785,0.0,0.013251783893985729,0.0,0.026503567787971458
57567,1349,26295,1188,1,138,0,0,9,0,9,13,0,0,0,0,0,0,0,46,0.8902891030392883,0.0007412898443291327,0.10229799851742032,0.0,0.006671608598962194,0.0,0.006671608598962194
57574,75,31964,31,0,8,0,0,36,0,36,0,0,0,0,0,0,0,0,46,0.41333333333333333,0.0,0.10666666666666667,0.0,0.48,0.0,0.48
57319,840,31680,772,0,4,0,0,17,0,17,24,0,1,0,0,14,3,5,46,0.9476190476190476,0.0,0.005952380952380952,0.0,0.036904761904761905,0.0035714285714285713,0.02619047619047619
57339,1522,12941,77,3,1380,0,0,15,0,15,5,0,42,0,0,0,0,0,46,0.05387647831800263,0.0019710906701708277,0.9342969776609724,0.0,0.00985545335085414,0.0,0.00985545335085414
57340,340,30450,337,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,46,0.9911764705882353,0.0,0.0,0.0,0.008823529411764706,0.0,0.008823529411764706
57345,1095,34191,1033,0,24,0,0,33,0,33,2,0,0,0,0,3,0,0,46,0.9452054794520548,0.0,0.021917808219178082,0.0,0.03287671232876712,0.0,0.030136986301369864
57337,122,19000,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57341,148,32250,118,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.7972972972972973,0.0,0.20270270270270271,0.0,0.0,0.0,0.0
57350,15427,28726,11323,215,235,1673,71,159,0,159,642,1,0,0,0,1108,0,0,46,0.7755882543592403,0.014001426071173917,0.015233032994101251,0.10844623063460167,0.0821287353341544,0.0,0.01030660530239191
57365,552,38167,523,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.947463768115942,0.0,0.05253623188405797,0.0,0.0,0.0,0.0
57366,2315,31399,2239,0,18,0,0,23,0,23,14,0,21,0,0,0,0,0,46,0.9732181425485961,0.0,0.016846652267818573,0.0,0.009935205183585313,0.0,0.009935205183585313
57369,2411,25266,2382,0,6,0,0,23,0,23,0,0,0,0,0,0,0,0,46,0.9879717959352966,0.0,0.002488593944421402,0.0,0.00953961012028204,0.0,0.00953961012028204
57371,152,26705,131,4,0,0,0,17,0,17,0,0,0,0,0,0,0,0,46,0.8618421052631579,0.02631578947368421,0.0,0.0,0.1118421052631579,0.0,0.1118421052631579
57373,507,35000,490,0,0,0,0,14,0,14,3,0,0,0,0,0,0,0,46,0.9723865877712031,0.0,0.0,0.0,0.027613412228796843,0.0,0.027613412228796843
57434,489,39438,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57438,1403,29737,1322,1,69,0,0,11,0,11,0,0,0,0,0,0,0,0,46,0.9422665716322167,0.0007127583749109052,0.04918032786885246,0.0,0.007840342124019958,0.0,0.007840342124019958
57440,597,30000,589,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,46,0.9865996649916248,0.0,0.0,0.0,0.005025125628140704,0.0,0.005025125628140704
57450,539,25761,522,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,46,0.9684601113172542,0.0,0.0,0.03153988868274583,0.0,0.0,0.0
57454,651,26827,596,0,32,0,0,1,0,1,5,0,0,0,0,0,0,17,46,0.9231950844854071,0.0,0.04915514592933948,0.0,0.0015360983102918587,0.0,0.027649769585253458
57461,356,27375,342,0,6,0,0,8,0,8,0,0,0,0,0,0,0,0,46,0.9606741573033708,0.0,0.016853932584269662,0.0,0.02247191011235955,0.0,0.02247191011235955
57473,174,19583,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57474,177,29000,144,0,0,0,0,22,0,22,7,0,0,0,0,0,4,0,46,0.8531073446327684,0.0,0.0,0.0,0.12429378531073447,0.022598870056497175,0.12429378531073447
57477,161,25000,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.9937888198757764,0.006211180124223602,0.0,0.0,0.0,0.0,0.0
57521,150,-666666666,124,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.8266666666666667,0.0,0.17333333333333334,0.0,0.0,0.0,0.0
57529,370,23421,316,0,0,0,0,54,0,54,0,0,0,0,0,0,0,0,46,0.8540540540540541,0.0,0.0,0.0,0.14594594594594595,0.0,0.14594594594594595
57572,1998,13433,19,3,1957,2,0,17,0,17,0,0,0,0,0,0,0,0,46,0.00950950950950951,0.0015015015015015015,0.9794794794794794,0.001001001001001001,0.00850850850850851,0.0,0.00850850850850851
57585,115,26250,62,0,49,0,0,0,0,0,4,0,0,0,0,0,0,0,46,0.5739130434782609,0.0,0.4260869565217391,0.0,0.0,0.0,0.0
57625,4365,22364,419,2,3878,5,14,22,0,22,0,0,8,0,0,2,3,12,46,0.09599083619702177,0.0004581901489117984,0.8902634593356242,0.001145475372279496,0.005498281786941581,0.0006872852233676976,0.007789232531500573
57636,195,26346,53,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.2717948717948718,0.0,0.7282051282051282,0.0,0.0,0.0,0.0
57747,5856,24493,4965,0,332,105,0,189,18,171,156,0,59,0,0,50,0,0,46,0.8744877049180327,0.0,0.06676912568306011,0.017930327868852458,0.04081284153005464,0.0030737704918032786,0.02920081967213115
57430,2559,34375,2329,27,8,0,0,20,0,20,160,0,0,0,0,0,0,15,46,0.9726455646737007,0.010550996483001172,0.0031262211801484957,0.0,0.007815552950371238,0.0,0.013677217663149667
57433,369,36471,367,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.994579945799458,0.0,0.005420054200542005,0.0,0.0,0.0,0.0
57471,560,34444,527,0,1,0,0,0,0,0,6,0,0,0,0,26,0,0,46,0.9517857142857142,0.0,0.0017857142857142857,0.0,0.04642857142857143,0.0,0.0
57479,601,46302,527,0,0,0,0,0,0,0,62,0,4,0,0,8,0,0,46,0.9800332778702163,0.0,0.0066555740432612314,0.0,0.013311148086522463,0.0,0.0
57531,96,30096,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57536,401,41250,219,0,163,0,0,2,0,2,0,0,8,0,0,9,0,0,46,0.5461346633416458,0.0,0.42643391521197005,0.0,0.02743142144638404,0.0,0.004987531172069825
57540,114,-666666666,97,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,46,0.8859649122807017,0.0,0.11403508771929824,0.0,0.0,0.0,0.0
57548,1594,15833,70,4,1470,6,4,16,0,16,4,0,20,0,0,0,0,0,46,0.04642409033877039,0.002509410288582183,0.9347553324968633,0.0037641154328732747,0.010037641154328732,0.0,0.010037641154328732
57553,165,18750,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
