zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
38544,7211,24307,6665,32,20,17,0,101,0,101,263,0,0,0,0,9,48,56,47,0.9607544029954237,0.004437664678962696,0.002773540424351685,0.0023575093606989323,0.015254472333934267,0.006656497018444044,0.021772292331160726
38573,2028,26902,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38229,2977,27076,2790,65,15,4,0,47,0,47,19,0,0,0,0,4,33,0,47,0.9435673496808868,0.021834061135371178,0.0050386294927779645,0.0013436345314074571,0.01713134027544508,0.011084984884111521,0.015787705744037622
38019,16298,24170,10099,5533,0,0,2,387,0,387,153,30,0,0,0,59,0,0,47,0.6290342373297337,0.34133022456743156,0.0,0.0,0.027365320898269728,0.0,0.023745244815314762
38352,644,26507,602,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.9347826086956522,0.06521739130434782,0.0,0.0,0.0,0.0,0.0
37918,45268,28813,39068,2862,104,285,10,1068,8,1060,1341,0,16,0,0,323,9,73,47,0.8926614827251038,0.06322346911725722,0.002650879208270743,0.006295838119643015,0.030728108155871698,0.0003755412211716886,0.0250287178580896
37919,29108,35566,24750,1534,72,801,36,357,0,357,1063,10,50,0,0,351,19,0,47,0.8868008794833036,0.053043836745911774,0.0041912876185241175,0.027518208052769,0.02432321011405799,0.0006527415143603133,0.012264669506664834
37920,40358,24733,35035,2803,59,419,20,617,13,604,811,11,0,0,0,223,23,21,47,0.8882006045889291,0.06972595272312801,0.0014619158531146241,0.010382080380593687,0.020813717230784477,0.0008920164527479063,0.015486396749095594
37059,1090,29362,1048,34,0,0,0,3,0,3,0,0,0,0,0,5,0,0,47,0.9614678899082569,0.031192660550458717,0.0,0.0,0.007339449541284404,0.0,0.0027522935779816515
37062,12185,31642,11058,362,66,23,0,204,0,204,370,0,0,0,0,46,56,0,47,0.9378744357816988,0.029708658186294624,0.005416495691423882,0.001887566680344686,0.02051702913418137,0.004595814526056627,0.016741895773492
37069,20467,52760,18786,505,0,340,12,530,0,530,264,0,0,0,0,20,5,5,47,0.9307665998925099,0.024673865246494356,0.0,0.016612107294669467,0.026872526506082964,0.00024429569550984514,0.026139639419553426
37072,31492,32184,23763,4300,80,631,0,581,0,581,968,14,19,0,41,822,18,11,47,0.785310555061603,0.13698717134510352,0.0031436555315635718,0.020036834751682966,0.044550997078623145,0.0005715737330115585,0.01879842499682459
