zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
84620,831,33672,794,4,0,0,0,0,0,0,5,0,0,0,0,28,0,0,49,0.9614921780986763,0.0048134777376654635,0.0,0.0,0.03369434416365824,0.0,0.0
84628,643,30326,578,0,0,0,0,12,0,12,16,0,0,0,0,0,0,0,49,0.9237947122861586,0.0,0.0,0.0,0.01866251944012442,0.0,0.01866251944012442
84629,2921,30272,2869,0,0,0,0,11,0,11,13,0,0,0,0,28,0,0,49,0.9866484080794249,0.0,0.0,0.0,0.013351591920575145,0.0,0.003765833618623759
84630,651,19000,300,0,0,0,0,0,0,0,132,0,0,0,0,219,0,0,49,0.663594470046083,0.0,0.0,0.0,0.33640552995391704,0.0,0.0
84634,3434,7315,2219,146,42,81,17,180,0,180,103,0,32,0,0,608,6,0,49,0.6761793826441468,0.0425160163075131,0.021549213744903904,0.023587652882935354,0.2294700058241118,0.0017472335468841002,0.052417006406523005
84647,4096,19862,3841,10,16,66,19,25,0,25,49,0,0,0,0,61,9,0,49,0.94970703125,0.00244140625,0.00390625,0.01611328125,0.02099609375,0.002197265625,0.006103515625
84663,34063,30975,27337,67,106,271,292,524,0,524,4248,23,0,0,0,921,125,143,49,0.927252444000822,0.0026421630508176026,0.00311188092651851,0.007955846519684114,0.04242139564923818,0.003669670903913337,0.019581363943281565
84710,218,27734,206,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,49,0.944954128440367,0.0,0.0,0.0,0.05504587155963303,0.0,0.05504587155963303
84004,10553,39959,10074,15,35,49,0,194,0,194,97,0,6,0,0,50,0,14,49,0.9638017625319815,0.001421396759215389,0.0038851511418553967,0.004643229413436937,0.023121387283236993,0.0,0.01971003506112006
84529,204,-666666666,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84531,946,14213,0,0,926,0,0,0,0,0,0,0,20,0,0,0,0,0,49,0.0,0.0,1.0,0.0,0.0,0.0,0.0
84711,843,30069,809,0,11,0,0,0,0,0,23,0,0,0,0,0,0,0,49,0.9869513641755635,0.0,0.013048635824436536,0.0,0.0,0.0,0.0
84731,201,22586,135,0,0,0,0,0,0,0,55,0,0,0,0,11,0,0,49,0.945273631840796,0.0,0.0,0.0,0.05472636815920398,0.0,0.0
84738,8736,32419,7554,33,191,78,57,5,0,5,382,0,239,0,0,197,0,0,49,0.9084249084249084,0.0037774725274725275,0.04922161172161172,0.008928571428571428,0.023122710622710624,0.0,0.0005723443223443224
84740,253,13750,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84743,17,18750,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84759,2150,21474,1941,2,86,1,6,10,0,10,60,7,0,0,0,25,12,0,49,0.9306976744186046,0.004186046511627907,0.04,0.00046511627906976747,0.01627906976744186,0.005581395348837209,0.004651162790697674
84760,531,25688,499,0,2,0,2,13,0,13,12,0,0,0,0,0,0,1,49,0.9623352165725048,0.0,0.003766478342749529,0.0,0.02448210922787194,0.0,0.026365348399246705
84052,1565,26144,1213,14,129,22,0,47,5,42,78,0,5,0,0,55,0,2,49,0.8249201277955271,0.008945686900958467,0.08562300319488818,0.014057507987220448,0.06517571884984026,0.003194888178913738,0.028115015974440896
84082,1026,26641,946,6,0,0,0,0,0,0,74,0,0,0,0,0,0,0,49,0.9941520467836257,0.005847953216374269,0.0,0.0,0.0,0.0,0.0
84530,291,10849,124,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0
