zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
05738,1171,39208,1098,0,2,22,0,32,0,32,17,0,0,0,0,0,0,0,50,0.9521776259607173,0.0,0.0017079419299743809,0.018787361229718188,0.027327070879590094,0.0,0.027327070879590094
05742,616,34167,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
05767,1065,28355,1051,0,3,0,0,6,0,6,5,0,0,0,0,0,0,0,50,0.9915492957746479,0.0,0.0028169014084507044,0.0,0.005633802816901409,0.0,0.005633802816901409
05820,498,22841,466,0,0,0,0,7,0,7,25,0,0,0,0,0,0,0,50,0.9859437751004017,0.0,0.0,0.0,0.014056224899598393,0.0,0.014056224899598393
05827,319,24792,263,1,0,1,0,32,0,32,22,0,0,0,0,0,0,0,50,0.8934169278996865,0.003134796238244514,0.0,0.003134796238244514,0.10031347962382445,0.0,0.10031347962382445
05867,935,29861,876,6,0,0,0,26,0,26,0,0,0,0,0,4,0,23,50,0.9368983957219251,0.006417112299465241,0.0,0.0,0.03208556149732621,0.0,0.052406417112299465
05444,1678,37308,1608,0,5,0,0,19,0,19,35,4,0,0,0,0,0,7,50,0.9791418355184743,0.0023837902264600714,0.0029797377830750892,0.0,0.01132300357568534,0.0,0.015494636471990465
05456,1174,32111,1142,0,0,0,0,26,0,26,3,0,3,0,0,0,0,0,50,0.975298126064736,0.0,0.002555366269165247,0.0,0.022146507666098807,0.0,0.022146507666098807
05457,1590,35000,1468,0,13,43,0,44,0,44,14,0,0,0,0,0,8,0,50,0.9320754716981132,0.0,0.008176100628930818,0.027044025157232705,0.027672955974842768,0.005031446540880503,0.027672955974842768
05461,4672,42288,4638,13,0,0,11,0,0,0,0,0,10,0,0,0,0,0,50,0.992722602739726,0.0027825342465753423,0.0021404109589041095,0.0,0.0,0.0,0.0
05486,1717,40641,1622,30,11,14,0,14,0,14,26,0,0,0,0,0,0,0,50,0.9598136284216657,0.017472335468841003,0.0064065230052417,0.008153756552125802,0.008153756552125802,0.0,0.008153756552125802
