zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
98006,37871,56799,18606,1008,92,14104,45,1558,12,1546,1037,14,14,62,0,671,152,163,53,0.5186818409865068,0.026986348393229647,0.0027989754693565,0.3740593065934356,0.058857701143355076,0.004330490348815716,0.04512687808613451
98007,29322,49423,12320,950,237,11914,185,960,241,719,1734,0,0,22,0,966,22,12,53,0.4792988199986358,0.03239888138599004,0.008082668303662778,0.40706636655071277,0.06568446899938613,0.008969374531068821,0.0249300866243776
98011,33830,47826,22529,563,47,5066,65,1614,60,1554,1524,40,104,96,0,1884,80,146,53,0.7109961572568726,0.01782441619864026,0.004463493940289684,0.15258646172036655,0.1033993496896246,0.004138338752586462,0.05025125628140704
98019,11946,54925,10353,134,0,383,0,287,0,287,426,0,0,0,0,362,1,0,53,0.9023103967855349,0.011217143813828897,0.0,0.032060940900719904,0.05432780847145488,8.371002846140967e-05,0.024024778168424576
98024,6890,47839,5349,45,104,431,27,269,0,269,376,0,0,0,0,283,0,6,53,0.8309143686502177,0.006531204644412192,0.01509433962264151,0.0625544267053701,0.08011611030478955,0.0,0.03991291727140784
98031,37850,36901,16011,3454,90,10706,167,2323,128,2195,1099,30,54,98,26,3304,220,239,53,0.45204755614266845,0.09204755614266842,0.00380449141347424,0.28544253632760896,0.148665785997358,0.009194187582562748,0.06430647291941875
98034,43471,50643,30065,900,107,6105,6,2237,34,2203,2141,24,43,11,0,1365,270,163,53,0.7408617239078926,0.021255549676796024,0.003450576246233121,0.1406914954797451,0.08285983759287802,0.006993167859032459,0.05442708932391709
98045,15339,49319,13053,191,41,288,13,474,0,474,412,0,41,0,0,714,32,59,53,0.8778277593063433,0.012451919942629898,0.005345850446574092,0.018775669861138274,0.07744963817719538,0.002086185540126475,0.0347480279027316
98051,4451,41667,3995,0,14,62,18,291,0,291,59,0,0,0,0,0,0,0,53,0.9108065603235228,0.0,0.0031453605931251404,0.013929454055268478,0.06537856661424399,0.0,0.06537856661424399
98072,23939,56622,19368,170,20,2168,61,950,51,899,989,0,12,44,0,94,0,8,53,0.850369689627804,0.007101382680980826,0.0013367308575963908,0.09240152053135052,0.04361084422908225,0.0021304148042942477,0.037887965244997705
98104,14522,34705,7024,1344,245,3797,31,909,8,901,551,47,19,42,0,300,80,71,53,0.5216223660652802,0.09578570444842308,0.018179314144057292,0.2643575265114998,0.08325299545517147,0.006059771381352431,0.06693292934857457
98107,27534,58778,21417,272,54,2387,0,1484,10,1474,1277,0,56,0,0,299,23,229,53,0.8242173312994843,0.009878695431103363,0.003995060652284449,0.08669281615457253,0.06475630130021065,0.0011985181956853345,0.06185080264400378
98168,33401,28841,12411,4045,202,6386,619,1936,0,1936,3052,52,20,35,3,3781,417,264,53,0.4629502110715248,0.12266099817370738,0.006646507589593126,0.19223975330079937,0.17116254004371126,0.01248465614801952,0.06586629142840035
98177,20676,54466,16654,387,142,1661,0,1100,0,1100,462,0,6,0,0,104,28,66,53,0.8278196943315922,0.018717353453279163,0.007158057651383247,0.08033468756045657,0.058231766299090736,0.0013542271232346683,0.056393886631843686
98941,539,-666666666,521,0,0,8,0,6,0,6,4,0,0,0,0,0,0,0,53,0.974025974025974,0.0,0.0,0.014842300556586271,0.011131725417439703,0.0,0.011131725417439703
98223,44110,40284,37482,445,493,1066,116,1554,0,1554,2069,20,13,50,0,330,170,257,53,0.8966447517569712,0.010541827250056677,0.011471321695760598,0.025300385400136023,0.04271140330990705,0.003854001360235774,0.041056449784629336
98235,73,-666666666,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98245,3826,28908,3395,51,13,56,3,77,0,77,107,0,3,0,0,84,33,4,53,0.9153162571876634,0.013329848405645583,0.004181913225300575,0.014636696288552013,0.04208050182958704,0.008625196027182437,0.021170935703084162
98250,8107,36521,7096,29,41,109,2,201,1,200,398,30,13,0,6,122,18,29,53,0.9243863327988159,0.007277661280374985,0.006660910324411003,0.013445170840014802,0.03984211175527322,0.0023436536326631304,0.028247193783150364
98253,1794,33722,1755,0,0,0,0,22,0,22,17,0,0,0,0,0,0,0,53,0.987736900780379,0.0,0.0,0.0,0.012263099219620958,0.0,0.012263099219620958
98262,903,39375,859,0,6,0,0,4,0,4,29,0,0,0,0,0,0,5,53,0.9833887043189369,0.0,0.006644518272425249,0.0,0.004429678848283499,0.0,0.009966777408637873
98587,747,19141,54,0,578,0,8,19,0,19,8,0,46,0,0,12,0,22,53,0.08299866131191433,0.0,0.8353413654618473,0.0,0.041499330655957165,0.0,0.05488621151271754
98601,3702,34231,3648,0,30,4,0,6,0,6,14,0,0,0,0,0,0,0,53,0.9891950297136682,0.0,0.008103727714748784,0.0010804970286331713,0.0016207455429497568,0.0,0.0016207455429497568
98612,2981,27182,2558,37,22,37,1,10,7,3,148,0,0,0,0,105,11,3,53,0.9077490774907749,0.012411942301241194,0.007380073800738007,0.012411942301241194,0.03857765850385777,0.0060382422006038244,0.0020127474002012745
98638,1371,34461,1157,34,47,5,0,24,0,24,67,0,0,0,0,16,0,8,53,0.8927789934354485,0.024799416484318017,0.034281546316557256,0.0036469730123997084,0.029175784099197667,0.0,0.023340627279358133
98642,19957,44402,17557,362,83,688,12,568,17,551,520,18,0,14,0,66,8,17,53,0.9057974645487799,0.01904093801673598,0.004158941724708123,0.03517562759933858,0.0317683018489753,0.0012526932905747357,0.028461191561857994
98264,20890,31207,16424,184,70,619,14,721,0,721,1039,0,6,0,0,1497,7,284,53,0.8359502154140738,0.008808042125418861,0.0036381043561512687,0.029631402584968883,0.10617520344662518,0.0003350885591191958,0.04810914313068454
98275,21336,51491,14321,364,113,4204,38,985,0,985,608,0,0,22,0,546,65,70,53,0.6997094113235846,0.01706036745406824,0.005296212973378327,0.198068991376078,0.07175665541807275,0.0030464941882264716,0.0494469441319835
98281,1116,31250,976,0,12,28,0,14,0,14,22,0,0,0,0,19,38,7,53,0.8942652329749103,0.0,0.010752688172043012,0.025089605734767026,0.02956989247311828,0.034050179211469536,0.01881720430107527
98292,22246,40664,19802,189,140,377,67,685,0,685,740,0,0,28,0,114,62,11,53,0.9234019599029039,0.008495909376966647,0.0062932662051604785,0.018205520093499954,0.03591656927088016,0.0027870178908567834,0.03128652341994066
98296,30702,58424,23831,277,73,3016,32,1791,117,1674,1220,35,0,22,0,146,97,83,53,0.8159403296202202,0.010162204416650382,0.0023776952641521723,0.09895120839033288,0.06309035242003778,0.006970229952446095,0.05722754217966256
98305,343,23056,331,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.9650145772594753,0.0,0.03498542274052478,0.0,0.0,0.0,0.0
98331,6482,23931,4275,267,446,71,8,297,10,287,947,0,21,0,0,78,42,30,53,0.8056155507559395,0.04119099043505091,0.07204566491823511,0.010953409441530391,0.05785251465597038,0.008022215365627893,0.04890465905584696
