zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
25245,600,27121,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25268,964,18115,957,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,54,0.9927385892116183,0.0,0.0,0.0,0.007261410788381743,0.0,0.007261410788381743
25286,1700,21350,1598,0,0,0,0,97,0,97,5,0,0,0,0,0,0,0,54,0.9429411764705883,0.0,0.0,0.0,0.057058823529411766,0.0,0.057058823529411766
25303,6764,37826,5605,624,95,229,0,122,0,122,77,0,0,0,0,12,0,0,54,0.8400354819633353,0.09225310467179183,0.014044943820224719,0.033855706682436426,0.019810762862211707,0.0,0.018036664695446483
25311,10964,23412,8343,1664,42,88,0,664,0,664,114,20,6,0,0,11,0,12,54,0.7713425757022985,0.1535935789857716,0.004377964246625319,0.008026267785479753,0.06156512221816855,0.0,0.06165632980663991
25419,11062,30769,9668,370,0,232,0,265,26,239,153,209,0,0,0,109,56,0,54,0.8878141384921352,0.05234134876152594,0.0,0.02097269933104321,0.03380943771469897,0.00741276441873079,0.02160549629361779
25434,2821,26581,2573,93,0,21,0,134,0,134,0,0,0,0,0,0,0,0,54,0.9120879120879121,0.03296703296703297,0.0,0.007444168734491315,0.04750088621056363,0.0,0.04750088621056363
25446,1193,31603,936,13,75,30,0,0,0,0,107,0,0,0,0,32,0,0,54,0.8742665549036044,0.010896898575020955,0.06286672254819782,0.025146689019279127,0.026823134953897737,0.0,0.0
25106,598,18692,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25501,1198,26198,1165,0,0,0,0,0,0,0,0,0,0,0,15,0,0,18,54,0.9724540901502504,0.0,0.0,0.0,0.0,0.0,0.015025041736227046
25507,776,19375,766,4,0,0,0,3,0,3,0,0,0,0,0,3,0,0,54,0.9871134020618557,0.005154639175257732,0.0,0.0,0.007731958762886598,0.0,0.003865979381443299
25515,2042,23800,2023,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.9906953966699314,0.0,0.00930460333006856,0.0,0.0,0.0,0.0
25520,1497,26258,1465,0,0,0,0,17,0,17,15,0,0,0,0,0,0,0,54,0.9886439545758183,0.0,0.0,0.0,0.011356045424181697,0.0,0.011356045424181697
25535,2796,28229,2619,23,0,5,0,149,0,149,0,0,0,0,0,0,0,0,54,0.9366952789699571,0.008226037195994278,0.0,0.00178826895565093,0.05329041487839771,0.0,0.05329041487839771
25564,1174,23367,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25601,5565,23594,5210,157,0,11,3,118,0,118,38,28,0,0,0,0,0,0,54,0.94303683737646,0.03324348607367475,0.0,0.001976639712488769,0.021203953279424977,0.0,0.021203953279424977
25606,1531,29031,1451,67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.9477465708687133,0.043762246897452645,0.008491182233834096,0.0,0.0,0.0,0.0
25608,1108,24650,1089,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,54,0.9828519855595668,0.0,0.0,0.017148014440433214,0.0,0.0,0.0
25617,706,21000,704,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.9971671388101983,0.0028328611898017,0.0,0.0,0.0,0.0,0.0
25621,1626,22775,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25628,193,30909,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25632,374,16759,351,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,54,0.9385026737967914,0.0,0.0,0.0,0.06149732620320856,0.0,0.06149732620320856
25644,282,12955,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25671,1471,21477,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25817,708,16569,673,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,54,0.9505649717514124,0.0,0.0,0.0,0.04943502824858757,0.0,0.04943502824858757
25818,457,28661,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25836,394,6647,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25843,1101,30682,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25666,544,-666666666,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25650,215,23550,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26541,2739,33997,2667,60,0,0,0,0,0,0,12,0,0,0,0,0,0,0,54,0.9780941949616648,0.02190580503833516,0.0,0.0,0.0,0.0,0.0
26576,616,26875,573,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26627,344,16183,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26629,307,26000,271,0,0,0,19,17,0,17,0,0,0,0,0,0,0,0,54,0.8827361563517915,0.0,0.0,0.0,0.05537459283387622,0.0,0.05537459283387622
26676,400,26765,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26680,338,14073,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26714,422,-666666666,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26726,12604,25514,11431,658,0,45,22,213,0,213,198,0,0,0,0,1,0,0,54,0.9226436052046969,0.05220564900031736,0.0,0.0035702951443986036,0.016978736908917803,0.0,0.016899397016820056
26731,423,26313,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26753,6049,28492,5967,18,4,51,0,9,0,9,0,0,0,0,0,0,0,0,54,0.9864440403372459,0.002975698462555794,0.0006612663250123987,0.008431145643908084,0.001487849231277897,0.0,0.001487849231277897
26757,6655,21821,6246,234,4,0,0,62,0,62,89,13,0,0,0,7,0,0,54,0.9519158527422991,0.03711495116453794,0.0006010518407212623,0.0,0.010368144252441773,0.0,0.009316303531179564
26804,672,19420,646,17,0,0,0,0,0,0,9,0,0,0,0,0,0,0,54,0.9747023809523809,0.025297619047619048,0.0,0.0,0.0,0.0,0.0
26823,141,-666666666,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26855,564,29453,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26003,41198,27254,37996,1603,149,307,0,664,16,648,258,0,8,0,0,50,41,36,54,0.9285402203990485,0.038909655808534394,0.0038108646050779163,0.007451818049419875,0.017330938395067722,0.0013835623088499442,0.01660274770619933
26031,1562,23018,1474,68,0,0,0,11,3,8,0,0,0,0,0,4,0,5,54,0.9436619718309859,0.04353393085787452,0.0,0.0,0.009603072983354673,0.0019206145966709346,0.008322663252240717
26150,6362,33396,6031,68,0,28,0,153,140,13,82,0,0,0,0,0,0,0,54,0.960861364350833,0.01068846274756366,0.0,0.0044011317195850365,0.024049041182018234,0.022005658597925182,0.0020433825840930524
26152,118,-666666666,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26159,3325,24534,3258,10,0,0,0,44,0,44,0,0,0,0,0,0,0,0,54,0.9798496240601504,0.0030075187969924814,0.0,0.0,0.013233082706766918,0.0,0.013233082706766918
26180,2341,25667,2318,0,12,0,0,11,0,11,0,0,0,0,0,0,0,0,54,0.99017513882956,0.0,0.0051260145237078175,0.0,0.004698846646732166,0.0,0.004698846646732166
26184,2744,27826,2697,16,13,0,0,0,0,0,18,0,0,0,0,0,0,0,54,0.9894314868804664,0.0058309037900874635,0.0047376093294460644,0.0,0.0,0.0,0.0
26217,220,15991,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26224,268,46094,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26259,31,-666666666,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26269,821,25603,818,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,54,0.9963459196102314,0.0,0.0,0.0,0.0036540803897685747,0.0,0.0036540803897685747
26278,622,26027,611,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26294,883,29615,871,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.986409966024915,0.013590033975084938,0.0,0.0,0.0,0.0,0.0
26327,68,40156,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26034,4203,26977,4115,0,0,0,0,88,0,88,0,0,0,0,0,0,0,0,54,0.9790625743516536,0.0,0.0,0.0,0.02093742564834642,0.0,0.02093742564834642
26037,6487,26921,6238,45,0,0,0,80,0,80,35,20,0,0,0,0,0,28,54,0.9670109449668568,0.01002004008016032,0.0,0.0,0.012332357021735778,0.0,0.016648681979343303
26062,20764,27055,19141,671,6,117,58,471,0,471,207,30,0,0,0,0,30,33,54,0.9318050471970718,0.033760354459641685,0.00028896166441918705,0.005634752456174148,0.022683490656906183,0.0014448083220959353,0.024272779811211714
26143,4291,24872,4248,15,0,0,0,0,0,0,18,0,0,0,0,0,0,0,54,0.994173852248893,0.003495688650664181,0.0,0.0,0.0,0.0,0.0
26149,1977,25827,1955,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,54,0.988872028325746,0.0,0.0070814365199797676,0.0,0.004046535154274153,0.0,0.0
26201,19919,25145,18958,443,15,28,0,155,0,155,241,48,0,0,0,19,0,9,54,0.9638536071087906,0.02464983181886641,0.0007530498519001958,0.0014056930568803654,0.008735378282042272,0.0,0.00823334504744214
26266,78,33289,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26267,308,21042,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26292,636,22083,633,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,54,0.9952830188679245,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0
