zip_code,total_pop,median_income,white_nh,black_nh,native_nh,asian_nh,hawaiian_nh,other_nh,biracial_nh,multiracial_nh,white_h,black_h,native_h,asian_h,hawaiian_h,other_h,biracial_h,multiracial_h,state,white_percentage,black_percentage,native_percentage,asian_percentage,other_percentage,biracial_percentage,multiracial_percentage
82609,17850,36370,15924,176,126,25,0,185,24,161,1333,0,32,2,0,14,0,19,56,0.9667787114845938,0.009859943977591037,0.008851540616246498,0.0015126050420168067,0.0111484593837535,0.0013445378151260505,0.010084033613445379
82633,9858,32672,8607,0,23,32,0,300,0,300,749,0,89,0,0,31,25,2,56,0.9490768918644755,0.0,0.011361330898762427,0.0032460945425035505,0.0335767904240211,0.0025360113613308987,0.030635017244877258
82712,375,26750,374,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56,0.9973333333333333,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0
82727,1224,28939,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82732,1412,64803,1179,12,0,43,0,36,0,36,142,0,0,0,0,0,0,0,56,0.9355524079320113,0.0084985835694051,0.0,0.030453257790368272,0.025495750708215296,0.0,0.025495750708215296
82831,313,25729,309,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,56,0.987220447284345,0.0,0.006389776357827476,0.0,0.0,0.006389776357827476,0.0
82837,38,-666666666,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82923,484,34545,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82939,1527,34777,1286,7,0,0,0,159,0,159,69,0,0,0,0,6,0,0,56,0.8873608382449247,0.0045841519318926,0.0,0.0,0.10805500982318271,0.0,0.10412573673870335
82410,2122,24222,1988,3,19,6,0,59,0,59,14,0,7,0,0,22,4,0,56,0.943449575871819,0.001413760603204524,0.012252591894439209,0.002827521206409048,0.03817153628652215,0.001885014137606032,0.027803958529688973
82426,3083,28253,2498,0,0,13,0,61,0,61,165,0,7,0,0,338,0,1,56,0.8637690561141745,0.0,0.0022705157314304248,0.0042166720726565035,0.1294193966915342,0.0,0.020110282192669478
82430,69,19375,62,0,0,0,0,4,0,4,3,0,0,0,0,0,0,0,56,0.9420289855072463,0.0,0.0,0.0,0.057971014492753624,0.0,0.057971014492753624
82501,19493,26962,13340,158,3149,107,0,593,7,586,843,1,389,0,0,612,197,104,56,0.7275945211101421,0.008156774226645463,0.1815010516595701,0.005489149951264556,0.06181706253526907,0.010465295234186631,0.03539732211563125
82635,153,17813,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82640,45,-666666666,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82711,127,56719,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82718,26691,47174,23301,89,18,166,0,836,0,836,2097,0,0,0,0,60,111,0,56,0.9515567045071373,0.0033344573077067176,0.0006743846240305721,0.0062193248660597205,0.033569367951744034,0.004158705181521861,0.03132141920497546
82832,750,60441,708,0,13,0,0,0,0,0,29,0,0,0,0,0,0,0,56,0.9826666666666667,0.0,0.017333333333333333,0.0,0.0,0.0,0.0
82937,4215,29270,3851,0,0,4,0,124,0,124,230,0,0,0,0,6,0,0,56,0.968208778173191,0.0,0.0,0.0009489916963226571,0.03084223013048636,0.0,0.029418742586002373
82844,20,-666666666,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82930,14105,27388,12162,16,134,28,0,214,0,214,902,0,11,0,0,408,0,230,56,0.9261963842609003,0.0011343495214462956,0.010280042538107055,0.0019851116625310174,0.04409783764622474,0.0,0.03147819922013471
82934,40,-666666666,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82836,933,30726,913,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,56,0.9882100750267953,0.0,0.011789924973204717,0.0,0.0,0.0,0.0
82007,22326,27859,14769,327,497,132,20,337,0,337,4518,99,93,8,0,1162,207,157,56,0.8638806772373018,0.019080892233270627,0.02642658783481143,0.006270715757412882,0.0671414494311565,0.009271701155603333,0.02212666845829974
82009,34061,43811,29372,742,128,483,10,889,0,889,2019,0,21,0,13,120,91,163,56,0.9216112269164146,0.02178444555356566,0.004374504565338657,0.014180440973547459,0.029623322861924196,0.0026716772848712606,0.03088576377675347
82058,7,-666666666,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82070,20630,25218,17583,220,317,468,3,341,0,341,1229,0,4,14,0,265,102,84,56,0.9118759088705768,0.010664081434803683,0.015559864275327193,0.023364032961706253,0.02937469704314106,0.004944255937954435,0.020601066408143482
82215,80,19091,75,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,56,0.975,0.0,0.0,0.0,0.0,0.0,0.025
82242,29,52000,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82322,178,40833,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82329,347,25550,339,0,1,0,0,7,0,7,0,0,0,0,0,0,0,0,56,0.9769452449567724,0.0,0.002881844380403458,0.0,0.020172910662824207,0.0,0.020172910662824207
82428,163,32212,128,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,56,0.7852760736196319,0.0,0.20245398773006135,0.012269938650306749,0.0,0.0,0.0
82431,3478,27683,3018,30,12,36,0,25,16,9,287,0,3,0,0,41,7,0,56,0.9502587694077056,0.008625646923519264,0.004312823461759632,0.010350776308223116,0.01897642323174238,0.006612995974698103,0.002587694077055779
82510,388,12067,35,0,347,0,0,0,0,0,0,0,6,0,0,0,0,0,56,0.09020618556701031,0.0,0.9097938144329897,0.0,0.0,0.0,0.0
82515,463,28068,405,0,27,0,0,2,0,2,24,0,0,0,0,3,2,0,56,0.9265658747300216,0.0,0.058315334773218146,0.0,0.01079913606911447,0.004319654427645789,0.004319654427645789
82520,13444,30295,9977,20,2551,42,7,440,0,440,195,0,99,9,0,49,6,49,56,0.7566200535554894,0.001487652484379649,0.19711395418030347,0.003793513835168105,0.03637310324308242,0.0004462957453138947,0.03637310324308242
82643,256,31917,248,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,56,0.98828125,0.0,0.0,0.0,0.01171875,0.0,0.0
82929,87,51972,45,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,56,0.5172413793103449,0.0,0.0,0.0,0.4827586206896552,0.0,0.0
82005,623,23304,254,114,0,56,5,20,0,20,121,18,0,0,0,11,5,19,56,0.6019261637239165,0.21187800963081863,0.0,0.0898876404494382,0.04975922953451043,0.008025682182985553,0.06260032102728733
